yaw,pitch,roll,accelx,accely,accelz
23.05,4.3,-12.88,-1.68,-2.11,8.73
25.67,2.73,-12.41,-1.9,-2.1,8.87
28.53,1.43,-12.86,-1.58,-2.25,8.21
31.25,-0.94,-12.47,-1.65,-2.11,8.1
34.27,-3.64,-11.75,-1.98,-2.0,8.1
38.41,-5.22,-10.64,-1.57,-1.88,8.16
42.95,-7.41,-9.76,-1.17,-1.78,8.11
46.88,-9.35,-7.79,-1.14,-1.58,8.07
51.0,-13.4,-5.8,-1.03,-1.3,8.32
54.92,-18.59,-4.05,-1.27,-1.01,7.74
58.43,-23.85,-0.19,-1.74,-0.59,7.99
60.97,-27.27,5.34,-1.64,0.08,8.64
61.81,-30.08,11.99,-1.48,0.54,9.52
60.5,-32.0,18.6,-2.15,0.89,9.76
57.93,-34.62,25.65,-2.39,1.45,9.8
54.29,-36.26,31.96,-3.24,1.8,9.8
50.26,-36.71,35.43,-3.96,1.84,9.8
45.84,-35.72,36.82,-4.68,1.8,9.68
41.1,-33.87,36.77,-5.03,2.35,8.99
36.45,-29.97,35.03,-3.78,2.44,7.66
30.13,-25.42,35.12,-2.88,2.64,7.18
23.28,-20.44,36.25,-3.28,2.77,6.67
15.81,-17.08,36.77,-3.58,2.8,7.97
9.58,-13.32,34.68,-5.34,2.72,7.08
7.21,-5.07,32.75,-2.27,3.68,9.06
1.84,2.44,28.43,-0.84,3.98,9.65
-2.69,9.38,22.25,-1.45,2.65,8.48
-4.43,18.94,21.61,1.06,3.07,8.28
-8.24,20.87,20.14,1.62,3.09,9.49
-12.55,23.2,15.87,3.22,3.72,8.74
-23.67,11.17,16.93,-2.97,4.04,9.26
-23.17,14.38,9.71,-0.62,3.79,9.35
-23.19,19.89,0.72,0.82,2.27,7.85
-23.31,22.35,-2.84,0.69,1.69,9.25
-20.56,23.3,-6.0,0.86,1.61,9.72
-17.55,26.36,-11.36,1.23,1.24,9.79
-13.72,27.58,-14.62,1.13,0.48,9.59
-9.46,27.17,-13.43,2.13,0.3,9.65
-7.02,27.31,-13.65,2.29,0.24,9.39
-5.75,25.17,-13.28,2.26,0.08,9.05
-5.3,19.86,-12.71,1.65,0.07,9.47
-5.07,15.35,-14.01,1.42,-0.27,8.71
-5.86,11.85,-14.62,0.52,-0.33,8.57
-5.21,10.65,-14.76,0.71,-0.41,8.99
-3.76,10.42,-15.8,1.21,-0.45,9.15
-2.03,10.91,-17.18,1.33,-0.61,8.92
-0.07,11.42,-18.29,1.73,-0.82,8.66
1.78,11.9,-18.92,1.6,-0.89,8.82
4.73,13.42,-20.2,1.9,-1.07,8.33
7.6,15.37,-20.66,2.57,-1.37,8.09
9.59,16.64,-20.15,2.82,-1.48,8.41
10.65,17.28,-19.79,2.59,-1.48,8.7
11.62,17.38,-19.53,2.67,-1.59,8.58
12.27,17.62,-19.11,2.57,-1.59,8.65
13.12,18.17,-18.94,2.7,-1.63,8.61
13.81,18.42,-18.84,2.78,-1.7,8.33
14.2,18.7,-18.45,2.65,-1.7,8.29
14.45,18.91,-17.49,2.86,-1.74,8.34
14.05,19.45,-16.45,2.9,-1.72,8.67
13.26,19.17,-15.44,2.68,-1.67,9.03
