yaw,pitch,roll,accelx,accely,accelz
130.51,3.78,-1.85,1.09,-0.17,9.32
128.27,3.25,-1.49,-0.13,-0.27,8.92
125.71,2.22,-0.21,-0.83,-0.25,6.76
123.94,-1.29,5.57,-3.3,0.22,8.79
123.77,-6.65,11.79,-4.72,0.87,9.65
125.34,-15.42,13.4,-5.3,1.43,9.78
129.09,-22.2,8.5,-3.76,1.82,9.8
134.32,-25.68,0.47,-1.85,2.15,9.81
139.53,-26.53,-8.78,-1.38,2.13,9.79
145.45,-25.48,-19.9,-1.28,1.66,7.34
152.7,-22.76,-28.46,-0.5,0.74,4.69
160.07,-19.23,-31.5,-0.5,-0.02,4.45
168.11,-15.12,-31.32,0.19,-0.38,4.62
175.91,-12.22,-28.25,0.88,-0.56,4.82
-177.01,-10.76,-21.87,1.0,-0.34,6.03
-170.4,-10.45,-13.97,1.3,0.42,6.81
-164.84,-10.1,-4.81,1.92,0.94,7.92
-161.26,-10.37,5.68,1.91,1.61,8.77
-159.78,-8.96,18.15,2.15,2.67,9.64
-161.55,-7.67,24.53,2.19,2.65,9.78
-165.41,-5.94,28.89,2.1,2.98,9.8
-171.12,-3.88,32.48,0.82,3.35,9.81
-176.85,-1.19,33.76,0.99,3.89,9.81
175.25,1.54,31.98,1.03,5.03,9.81
165.4,5.28,26.67,-1.56,5.55,9.81
156.97,8.23,17.47,-2.25,5.26,9.81
149.9,9.58,6.79,-2.44,4.17,9.51
144.4,8.53,-3.26,-1.77,2.73,7.65
139.22,6.98,-10.95,-1.51,1.49,6.41
135.22,3.46,-16.98,-1.0,0.61,5.6
130.83,-0.12,-21.06,-0.83,-0.17,4.62
125.82,-3.82,-21.8,-1.44,-0.78,4.42
120.91,-6.37,-18.89,-1.37,-0.86,5.2
115.64,-8.19,-13.14,-1.92,-0.68,6.58
111.11,-9.37,-6.11,-2.53,-0.35,8.96
108.21,-9.41,-1.49,-3.02,-0.09,9.67
107.33,-6.65,0.96,-2.15,0.06,9.79
107.49,-3.4,3.27,-1.89,-0.14,9.8
109.06,-0.73,6.64,-1.51,0.16,9.81
111.7,2.3,8.28,-1.79,0.45,9.81
116.14,6.13,8.06,0.23,0.51,9.81
119.57,9.35,7.16,0.5,0.25,9.73
123.22,11.01,6.47,1.01,0.08,9.61
127.23,11.77,6.32,1.14,0.05,9.09
131.35,12.25,7.28,1.74,0.25,9.52
135.04,11.61,7.39,1.6,0.3,9.76
139.01,10.79,7.11,1.98,0.38,9.8
142.17,10.3,6.78,2.48,0.42,9.63
143.71,10.13,6.31,2.65,0.44,9.63
143.85,9.76,5.46,2.05,0.42,9.65
143.44,10.59,5.03,1.68,0.38,9.37
142.55,11.25,5.06,1.71,0.49,9.68
141.49,10.81,4.46,1.26,0.46,9.52
140.56,10.44,4.24,1.3,0.48,9.63
139.6,9.79,4.04,0.79,0.44,9.72
139.27,8.74,3.28,1.06,0.44,9.78
138.51,7.12,2.06,0.63,0.21,9.4
138.01,6.31,1.89,0.38,0.11,9.53
138.01,5.36,1.92,0.58,0.17,9.73
138.02,4.91,1.8,0.64,0.2,9.73
