yaw,pitch,roll,accelx,accely,accelz
0.38,-0.09,-0.01,-0.02,0.0,9.8
0.38,-0.1,-0.01,-0.02,-0.0,9.8
0.38,-0.09,-0.01,-0.01,0.0,9.8
0.38,-0.09,-0.01,-0.01,-0.01,9.8
0.38,-0.09,-0.01,-0.01,0.0,9.8
0.39,-0.08,-0.01,-0.01,-0.01,9.79
0.4,-0.08,-0.01,-0.01,-0.0,9.8
0.4,-0.08,-0.01,-0.02,-0.01,9.8
0.4,-0.08,-0.01,-0.02,-0.0,9.8
0.4,-0.08,-0.01,-0.01,-0.0,9.8
0.4,-0.09,-0.01,-0.02,-0.0,9.8
0.4,-0.08,-0.01,-0.01,0.0,9.8
0.4,-0.08,-0.01,-0.01,0.0,9.8
0.4,-0.08,-0.01,-0.02,0.0,9.8
0.4,-0.08,-0.01,-0.01,-0.0,9.8
0.39,-0.08,-0.01,-0.01,-0.0,9.8
0.4,-0.09,-0.01,-0.02,0.0,9.8
0.39,-0.08,-0.01,-0.01,-0.01,9.79
0.39,-0.08,-0.01,-0.01,0.0,9.8
0.39,-0.08,-0.01,-0.01,-0.0,9.8
0.4,-0.09,-0.0,-0.02,0.0,9.8
0.4,-0.09,-0.0,-0.02,-0.0,9.8
0.4,-0.09,-0.0,-0.01,0.0,9.8
0.4,-0.09,-0.0,-0.02,-0.0,9.8
0.4,-0.09,-0.0,-0.01,0.0,9.8
0.4,-0.09,-0.0,-0.02,0.0,9.8
0.39,-0.08,-0.0,-0.01,-0.0,9.8
0.39,-0.08,-0.0,-0.02,0.0,9.8
0.39,-0.08,-0.0,-0.01,0.0,9.8
0.39,-0.08,-0.0,-0.02,0.0,9.8
0.39,-0.08,-0.0,-0.01,-0.0,9.8
0.38,-0.08,-0.0,-0.01,0.01,9.8
0.38,-0.08,-0.0,-0.02,-0.0,9.8
0.38,-0.08,0.01,-0.01,0.0,9.8
0.38,-0.08,-0.0,-0.02,-0.0,9.8
0.38,-0.08,-0.0,-0.02,0.0,9.8
0.38,-0.09,-0.0,-0.02,0.0,9.8
0.39,-0.09,-0.0,-0.02,-0.0,9.8
0.38,-0.09,-0.0,-0.01,0.0,9.8
0.38,-0.1,-0.0,-0.02,-0.01,9.8
0.38,-0.1,-0.0,-0.01,-0.0,9.8
0.38,-0.09,-0.0,-0.01,-0.01,9.8
0.38,-0.09,-0.0,-0.02,-0.0,9.8
0.38,-0.09,-0.0,-0.02,-0.0,9.8
0.38,-0.1,-0.0,-0.02,0.01,9.8
0.38,-0.1,-0.0,-0.01,0.0,9.8
0.38,-0.1,-0.0,-0.02,-0.0,9.8
0.38,-0.1,-0.01,-0.01,-0.01,9.8
0.38,-0.1,-0.01,-0.02,-0.01,9.8
0.38,-0.1,-0.01,-0.02,-0.0,9.8
0.38,-0.09,-0.01,-0.01,0.0,9.8
0.37,-0.09,-0.01,-0.01,0.01,9.8
0.37,-0.09,-0.0,-0.02,0.0,9.8
0.37,-0.09,-0.0,-0.01,0.0,9.79
0.37,-0.08,-0.0,-0.01,0.0,9.8
0.37,-0.08,-0.0,-0.02,0.0,9.8
0.37,-0.09,-0.0,-0.01,-0.0,9.8
0.37,-0.08,-0.0,-0.02,0.0,9.8
0.37,-0.08,-0.01,-0.01,-0.01,9.8
0.37,-0.08,-0.0,-0.02,0.0,9.8
