yaw,pitch,roll,accelx,accely,accelz
172.39,-3.48,-37.06,-0.61,-2.6,5.61
170.65,-3.64,-35.91,0.32,-2.41,8.16
168.58,-4.81,-34.94,-0.37,-2.6,8.13
168.3,-4.39,-35.19,-0.44,-2.74,6.17
169.6,-5.42,-32.95,0.49,-2.25,4.04
169.59,-7.78,-21.84,0.9,-0.43,5.91
167.82,-11.14,-8.17,-0.7,1.14,9.08
167.58,-11.96,1.76,-1.22,1.66,9.69
168.7,-12.5,11.79,-1.14,2.58,9.79
170.79,-16.14,20.77,-1.67,3.09,9.8
171.26,-16.06,23.2,-0.98,2.79,9.81
170.15,-15.56,21.76,-0.46,2.41,9.81
168.86,-14.2,20.74,0.24,2.38,9.81
166.43,-13.33,19.22,0.86,2.51,9.49
162.0,-13.1,18.01,0.45,2.42,8.9
156.53,-13.09,17.81,0.27,2.6,8.87
148.9,-14.58,18.04,-0.61,3.08,9.03
139.95,-14.75,17.76,-2.01,3.16,8.5
132.44,-12.56,18.07,-2.46,2.93,8.79
125.32,-11.25,17.28,-3.79,2.37,9.08
119.86,-12.66,15.67,-4.96,1.95,8.91
119.33,-15.1,15.08,-5.07,1.97,9.49
122.4,-13.15,12.44,-3.21,2.48,9.76
125.58,-12.49,7.5,-1.89,2.86,9.8
128.3,-8.61,-0.48,-1.42,2.57,9.8
131.87,-6.53,-10.3,-0.3,1.98,9.46
133.59,-1.88,-19.57,0.04,0.88,8.78
136.09,-0.42,-30.4,0.47,-0.12,7.52
138.03,0.27,-41.62,-0.21,-1.95,5.04
140.89,-0.22,-47.58,-0.28,-3.32,4.12
140.52,0.23,-47.58,-0.29,-3.79,4.64
138.29,-0.54,-43.53,-0.65,-3.82,6.38
135.31,-2.34,-38.86,-2.43,-3.62,7.9
136.56,-3.77,-35.0,-2.95,-3.14,8.64
140.99,-3.53,-31.71,-1.46,-2.59,8.31
144.95,-3.0,-27.37,-1.32,-2.03,8.42
151.24,-1.42,-22.59,0.5,-1.43,9.0
156.68,0.53,-18.96,1.6,-1.45,8.91
160.4,4.97,-15.04,2.75,-1.39,9.17
162.17,7.44,-12.8,2.55,-1.56,9.23
163.15,8.62,-11.8,2.29,-1.82,7.83
163.29,6.89,-9.32,1.47,-1.64,6.73
162.81,3.81,-2.8,0.56,-0.88,7.51
163.55,-0.69,4.77,0.33,0.25,8.45
164.62,-4.63,12.25,-0.33,1.08,9.2
166.2,-4.45,20.3,-0.11,2.19,9.68
167.94,-6.3,26.02,-0.25,2.57,9.79
168.87,-6.99,28.53,-0.14,2.56,9.8
168.87,-8.31,28.8,-0.25,2.36,9.81
168.58,-10.54,27.95,-0.1,2.23,9.56
168.42,-10.4,28.32,0.71,2.66,9.49
166.38,-8.8,28.86,1.41,2.99,9.76
161.89,-7.07,27.64,1.1,3.02,9.8
156.14,-6.68,26.03,0.18,3.04,9.5
149.64,-6.44,24.8,-0.66,3.2,9.69
142.93,-4.92,22.3,-1.17,3.15,9.52
136.09,-5.56,19.01,-1.73,2.79,8.62
129.57,-6.57,16.9,-2.86,2.18,7.61
126.84,-7.57,18.23,-2.21,2.11,8.42
124.75,-7.42,19.52,-1.85,2.28,9.58
