yaw,pitch,roll,accelx,accely,accelz
19.73,2.91,3.77,0.64,0.79,9.71
19.95,1.57,2.81,0.27,0.7,9.57
20.59,0.61,2.34,-0.55,0.65,9.3
22.0,-1.6,1.94,-1.15,0.72,9.73
23.7,-4.57,0.09,-2.63,0.47,8.72
27.65,-6.3,0.65,-2.81,0.71,9.11
33.28,-8.39,1.55,-2.44,1.29,9.57
39.81,-9.75,2.41,-1.76,1.72,9.66
47.01,-11.25,3.5,-0.83,2.13,9.73
54.34,-9.5,5.28,1.31,2.51,9.79
59.7,-8.18,6.25,2.72,2.16,9.73
62.33,-8.11,7.66,2.63,1.75,9.79
63.65,-8.51,8.12,1.22,1.2,9.8
65.47,-6.45,8.99,0.8,1.08,9.81
66.42,-2.86,8.12,1.39,0.96,9.81
65.33,-0.65,7.54,1.3,0.9,9.81
62.61,-0.04,5.66,0.17,1.07,9.81
60.74,1.56,2.53,-0.74,1.27,9.81
60.4,3.42,-0.81,0.28,2.13,9.81
58.3,5.56,-5.92,0.04,2.74,9.81
55.55,5.9,-11.79,-0.44,2.27,9.55
52.31,5.36,-18.4,-1.04,1.16,7.22
49.5,4.39,-24.29,-1.22,-0.44,5.33
47.95,3.48,-27.77,-0.91,-1.47,4.95
47.15,3.74,-29.1,-0.42,-1.94,5.68
46.84,3.67,-29.81,0.3,-2.31,6.25
45.99,2.64,-30.03,0.15,-2.54,6.4
45.26,1.69,-29.43,-0.02,-2.69,6.37
45.16,1.27,-27.68,0.28,-2.6,6.25
45.25,1.3,-24.85,0.8,-2.03,5.95
45.12,1.84,-20.33,0.97,-1.17,6.38
44.75,2.77,-15.78,2.22,0.09,7.18
41.25,3.75,-11.68,1.18,0.86,6.86
37.95,5.44,-5.9,0.89,1.98,7.81
33.77,6.53,1.76,0.49,2.49,9.04
28.47,6.7,11.46,-0.56,2.92,9.69
24.05,7.14,19.31,-1.15,2.44,9.79
20.34,7.35,25.63,-1.38,2.07,9.8
18.22,7.86,28.18,-0.8,1.39,9.81
15.14,7.23,28.82,-0.86,1.36,9.81
13.54,6.78,26.18,-2.53,1.33,9.81
15.68,6.98,23.25,-1.15,1.85,9.81
18.19,7.06,19.6,-0.84,2.22,9.77
21.65,7.27,16.09,-0.81,1.98,9.11
26.17,5.37,13.46,-0.53,1.84,8.8
31.3,3.0,10.82,0.11,1.64,8.66
37.38,0.43,9.3,1.16,1.64,8.62
41.9,-2.11,8.31,2.01,1.45,9.41
44.62,-4.06,6.66,1.48,0.96,9.18
46.62,-3.94,7.03,1.39,0.62,9.35
48.19,-3.32,7.64,1.09,0.56,9.73
49.09,-2.52,7.63,1.25,0.57,9.78
49.21,-1.46,8.21,0.59,0.67,9.8
49.11,-0.44,7.7,0.82,0.82,9.81
48.14,-0.25,6.73,0.06,0.66,9.74
47.47,-0.01,6.08,-0.04,0.7,9.79
46.69,0.11,5.42,0.01,0.77,9.68
45.47,0.01,5.01,-0.14,0.74,9.63
44.43,-0.32,4.85,-0.45,0.68,9.7
43.83,-0.32,4.62,-0.21,0.71,9.75
