yaw,pitch,roll,accelx,accely,accelz
-147.25,2.78,-28.65,0.46,-3.48,8.43
-147.2,2.68,-26.45,1.09,-0.82,9.31
-146.97,1.75,-23.55,1.48,-0.2,9.06
-147.57,0.68,-19.21,2.22,0.32,8.86
-150.88,-1.05,-14.81,1.91,0.37,9.07
-155.26,-2.19,-11.04,1.46,0.19,7.82
-160.84,-2.31,-4.38,0.26,0.4,8.14
-164.11,-1.07,3.65,0.16,1.14,9.42
-167.3,-0.21,10.94,0.65,1.95,9.74
-169.15,-1.88,12.31,1.6,2.29,9.8
-172.99,-2.12,11.2,1.02,1.99,9.8
-175.48,-5.4,7.32,1.05,2.11,9.81
-178.24,-8.13,2.05,0.58,2.3,9.81
178.95,-10.96,-5.16,0.13,2.09,9.81
176.65,-14.37,-13.59,-0.48,1.75,9.81
174.93,-16.65,-23.93,-1.16,1.5,9.6
174.6,-16.62,-34.06,-1.66,0.64,8.19
176.37,-14.52,-42.82,-1.16,-0.14,7.23
178.83,-11.51,-50.25,-1.7,-0.9,6.19
-176.82,-6.59,-56.14,-0.88,-1.38,4.9
-171.62,-0.95,-59.46,-0.11,-1.92,3.58
-165.24,4.68,-58.52,0.66,-2.08,3.97
-158.3,9.24,-54.82,1.71,-1.87,4.14
-151.98,12.04,-48.38,1.88,-1.92,4.51
-145.23,13.36,-38.01,1.98,-1.12,5.64
-139.22,13.79,-25.19,1.59,-0.38,7.05
-133.56,14.1,-10.26,1.33,0.54,8.55
-127.82,12.4,4.57,1.33,2.01,9.61
-122.12,9.85,16.75,1.3,3.1,9.77
-114.46,7.17,23.36,1.23,3.26,9.8
-104.39,4.6,25.31,1.09,2.57,9.81
-93.3,0.78,25.12,1.08,1.85,9.66
-81.69,-0.55,26.53,2.43,2.96,9.78
-71.59,-0.33,23.48,3.17,4.28,9.8
-65.87,2.47,17.31,3.0,4.18,9.81
-62.76,5.12,9.29,2.76,3.84,9.81
-60.88,7.75,1.59,2.23,3.36,9.81
-60.52,11.57,-5.84,2.43,2.81,9.77
-61.72,14.29,-13.66,2.28,1.85,8.88
-63.9,15.74,-21.23,2.08,0.82,8.02
-66.8,15.49,-28.09,1.28,-0.16,7.52
-69.35,14.37,-34.14,1.13,-1.15,6.52
-71.99,12.59,-38.41,0.65,-2.09,5.79
-74.45,10.51,-40.68,-0.03,-2.9,5.39
-75.79,8.89,-40.13,-0.16,-3.35,6.11
-76.47,8.52,-37.94,0.32,-3.4,7.45
-76.52,8.69,-35.67,0.91,-3.46,8.33
-76.47,8.86,-33.7,1.02,-3.51,8.81
-76.34,9.09,-32.23,1.44,-3.37,9.06
-76.3,8.95,-31.62,1.36,-3.37,8.5
-76.57,8.57,-31.11,0.91,-3.4,8.28
-76.1,8.43,-30.36,1.07,-3.31,8.34
-75.83,8.6,-29.78,1.1,-3.36,8.17
-75.58,9.05,-28.83,1.09,-3.49,8.25
-74.73,9.96,-27.62,1.18,-3.4,8.61
-73.37,11.16,-27.0,1.48,-3.29,8.71
-72.51,12.99,-26.96,1.6,-3.21,8.11
-72.35,15.35,-26.07,2.15,-3.08,8.25
-71.92,15.63,-25.82,2.57,-3.09,7.93
-72.52,14.87,-25.23,2.11,-3.04,8.21
