yaw,pitch,roll,accelx,accely,accelz
-89.53,9.68,22.9,1.09,3.1,8.58
-88.08,7.68,15.96,0.38,0.03,6.82
-85.86,9.05,9.35,0.25,-1.18,6.32
-83.11,10.01,4.89,0.65,-2.42,5.34
-81.07,8.67,0.68,1.65,-3.09,5.42
-81.16,6.0,-2.92,1.06,-3.73,5.5
-80.98,5.51,-4.84,0.57,-3.79,5.76
-79.56,5.02,-6.0,2.09,-3.02,6.18
-79.7,6.09,-8.04,3.23,-2.35,4.02
-80.89,4.64,-4.86,5.61,-1.39,4.42
-89.06,6.56,1.73,4.04,0.02,6.1
-100.53,6.64,9.12,0.71,1.28,8.78
-113.05,11.07,15.09,-1.37,1.87,9.58
-126.02,19.6,20.0,-4.88,1.17,9.77
-135.78,22.21,21.2,-7.38,0.1,9.8
-140.72,19.96,21.25,-8.14,0.1,9.81
-140.36,14.22,20.02,-8.88,0.14,9.81
-134.13,5.43,20.82,-7.83,1.3,9.73
-124.14,-3.31,22.21,-6.08,2.71,9.07
-112.32,-12.78,23.32,-4.91,3.8,9.1
-98.96,-21.54,23.52,-3.5,4.64,9.66
-83.89,-27.71,22.0,-2.2,5.46,9.78
-66.84,-29.46,17.38,1.54,5.59,9.8
-56.1,-32.73,12.47,4.23,4.06,9.81
-47.23,-28.72,10.02,5.87,2.71,9.47
-43.76,-22.33,10.63,6.88,2.07,9.12
-48.79,-19.01,12.79,5.75,2.41,8.62
-59.84,-17.76,16.38,4.1,4.05,7.65
-76.66,-14.66,22.13,2.54,5.77,7.39
-98.76,-10.29,27.62,-2.47,6.82,7.67
-116.86,-5.77,33.72,-7.23,6.14,8.73
-126.13,1.01,37.51,-7.67,5.35,9.64
-130.47,5.96,39.11,-7.03,4.58,9.78
-129.0,11.2,39.73,-3.9,3.94,9.4
-128.94,11.35,39.44,-1.82,3.71,9.55
-126.71,13.08,36.82,-1.16,3.36,9.05
-123.44,17.16,34.87,0.19,2.72,7.13
-129.62,12.21,38.55,-1.71,3.75,8.8
-126.38,12.02,31.62,0.6,3.25,7.53
-126.0,12.28,29.91,0.4,2.81,5.95
-125.5,12.68,33.25,1.2,3.17,9.0
-124.5,13.0,30.93,1.23,3.19,8.53
-124.57,12.73,29.92,0.84,3.08,7.89
-124.63,11.79,29.62,0.96,3.11,8.76
-124.64,10.91,28.2,1.02,3.04,8.44
-125.04,10.05,27.38,0.74,2.98,8.36
-125.03,9.48,26.77,0.7,3.01,8.49
-124.81,9.14,26.32,0.86,3.07,8.44
-124.78,8.78,25.86,0.86,3.11,8.5
-124.82,8.36,25.27,0.83,3.06,8.47
-124.86,7.93,24.8,0.73,3.05,8.45
-124.72,7.67,24.44,0.78,3.08,8.48
-124.66,7.47,23.91,0.87,3.1,8.57
-124.73,7.13,23.41,0.78,3.04,8.38
-124.74,6.82,23.12,0.74,3.05,8.5
-124.64,6.66,22.85,0.78,3.06,8.48
-124.57,6.5,22.58,0.83,3.06,8.53
-124.61,6.32,22.18,0.79,3.05,8.47
-124.63,6.1,21.95,0.72,3.03,8.46
-124.54,5.92,21.77,0.76,3.05,8.49
