yaw,pitch,roll,accelx,accely,accelz
-117.13,-7.9,-33.18,-0.85,-2.93,9.81
-111.75,-6.48,-32.29,-0.46,-2.95,9.81
-106.85,-5.59,-31.21,-0.56,-2.98,9.81
-101.93,-4.77,-29.64,-0.61,-3.07,9.81
-96.83,-3.51,-27.72,-0.33,-2.92,9.81
-92.05,-1.98,-25.99,0.21,-2.69,9.81
-87.53,-0.84,-23.91,0.91,-2.4,9.81
-85.01,1.05,-19.87,2.01,-2.4,9.81
-83.95,-0.02,-14.92,1.42,-2.5,9.81
-83.6,-0.8,-11.92,0.45,-2.77,9.81
-82.43,-0.73,-10.54,0.68,-2.71,9.81
-81.94,0.19,-10.31,0.72,-2.42,9.81
-81.92,0.43,-10.99,0.66,-2.2,9.81
-82.49,0.45,-11.69,0.5,-2.17,9.81
-83.53,0.09,-12.16,-0.13,-2.28,9.81
-84.0,-0.23,-12.4,-0.37,-2.4,9.81
-84.08,-0.15,-12.32,-0.25,-2.39,9.81
-82.14,-1.59,-15.56,-1.02,-2.54,9.81
-78.64,-4.14,-20.03,-0.43,-2.57,9.81
-76.87,-4.04,-20.63,0.04,-2.51,9.81
-75.92,-6.2,-18.83,-0.12,-2.39,9.81
-75.04,-10.25,-16.89,-0.9,-2.27,9.81
-74.8,-12.37,-13.41,-0.97,-1.84,9.81
-75.84,-9.5,-8.23,-0.31,-1.4,9.81
-77.07,-6.63,-1.91,0.47,-0.85,9.81
-79.94,-5.93,4.52,-0.09,-0.44,9.81
-82.08,-4.85,9.05,-0.71,-0.28,9.81
-83.91,-2.7,13.3,0.03,0.11,9.81
-85.26,-1.52,17.37,-0.42,0.59,9.81
-87.49,-0.14,21.14,0.57,1.32,9.81
-93.17,1.22,23.81,0.17,1.57,9.81
-100.03,2.82,25.02,-0.88,1.83,9.81
-106.77,4.38,24.93,-0.96,1.91,9.81
-113.51,6.06,23.8,-0.99,2.13,9.81
-120.48,6.58,20.69,-1.54,1.98,9.81
-126.22,6.72,16.85,-1.87,1.78,9.81
-130.38,6.65,12.13,-1.79,1.48,9.81
-133.58,6.64,7.07,-1.13,1.01,9.81
-136.89,6.59,2.46,-0.75,0.46,9.81
-140.09,5.54,-1.45,-0.76,-0.09,9.81
-143.13,4.74,-3.95,-0.8,-0.38,9.81
-145.84,3.38,-6.32,-1.16,-0.42,9.81
-148.16,1.6,-9.35,-0.83,-0.63,9.81
-150.72,-0.82,-12.91,-1.28,-0.99,9.81
-152.76,-2.67,-16.39,-1.6,-1.37,9.81
-153.88,-4.41,-19.72,-1.62,-1.66,9.81
-154.07,-6.73,-23.43,-1.91,-1.98,9.81
-153.11,-8.1,-26.8,-1.8,-2.37,9.81
-150.83,-8.84,-28.71,-1.85,-2.48,9.81
-147.38,-8.81,-30.56,-1.4,-2.52,9.81
-143.59,-7.9,-31.98,-1.14,-2.63,9.81
-138.79,-7.6,-33.16,-0.93,-2.76,9.81
-133.63,-6.99,-34.71,-0.78,-2.97,9.81
-127.03,-7.05,-35.44,-0.62,-3.1,9.81
-120.6,-6.16,-36.03,-0.29,-2.97,9.81
-114.22,-5.59,-34.66,-0.06,-3.01,9.81
-108.36,-5.13,-32.35,-0.17,-3.07,9.81
-102.36,-4.27,-30.17,-0.01,-2.76,9.81
-95.79,-3.65,-27.95,0.75,-2.6,9.81
-90.97,-2.43,-24.57,1.03,-2.34,9.81
