yaw,pitch,roll,accelx,accely,accelz
-101.86,-1.1,-3.33,0.31,-0.62,8.87
-102.16,-0.36,-3.41,0.64,-1.77,9.48
-103.49,-1.54,-3.63,0.11,-1.86,9.5
-104.76,-2.62,-3.44,-0.3,-1.96,8.85
-105.48,-3.55,-1.15,-0.37,-1.98,8.67
-105.18,-4.13,3.57,-0.61,-1.71,9.1
-103.5,-1.81,10.08,-0.33,-0.75,9.69
-100.9,1.37,14.84,0.95,-0.08,9.79
-99.08,5.94,16.38,1.99,0.91,9.8
-99.48,8.4,11.52,2.01,1.42,9.81
-101.25,11.93,4.25,2.09,1.22,9.81
-105.04,15.3,-3.03,2.41,0.86,9.52
-111.37,16.33,-10.65,2.2,0.42,8.2
-119.97,14.5,-17.13,1.51,0.25,7.08
-130.25,10.45,-21.67,0.3,-0.09,6.54
-140.81,4.9,-24.54,-1.07,-0.64,6.09
-149.59,-1.8,-25.32,-1.47,-1.09,5.36
-158.21,-7.42,-21.23,-2.62,-1.05,5.84
-164.7,-11.1,-14.43,-3.96,-1.08,6.99
-168.05,-12.62,-7.39,-4.2,-1.03,7.74
-168.44,-14.31,-0.34,-4.97,-0.8,8.28
-165.09,-14.85,6.8,-4.24,-0.12,8.91
-161.06,-15.51,14.55,-2.88,0.89,9.39
-157.98,-16.24,23.12,-3.14,2.07,9.74
-154.62,-17.51,28.68,-3.17,2.85,9.8
-151.31,-17.83,28.63,-3.43,2.96,9.8
-146.85,-19.2,24.16,-3.25,2.73,9.81
-141.2,-21.73,19.01,-3.38,2.47,9.81
-134.35,-22.17,11.41,-2.85,2.45,9.81
-127.29,-20.52,2.62,-1.9,2.12,9.69
-121.09,-16.57,-5.9,-1.3,1.34,8.88
-115.43,-12.48,-13.9,-0.88,0.33,7.6
-109.29,-9.49,-20.37,-0.59,-0.73,6.5
-102.53,-6.94,-23.92,-0.39,-1.46,6.03
-96.47,-2.94,-24.03,-0.26,-1.76,6.08
-90.34,1.67,-21.44,0.24,-1.65,6.44
-83.3,3.91,-17.41,0.59,-1.31,6.72
-75.69,4.18,-11.77,1.18,-0.59,6.9
-69.04,2.39,-4.7,2.11,0.08,7.7
-65.62,1.36,2.97,2.11,0.71,8.48
-64.01,-0.91,10.79,1.24,1.32,9.36
-62.84,-3.29,18.25,1.05,1.84,9.74
-62.11,-3.93,23.91,1.22,2.19,9.8
-63.3,-4.59,28.54,1.3,2.62,9.8
-67.44,-5.38,31.84,1.61,3.01,9.81
-74.96,-4.82,33.39,0.69,3.18,9.81
-82.91,-3.23,33.76,0.22,3.17,9.81
-91.78,-2.09,33.05,0.19,3.38,9.81
-102.15,-2.47,31.27,-0.0,3.74,9.79
-113.9,-3.64,29.25,-0.17,3.85,9.35
-125.14,-4.29,27.66,-1.48,3.82,9.73
-131.58,-5.66,22.99,-2.67,3.27,9.79
-133.34,-5.59,16.74,-1.51,2.9,9.72
-135.53,-4.23,11.2,-1.05,2.57,9.67
-137.77,-3.79,5.48,-1.73,1.88,9.18
-138.69,-1.64,0.68,-2.06,1.34,8.64
-138.16,0.52,-3.97,-1.59,0.83,8.14
-136.87,1.08,-9.09,-1.01,0.2,6.86
-135.27,-0.12,-12.0,-0.38,-0.47,5.88
-134.79,-2.4,-10.34,-0.02,-0.55,6.29
