yaw,pitch,roll,accelx,accely,accelz
-8.79,1.74,11.47,-2.38,3.35,9.81
-9.43,0.99,11.34,-2.77,3.23,9.81
-16.54,-2.0,30.36,-6.75,6.45,9.81
-15.86,-8.06,26.49,-4.38,5.89,9.81
-14.84,-14.9,20.21,-2.37,4.77,9.81
-13.97,-20.58,16.85,-0.87,4.41,9.81
-17.03,-28.23,17.63,-1.23,4.42,9.81
-21.3,-26.79,21.75,-2.15,4.66,9.81
-27.35,-32.72,28.67,-2.44,5.06,9.81
-33.76,-34.34,35.14,-3.86,4.58,9.81
-41.77,-39.93,39.0,-3.75,4.73,9.81
-42.91,-40.02,37.51,-3.26,4.77,9.81
-39.05,-40.95,36.8,-2.95,5.04,9.81
-32.29,-38.81,33.62,-1.99,5.03,9.81
-27.88,-35.01,28.61,-2.25,4.92,9.81
-25.49,-32.91,26.3,-2.15,4.93,9.81
-22.91,-26.3,27.06,-2.66,4.83,9.81
-21.78,-23.19,27.83,-3.35,4.75,9.81
-20.38,-20.24,26.86,-2.9,4.58,9.81
-19.0,-17.04,25.21,-2.49,4.25,9.81
-18.16,-13.44,23.01,-2.34,4.0,9.81
-17.61,-6.59,22.22,-2.44,3.99,9.81
-17.18,-1.39,22.38,-2.93,3.82,9.81
-16.15,2.49,23.3,-3.08,3.92,9.81
-14.55,2.76,23.71,-3.48,4.1,9.81
-12.21,3.66,23.78,-3.67,4.08,9.81
-8.72,3.68,23.24,-3.22,3.96,9.81
-5.83,1.88,21.78,-3.09,3.72,9.81
-3.66,0.96,20.2,-3.16,3.64,9.81
-2.57,-0.28,18.35,-3.39,3.24,9.81
-1.62,-2.04,17.3,-3.79,3.18,9.81
-0.29,-5.65,16.32,-4.08,3.24,9.81
1.5,-7.39,17.55,-4.02,3.42,9.81
2.89,-9.18,18.62,-3.64,3.46,9.81
3.88,-11.19,20.42,-3.31,3.46,9.81
3.09,-11.83,19.85,-2.92,3.37,9.81
0.8,-11.24,19.62,-3.64,3.34,9.81
-0.41,-11.92,19.98,-3.61,3.47,9.81
-1.91,-12.3,20.49,-3.23,3.77,9.81
-4.05,-11.12,21.21,-3.42,3.83,9.81
-5.94,-10.99,20.77,-2.8,3.95,9.81
-8.67,-11.26,22.47,-2.88,4.12,9.81
-11.8,-9.75,24.51,-3.08,4.34,9.81
-14.98,-10.09,24.8,-2.98,4.39,9.81
-17.28,-11.35,24.86,-2.61,4.64,9.81
-19.31,-9.57,24.86,-2.39,4.29,9.81
-19.69,-8.97,27.09,-2.4,4.22,9.81
-18.3,-6.84,29.62,-2.17,4.76,9.81
-16.37,-5.83,29.89,-1.92,5.08,9.81
-14.5,-4.22,28.04,-1.84,5.01,9.81
-12.73,-3.0,25.96,-1.74,4.82,9.81
-11.89,-2.8,26.13,-1.17,4.8,9.81
-13.46,-3.86,28.09,-2.03,4.88,9.81
-14.17,-4.21,30.25,-2.57,4.72,9.81
-14.08,-4.35,31.38,-2.19,4.79,9.81
-14.39,-5.2,32.01,-2.09,4.69,9.81
-14.83,-6.58,32.48,-2.25,4.79,9.81
-14.88,-8.16,31.64,-2.21,4.82,9.81
-14.54,-10.54,30.14,-1.91,4.79,9.81
-14.64,-13.35,28.77,-1.68,4.67,9.81
