yaw,pitch,roll,accelx,accely,accelz
71.51,4.49,-7.99,0.45,-1.01,9.51
72.69,4.28,-3.7,0.89,-1.38,7.75
72.31,3.4,0.46,0.58,-0.93,7.74
71.21,4.2,4.67,0.04,-0.53,7.29
70.74,5.73,11.39,-0.22,0.13,7.65
71.36,7.16,20.34,0.47,1.2,9.41
72.85,9.15,28.0,0.82,1.89,9.74
73.37,9.68,33.77,0.82,2.43,9.8
73.69,9.05,36.82,0.63,2.18,9.8
74.87,8.57,40.19,0.67,2.65,9.81
76.35,8.16,40.38,0.89,2.6,9.81
79.27,11.0,38.97,1.75,2.48,9.81
81.93,15.22,34.52,2.0,2.22,9.74
77.56,11.5,31.51,2.87,1.99,9.62
72.96,11.14,27.88,2.53,2.38,9.54
67.78,8.93,24.36,2.12,2.49,8.62
62.5,7.01,22.01,1.51,2.36,7.85
57.62,6.27,21.57,1.29,2.2,8.15
52.22,6.9,22.37,1.32,2.38,9.28
46.31,8.12,21.7,0.41,2.75,9.71
41.86,9.27,20.06,0.13,2.62,9.2
37.63,10.79,19.48,0.03,2.53,8.48
33.64,10.69,20.11,0.31,2.54,8.42
29.22,10.14,21.29,0.18,2.43,8.58
25.14,8.69,22.86,-0.12,2.46,8.85
22.22,5.43,24.35,-0.91,2.7,9.62
22.29,1.3,23.9,-1.33,2.52,9.78
24.25,-0.95,21.77,-0.01,1.8,9.8
23.74,-2.0,19.93,0.5,1.53,9.81
22.17,-1.97,17.01,-0.16,2.12,9.81
21.58,-2.9,12.33,-0.4,2.24,9.81
21.05,-2.99,7.03,-0.43,2.21,9.81
21.22,-3.64,1.53,-0.2,2.11,9.81
20.88,-2.95,-4.54,-0.1,1.84,9.8
20.92,-2.93,-10.15,-0.06,1.21,9.67
20.87,-2.2,-15.4,-0.06,0.68,9.25
21.24,-2.15,-20.04,0.49,0.02,8.8
20.44,-2.25,-24.44,0.44,-0.51,7.84
19.69,-2.84,-28.22,0.37,-1.13,7.02
19.17,-3.47,-30.74,0.24,-1.78,6.27
18.99,-3.49,-31.35,-0.02,-2.29,6.39
19.23,-3.5,-30.55,-0.3,-2.53,6.75
20.11,-4.57,-27.61,-0.77,-2.5,7.7
21.02,-6.37,-24.55,-1.76,-2.0,9.03
23.46,-7.07,-23.25,-1.85,-1.92,9.18
28.12,-8.18,-22.1,-0.93,-2.02,9.14
31.96,-8.78,-20.25,-1.14,-1.88,9.2
36.92,-9.53,-18.23,-0.98,-1.53,9.69
41.12,-7.91,-16.7,-0.69,-1.25,9.78
45.0,-5.86,-15.39,-0.75,-1.04,9.8
50.72,-5.3,-17.83,0.18,-1.52,9.23
55.54,-2.81,-19.41,1.34,-2.05,8.86
58.73,-0.79,-20.3,1.38,-1.85,9.21
61.23,2.23,-24.02,2.04,-2.39,8.15
63.0,5.73,-24.31,2.32,-2.81,7.41
65.45,6.46,-19.9,2.12,-2.52,7.94
67.7,4.88,-12.44,1.8,-1.73,9.36
68.55,2.77,-8.24,1.2,-1.43,9.74
69.04,2.92,-8.38,1.03,-1.44,9.79
69.07,3.83,-10.38,1.03,-1.75,9.5
