yaw,pitch,roll,accelx,accely,accelz
153.09,6.75,10.22,1.89,1.31,9.81
152.9,6.58,9.54,1.25,0.82,9.81
152.69,6.13,8.63,0.86,0.58,9.81
152.88,6.16,8.34,0.81,0.56,9.81
153.3,6.62,8.17,1.53,0.77,9.81
152.91,7.1,7.91,1.79,0.95,9.81
151.68,6.95,7.27,0.65,0.68,9.81
151.84,5.81,6.28,0.13,0.49,9.81
152.65,4.45,5.49,-0.01,0.51,9.81
153.56,3.92,5.34,0.69,0.78,9.81
153.87,3.92,6.79,-0.03,1.13,9.81
155.1,3.23,6.71,-1.0,1.31,9.81
158.82,1.07,5.0,-1.15,1.27,9.81
163.86,0.71,5.62,-0.73,1.58,9.81
170.42,-0.5,6.65,-0.89,2.07,9.81
178.88,-0.82,6.87,0.09,2.6,9.81
-172.45,-0.87,6.77,0.45,2.62,9.81
-162.41,-3.03,5.71,1.12,2.66,9.81
-152.81,-0.83,5.01,3.1,2.36,9.81
-146.29,-3.54,5.11,3.73,1.62,9.81
-143.11,-3.42,6.54,2.21,1.09,9.81
-140.15,0.14,6.43,2.74,0.79,9.81
-140.14,2.41,6.52,2.89,0.58,9.81
-143.09,3.69,6.37,2.86,0.91,9.81
-149.1,2.37,4.64,1.36,1.0,9.81
-154.43,-0.17,3.23,-0.23,0.82,9.81
-158.97,-0.13,2.7,-0.29,1.27,9.81
-163.41,-1.95,0.3,-0.04,2.08,9.81
-168.57,-1.93,-5.82,-0.92,1.82,9.81
-172.81,-2.83,-10.16,-1.09,0.93,9.81
-176.58,-2.11,-15.32,-1.84,0.46,9.81
-177.97,-1.8,-20.96,-1.53,-0.01,9.81
-177.73,-0.67,-26.79,-1.1,-0.67,9.81
-177.1,1.21,-31.23,-0.67,-1.33,9.49
-176.44,4.36,-34.83,-0.35,-1.92,8.53
-174.85,8.08,-36.87,0.55,-2.13,7.7
-173.46,10.77,-36.69,1.24,-2.29,7.7
-173.73,12.69,-35.11,1.66,-2.69,7.58
-176.42,14.12,-30.55,1.36,-2.15,8.21
179.76,14.47,-23.44,1.81,-1.93,9.32
175.34,14.29,-15.81,1.42,-1.37,9.73
171.88,14.99,-8.27,1.23,-0.94,9.79
169.78,16.2,-0.8,1.8,-0.56,9.8
167.87,17.58,5.95,1.87,0.04,9.81
166.19,19.38,12.32,1.81,0.39,9.81
165.83,19.1,18.31,1.94,1.17,9.81
165.16,17.68,23.23,2.04,1.53,9.81
164.26,15.89,28.46,1.97,1.71,9.81
162.8,14.83,32.59,1.37,2.16,9.81
162.01,14.43,32.67,1.83,2.15,9.81
160.8,13.84,28.03,1.55,1.94,9.81
160.44,12.21,21.73,0.84,1.59,9.81
161.2,11.22,17.38,0.96,1.19,9.66
161.84,10.43,15.46,1.59,1.06,9.43
161.16,9.64,16.19,1.02,1.17,9.63
162.07,8.25,19.15,0.98,1.7,9.78
162.78,9.23,21.8,2.37,2.1,9.8
161.93,9.63,21.44,2.03,2.03,9.81
161.08,9.09,18.58,1.5,1.68,9.81
160.44,8.47,15.64,0.83,1.44,9.81
