yaw,pitch,roll,accelx,accely,accelz
95.74,-6.16,-7.35,-2.66,0.02,8.94
94.44,-6.47,-7.28,-4.01,-0.31,9.67
94.69,-7.3,-11.3,-5.14,0.78,9.78
97.04,-6.74,-19.18,-4.15,1.58,9.59
99.96,-4.75,-27.84,-2.88,1.5,6.98
104.62,-2.36,-36.83,-2.08,0.83,3.49
111.31,1.53,-41.96,-0.65,0.52,0.66
115.31,6.86,-38.85,1.15,0.78,1.55
118.17,9.73,-32.5,1.89,1.12,1.41
118.3,9.94,-19.46,1.54,2.17,3.68
117.47,7.18,-3.14,0.41,3.2,6.11
118.68,1.86,15.14,-1.01,4.77,9.14
120.7,-5.18,31.81,-2.1,5.96,9.7
124.21,-12.25,45.73,-5.28,5.94,9.79
135.17,-20.54,56.17,-5.48,6.39,9.8
147.95,-27.46,57.98,-5.02,6.33,9.81
155.7,-31.53,49.14,-3.71,5.91,9.81
161.12,-33.08,36.59,-2.05,5.93,9.81
164.61,-29.92,22.58,-0.42,5.47,9.26
167.19,-23.49,11.02,0.65,4.45,7.32
168.11,-15.59,2.44,2.35,3.53,6.49
164.98,-8.27,-3.52,2.39,2.24,4.5
159.88,-1.67,-3.84,1.3,1.33,4.93
154.06,0.54,-2.25,0.85,1.29,7.09
146.72,1.44,-0.17,-0.27,1.03,7.11
138.88,2.85,4.77,-1.4,0.84,9.15
131.73,4.17,8.42,-2.56,0.75,9.7
126.51,4.97,11.33,-2.61,0.84,9.79
122.72,4.83,11.09,-2.28,0.75,9.8
119.79,2.04,8.26,-2.9,0.51,9.81
119.92,2.61,5.26,-2.29,0.19,9.63
122.19,2.39,3.02,-1.86,0.3,9.35
126.59,4.41,2.22,-0.59,0.49,7.88
131.3,6.69,4.54,0.47,0.7,8.09
135.82,7.56,7.14,1.34,0.89,8.65
138.93,8.68,10.03,2.46,1.14,8.82
138.9,8.18,13.1,2.25,1.56,9.34
137.38,7.38,16.29,2.16,2.21,9.73
133.15,4.61,17.08,1.85,2.32,9.79
127.33,3.83,17.49,0.76,2.06,9.73
121.29,3.28,18.03,0.03,1.9,9.79
115.22,1.81,17.09,-0.94,1.73,9.8
110.61,-0.55,14.54,-1.39,1.48,9.81
107.89,-2.48,11.59,-1.29,1.31,9.65
106.35,-3.44,9.52,-0.91,1.23,9.17
104.88,-3.97,8.64,-0.72,1.18,9.18
103.58,-4.61,7.99,-1.04,1.1,9.42
103.38,-5.31,7.48,-0.89,1.07,9.24
103.83,-5.37,7.76,-0.48,1.18,9.32
104.5,-4.74,8.31,-0.35,1.29,9.71
105.25,-4.56,8.13,-0.22,1.29,9.58
105.96,-4.13,8.14,-0.08,1.26,9.55
106.49,-3.6,8.39,-0.06,1.26,9.56
106.75,-3.17,8.56,-0.02,1.31,9.73
106.61,-3.04,8.51,-0.09,1.28,9.59
106.27,-3.11,8.68,-0.29,1.28,9.72
106.15,-3.0,8.52,-0.32,1.28,9.76
106.06,-2.92,8.27,-0.18,1.29,9.54
105.8,-2.68,8.31,-0.12,1.34,9.69
105.36,-2.59,8.18,-0.08,1.36,9.55
