yaw,pitch,roll,accelx,accely,accelz
19.7,6.76,24.7,0.76,3.33,8.38
26.45,3.98,22.7,1.26,-0.65,7.03
31.78,2.26,19.19,2.41,-1.68,5.69
34.0,0.28,17.38,2.98,-1.99,5.67
31.59,0.99,18.78,2.23,-1.83,6.09
26.91,-0.3,19.65,0.63,-1.81,7.23
22.02,-4.85,19.64,-0.23,-1.64,7.55
16.16,-6.78,21.44,-1.19,-1.3,8.53
7.99,-5.86,23.16,-3.38,-0.66,9.61
0.1,-4.66,23.03,-2.51,-0.08,9.76
-9.77,-4.46,21.26,-3.92,0.38,9.13
-21.29,2.76,20.66,-8.1,0.01,8.08
-24.01,0.4,20.41,-9.36,-0.39,8.91
-20.8,-5.2,19.39,-7.69,-0.02,8.4
-15.19,-10.4,18.98,-6.53,0.37,7.21
-7.02,-13.74,20.86,-5.19,1.07,7.81
1.91,-17.15,21.5,-4.08,1.56,8.78
9.1,-19.04,21.37,-3.72,1.45,9.49
15.14,-19.8,17.47,-5.09,1.33,8.26
27.28,-25.42,15.07,-1.59,2.04,8.34
35.73,-24.23,14.39,1.03,1.81,9.58
40.6,-21.42,11.86,1.85,0.79,9.77
44.25,-19.02,8.31,2.75,0.06,9.68
44.87,-14.4,5.18,2.38,-0.64,8.62
44.03,-12.91,4.33,1.92,-0.33,7.44
41.07,-10.5,7.56,0.67,0.02,7.03
37.53,-6.41,12.8,0.09,0.55,8.09
33.02,-5.26,16.75,0.03,1.43,8.81
25.7,-2.36,21.22,-1.68,1.98,9.29
18.25,1.03,25.95,-3.18,2.26,9.56
13.04,3.88,31.3,-2.22,2.7,9.77
7.73,6.3,35.2,-2.61,2.84,9.8
4.94,7.33,36.76,-3.35,3.0,9.42
4.96,7.17,39.74,-1.75,2.56,8.62
2.0,4.72,45.67,-2.49,3.3,9.32
1.43,3.15,51.22,-3.02,4.26,9.73
3.56,0.57,48.51,-1.48,4.32,9.69
4.9,0.88,45.31,-0.33,4.45,8.62
4.5,3.5,42.66,0.11,4.28,8.01
3.0,7.02,40.26,-0.03,3.86,7.07
1.0,11.11,40.57,0.41,3.61,6.81
-1.89,13.45,41.81,0.77,3.62,8.11
-3.34,13.19,40.25,0.45,3.82,8.72
-2.86,10.94,37.75,-0.03,3.86,8.09
-1.63,8.95,36.56,0.33,3.93,7.81
-0.81,7.12,35.51,0.06,3.72,8.27
1.49,2.82,33.14,-0.06,4.0,8.58
3.05,0.59,30.27,0.18,3.92,8.66
3.33,0.79,27.78,0.24,3.7,8.65
3.05,1.9,25.35,-0.12,3.54,8.54
2.66,4.38,25.8,0.06,3.45,8.3
2.31,5.33,25.92,0.1,3.69,9.37
2.53,4.17,22.38,0.21,3.36,8.41
2.78,1.76,19.4,-0.05,2.87,7.38
2.95,1.97,19.87,-0.02,2.88,7.69
3.24,2.94,22.07,0.25,3.16,8.49
3.26,6.48,25.28,0.74,3.66,8.96
2.06,9.17,27.39,1.16,4.02,9.35
-0.08,11.13,27.5,1.11,4.09,9.68
-0.85,11.0,25.38,0.48,4.07,9.72
