yaw,pitch,roll,accelx,accely,accelz
-152.95,3.57,-4.13,2.49,3.21,9.55
-149.63,7.33,-9.03,3.05,3.67,9.77
-147.01,10.86,-14.06,3.35,4.22,9.8
-144.7,16.44,-21.19,3.04,3.91,8.88
-141.6,24.69,-27.4,4.25,3.17,8.39
-139.84,31.12,-33.56,4.89,2.49,7.87
-139.95,36.11,-40.62,4.72,1.87,7.38
-140.83,38.63,-47.36,5.28,1.19,6.81
-143.94,38.8,-54.67,5.03,0.85,6.07
-149.5,35.8,-59.16,4.13,0.55,5.41
-156.49,31.85,-62.17,2.71,0.16,5.34
-162.16,29.3,-63.83,2.01,-0.54,4.84
-165.97,29.41,-64.5,2.59,-1.21,4.24
-171.2,30.34,-63.46,2.37,-1.49,4.18
-177.72,33.24,-61.7,2.72,-1.71,4.24
171.18,36.35,-57.85,3.06,-1.84,4.67
156.71,39.65,-53.9,3.17,-1.93,4.79
140.74,42.37,-48.22,3.25,-1.97,4.95
128.77,44.04,-41.08,3.11,-1.88,5.18
121.81,44.02,-32.05,3.41,-1.79,5.56
116.05,43.49,-23.99,2.9,-1.42,5.76
111.99,42.75,-15.47,2.52,-0.94,6.23
109.38,43.16,-6.26,2.24,-0.41,6.86
108.51,45.09,3.92,2.53,0.12,7.57
109.54,46.02,14.53,2.73,0.49,8.22
112.22,46.79,25.59,2.82,0.92,8.66
116.15,45.23,34.9,3.08,1.28,9.04
121.15,41.97,41.99,3.4,1.69,8.94
126.72,38.16,47.37,3.92,2.05,8.29
132.65,34.92,52.23,4.28,2.54,8.47
138.35,31.02,54.86,4.56,2.98,8.17
143.32,27.28,55.85,4.59,3.28,7.89
148.03,23.76,55.66,3.9,3.69,7.8
153.49,20.27,54.53,4.13,4.13,7.42
158.86,17.18,52.63,4.47,4.39,7.38
163.73,14.54,49.9,4.68,4.54,7.2
167.27,12.66,46.58,4.33,4.67,7.09
170.6,10.9,42.87,3.77,4.82,7.67
173.95,8.83,37.84,3.38,4.93,7.62
177.62,5.97,32.66,2.85,4.97,7.29
-177.95,4.16,27.38,2.38,4.98,7.78
-172.85,2.1,21.38,2.81,4.47,7.51
-168.63,0.82,16.17,2.59,3.84,7.5
-165.42,0.47,11.25,2.36,3.23,7.51
-163.18,0.54,7.89,2.37,2.61,7.76
-162.8,0.04,5.6,1.95,2.23,8.28
-163.4,-0.75,3.98,1.33,2.11,8.94
-164.59,-1.01,2.31,1.0,1.92,9.23
-166.33,-1.77,0.86,0.72,1.75,9.37
-168.47,-3.43,-0.04,0.25,1.69,9.53
-170.4,-5.39,-0.98,-0.15,1.51,9.46
-171.93,-6.65,-1.64,-0.39,1.37,9.36
-172.96,-7.44,-1.75,-0.37,1.18,9.27
-173.92,-7.46,-1.71,-0.29,1.04,9.32
-174.81,-7.43,-1.24,-0.35,0.96,9.26
-175.69,-7.17,-0.38,-0.3,0.96,9.54
-176.49,-6.89,0.38,-0.46,0.96,9.59
-176.91,-6.51,1.16,-0.38,0.99,9.77
-177.2,-5.97,1.38,-0.34,0.98,9.77
-177.43,-5.42,1.5,-0.24,0.99,9.71
