yaw,pitch,roll,accelx,accely,accelz
2.15,9.56,-13.47,1.37,-2.06,8.84
-1.06,7.95,-13.7,1.58,-1.55,9.26
-5.58,4.16,-14.42,0.49,-0.78,8.28
-10.18,-1.69,-11.77,-0.53,-0.29,8.82
-15.57,-5.21,-4.36,-2.47,0.49,9.56
-21.33,-16.32,-7.65,-7.76,1.04,9.77
-22.13,-17.92,-16.48,-6.26,0.95,9.68
-20.67,-16.56,-23.53,-3.97,1.07,6.89
-17.97,-15.11,-28.09,-2.91,0.69,5.33
-12.7,-13.28,-30.97,-1.41,0.63,4.25
-6.75,-10.62,-30.59,0.25,0.44,3.83
-0.97,-8.39,-26.67,0.17,0.51,3.66
6.2,-5.46,-18.74,1.52,1.36,4.62
11.68,-4.86,-7.61,1.44,2.46,5.61
16.2,-5.12,6.38,0.48,3.73,7.27
20.36,-7.15,21.41,-1.02,5.14,8.33
25.42,-10.41,37.5,-1.38,7.18,9.57
29.3,-14.97,50.59,-2.8,7.92,9.77
35.65,-22.89,59.63,-3.75,8.03,9.8
42.92,-31.12,64.76,-4.13,7.53,9.8
53.24,-39.33,62.2,-4.08,6.93,9.81
66.11,-43.76,50.68,-3.34,6.43,9.81
78.92,-44.52,34.14,-3.13,6.37,9.81
88.99,-42.66,16.89,-2.0,6.44,9.81
95.47,-39.88,2.34,-1.1,5.68,9.8
99.62,-33.79,-8.75,-0.02,4.73,8.74
100.76,-28.24,-17.02,0.98,3.58,7.77
98.78,-23.5,-23.31,0.92,2.07,6.34
94.47,-20.6,-27.93,0.62,0.95,5.56
87.89,-19.19,-30.26,0.31,0.39,5.15
79.63,-19.3,-30.17,0.08,0.37,5.4
69.6,-20.8,-27.59,-0.47,0.9,6.07
58.6,-23.44,-23.32,-1.38,1.56,6.28
47.29,-25.81,-16.74,-1.61,2.66,6.69
35.06,-27.13,-8.03,-2.55,3.58,7.01
22.22,-27.1,2.64,-3.57,4.99,8.4
9.64,-24.26,12.65,-4.19,5.81,8.99
-3.11,-20.39,19.76,-5.47,6.36,9.68
-14.04,-14.69,23.69,-4.78,6.88,9.79
-25.73,-11.16,24.78,-5.24,6.85,9.8
-36.25,-8.57,23.4,-5.65,6.2,9.81
-45.61,-7.55,18.18,-7.08,5.58,9.81
-49.97,-5.87,11.25,-6.35,4.8,9.81
-51.54,-2.41,2.78,-5.05,4.22,9.73
-50.4,-0.76,-5.6,-3.41,3.3,9.1
-47.2,0.73,-13.5,-2.04,2.56,8.38
-41.95,0.93,-20.48,-1.55,1.99,7.29
-35.26,1.83,-25.24,-0.1,1.84,7.11
-29.27,2.51,-28.66,0.43,0.89,6.1
-23.23,1.71,-29.39,1.07,0.25,6.79
-18.15,1.37,-28.17,1.54,-0.17,7.54
-13.92,0.69,-26.54,1.65,-1.09,7.44
-10.31,2.25,-22.22,1.56,-1.79,7.66
-6.67,5.39,-15.49,1.82,-2.26,9.37
-3.07,7.95,-12.21,2.19,-2.42,9.74
-0.81,8.47,-12.05,2.41,-1.98,9.8
-0.42,7.01,-13.8,1.39,-1.85,9.54
-0.64,6.03,-14.21,0.56,-1.72,9.36
-0.54,6.29,-13.89,0.5,-1.66,9.65
-0.17,6.65,-13.84,0.93,-1.62,9.22
