yaw,pitch,roll,accelx,accely,accelz
-73.35,29.08,36.97,2.53,-0.98,7.05
-66.3,31.96,43.37,3.54,-1.5,7.19
-60.8,32.44,46.46,4.45,-1.49,7.02
-60.12,31.71,44.87,5.45,-1.9,7.07
-61.12,31.14,43.03,5.7,-1.37,8.11
-65.2,32.38,35.76,4.87,-1.28,7.35
-67.64,34.19,28.85,3.93,-1.39,5.79
-67.57,35.54,25.83,4.03,-1.44,5.13
-65.85,34.02,25.88,4.22,-0.59,5.81
-64.72,32.21,26.0,4.29,-0.69,6.03
-66.19,30.39,25.86,5.08,-1.27,4.89
-72.2,25.87,29.01,5.25,-0.83,5.99
-82.77,18.99,31.04,2.51,0.15,9.04
-81.25,18.24,25.62,3.1,-0.34,8.81
-78.36,17.71,21.01,3.59,-0.53,7.93
-76.36,15.44,14.44,3.84,0.16,8.27
-74.52,11.6,5.93,3.19,-0.61,6.88
-71.34,7.6,4.47,3.13,-1.4,6.5
-70.08,5.91,9.67,2.36,-1.38,7.97
-69.36,5.28,16.88,2.45,-0.27,9.04
-67.6,4.61,21.31,1.8,0.34,9.64
-62.91,4.83,21.93,0.64,1.54,9.77
-54.59,2.27,21.09,2.43,2.91,9.59
-49.21,2.35,19.23,4.65,2.73,9.24
-48.59,3.62,17.78,3.63,2.29,8.85
-49.12,5.27,16.36,2.6,1.9,8.89
-49.24,6.65,14.94,2.27,1.59,8.51
-48.86,8.37,14.58,2.32,1.5,8.35
-47.97,9.32,15.18,2.53,1.54,8.63
-47.08,10.15,15.81,2.68,1.75,8.97
-46.45,10.4,15.76,2.7,1.96,8.88
-46.01,10.02,15.4,2.89,2.12,8.59
-46.45,9.55,15.18,3.1,2.06,8.75
-48.15,8.77,14.31,2.61,1.6,8.9
-50.22,7.94,13.51,1.99,1.11,9.0
-51.83,7.04,13.1,1.52,0.96,9.49
-52.64,5.32,11.97,1.49,0.96,9.09
-52.68,2.6,11.07,2.16,1.0,8.71
-53.34,-2.35,9.42,1.61,1.62,7.87
-53.55,-6.5,12.09,1.64,1.87,7.46
-53.44,-7.92,19.97,1.56,3.05,8.79
-52.94,-8.3,26.84,1.32,3.53,9.64
-55.28,-8.46,29.58,1.17,3.54,9.78
-60.98,-7.26,28.45,0.07,3.03,9.66
-64.84,-6.82,27.93,-1.4,2.41,9.62
-65.37,-6.27,25.09,-0.47,2.58,9.46
-65.51,-4.91,22.28,0.32,2.52,8.7
-65.39,-3.85,21.0,0.54,2.53,8.53
-65.33,-2.73,20.55,1.06,2.56,8.78
-66.27,-1.82,20.36,1.03,2.5,9.0
-67.63,-1.33,20.32,0.62,2.52,9.22
-68.56,-1.09,20.29,0.28,2.55,9.34
-68.97,-0.93,19.33,0.25,2.39,9.1
-68.85,-0.8,18.62,0.36,2.31,8.58
-68.21,-0.33,19.51,0.66,2.52,8.95
-67.77,0.42,20.31,0.75,2.71,9.34
-67.41,0.88,19.98,0.7,2.74,9.27
-67.04,1.31,19.21,0.81,2.64,8.97
-66.74,1.66,18.78,0.57,2.5,8.78
-65.9,2.14,19.24,0.73,2.68,8.95
