yaw,pitch,roll,accelx,accely,accelz
-67.71,-3.74,-6.57,-2.02,-0.03,9.21
-69.57,-4.46,-6.11,-1.91,0.17,9.18
-71.94,-4.49,-5.38,-1.82,0.35,9.68
-74.58,-4.38,-5.09,-1.39,0.59,9.27
-78.65,-3.98,-4.17,-1.47,1.15,9.72
-83.76,-3.32,-4.86,-1.63,1.54,9.14
-89.66,-3.25,-4.0,-1.17,2.4,9.69
-98.38,-5.34,-5.74,-1.45,3.14,9.51
-109.83,-10.96,-8.77,-3.28,3.36,8.92
-120.76,-17.4,-12.08,-5.27,2.59,7.18
-128.95,-21.82,-13.01,-5.86,1.72,7.05
-134.27,-23.82,-13.03,-5.66,0.91,6.56
-137.22,-24.76,-12.19,-5.27,0.38,7.67
-138.17,-26.72,-12.87,-5.9,-0.34,7.51
-135.84,-27.02,-12.49,-6.31,-0.61,9.04
-131.39,-27.37,-14.49,-6.32,-0.51,9.69
-125.03,-27.57,-18.29,-6.24,-0.23,9.79
-116.45,-27.05,-23.16,-5.7,0.35,9.8
-107.43,-23.46,-27.86,-3.99,0.85,9.81
-99.26,-19.41,-33.13,-2.37,0.58,9.81
-91.75,-15.61,-38.93,-1.96,-0.14,9.14
-84.67,-10.87,-43.59,-0.69,-0.6,8.33
-77.9,-7.53,-48.61,-0.19,-1.25,6.77
-72.31,-4.36,-52.19,0.15,-1.76,5.24
-69.03,-1.39,-53.4,0.81,-2.2,5.12
-65.55,-0.53,-54.59,0.69,-2.68,4.55
-63.4,-0.53,-54.48,0.77,-2.87,4.36
-62.68,-2.38,-53.61,0.21,-2.89,4.24
-62.66,-5.06,-51.93,-0.11,-2.81,3.82
-63.79,-8.59,-48.7,-0.31,-2.41,3.62
-67.93,-11.77,-42.1,-0.8,-1.81,3.83
-73.11,-15.04,-32.45,-0.98,-1.28,4.96
-78.52,-20.43,-21.41,-2.36,-0.34,5.64
-84.44,-25.39,-7.43,-3.42,0.83,7.02
-90.62,-28.98,7.52,-4.39,1.52,8.13
-97.66,-31.6,22.17,-5.35,2.44,9.46
-103.87,-31.64,33.95,-5.66,2.7,9.62
-110.53,-31.88,43.89,-5.86,2.85,9.76
-115.73,-31.17,50.97,-5.82,2.86,9.77
-119.25,-30.61,55.82,-5.9,2.64,9.52
-119.02,-29.63,57.39,-5.39,2.53,9.74
-117.84,-30.07,56.57,-4.82,2.34,8.91
-116.19,-30.22,54.89,-4.35,2.37,8.39
-113.49,-29.67,52.12,-4.38,2.42,8.3
-110.31,-29.84,48.11,-4.14,2.51,7.9
-107.33,-29.83,43.61,-3.92,2.59,7.34
-104.94,-29.54,39.43,-3.87,2.58,7.15
-102.62,-29.04,35.11,-4.09,2.59,7.29
-99.39,-27.76,30.11,-4.22,2.63,7.82
-95.54,-26.04,23.88,-4.12,2.69,8.31
-91.89,-23.88,16.71,-3.81,2.59,8.59
-89.22,-21.11,9.06,-3.48,2.22,8.29
-87.77,-17.35,2.51,-3.38,1.59,8.01
-87.22,-13.77,-2.71,-3.36,0.81,7.61
-86.89,-11.27,-6.51,-3.09,0.13,7.1
-86.7,-9.63,-8.24,-2.95,-0.3,7.24
-86.5,-8.89,-8.7,-2.77,-0.49,7.6
-86.4,-9.47,-8.59,-2.8,-0.52,7.9
-86.19,-10.14,-7.47,-2.74,-0.42,8.47
-85.89,-11.17,-6.46,-2.81,-0.34,9.12
