yaw,pitch,roll,accelx,accely,accelz
95.55,-1.35,7.25,-1.19,2.53,9.17
91.84,-4.45,17.64,-1.85,3.58,9.67
85.99,-7.45,25.9,-2.37,3.91,9.79
77.49,-10.83,31.96,-2.8,4.23,9.8
68.61,-13.22,35.41,-3.27,4.09,9.56
61.29,-13.74,37.76,-2.57,4.09,9.58
53.36,-14.73,38.16,-2.7,4.25,9.52
46.77,-15.79,36.17,-3.23,4.38,9.58
41.97,-15.57,32.31,-3.8,4.24,9.39
39.02,-14.58,27.39,-4.1,4.1,9.44
38.12,-15.22,21.69,-3.3,4.09,9.42
37.12,-15.12,16.23,-3.24,3.97,9.72
36.62,-14.77,9.83,-3.37,3.86,9.79
37.08,-14.92,3.38,-3.48,3.76,9.8
38.78,-14.52,-2.8,-3.1,3.8,9.81
40.92,-12.52,-9.46,-2.29,3.63,9.81
42.75,-9.65,-16.07,-1.31,3.15,9.81
43.73,-6.99,-22.8,-0.45,2.38,9.4
42.94,-4.88,-29.52,-0.23,1.53,8.79
41.3,-3.6,-36.57,-0.7,0.68,8.07
39.1,-0.31,-43.0,0.18,-0.11,6.53
35.9,2.27,-47.23,0.59,-1.01,5.95
31.98,2.58,-50.23,0.68,-1.63,5.67
27.22,0.8,-52.12,0.23,-2.04,5.32
22.95,-2.82,-52.25,-0.17,-2.39,4.86
19.03,-6.08,-49.39,-0.62,-2.41,5.29
15.25,-9.87,-45.4,-1.42,-2.23,5.57
12.63,-12.63,-39.26,-1.42,-1.8,5.78
9.94,-14.92,-30.91,-2.01,-1.23,6.69
7.58,-15.82,-21.47,-2.1,-0.45,7.31
5.03,-16.5,-10.74,-2.18,0.36,8.1
2.2,-16.26,0.9,-2.86,1.32,9.42
-0.4,-16.02,11.02,-2.97,2.17,9.74
-3.38,-16.09,18.64,-3.19,2.54,9.8
-6.58,-15.99,24.2,-3.58,2.43,9.8
-9.53,-15.56,27.84,-4.41,2.31,9.81
-11.44,-14.77,28.72,-4.26,2.15,9.81
-12.68,-13.63,27.7,-3.77,2.13,9.81
-13.54,-12.73,25.0,-3.59,2.08,9.81
-13.23,-12.16,21.0,-3.31,2.06,9.81
-11.66,-10.65,16.8,-2.63,2.09,9.81
-9.58,-7.57,12.79,-2.04,1.98,9.77
-7.31,-3.97,8.77,-1.47,1.66,9.3
-4.79,-0.64,5.5,-1.03,1.41,9.06
-2.25,2.06,2.5,-0.65,1.26,9.08
0.32,4.64,-0.18,-0.48,0.96,8.84
3.13,6.95,-2.36,0.06,0.77,9.34
5.55,7.53,-5.65,0.5,0.5,9.19
6.89,7.2,-9.47,0.44,0.01,8.78
7.52,7.14,-12.34,0.29,-0.54,8.59
7.85,7.25,-14.09,0.06,-0.76,8.96
8.48,7.27,-15.43,0.33,-1.19,8.81
8.91,7.06,-15.66,0.09,-1.6,9.07
10.15,8.13,-14.79,0.36,-1.93,9.2
11.63,9.58,-13.52,1.07,-1.95,9.71
11.65,9.77,-13.69,1.03,-2.06,9.79
10.8,7.88,-14.41,0.3,-2.01,9.52
10.7,6.47,-14.46,0.25,-1.72,9.39
10.88,5.73,-13.96,0.52,-1.63,9.1
10.91,5.22,-12.99,0.54,-1.65,9.38
