yaw,pitch,roll,accelx,accely,accelz
1.26,-1.37,-2.22,-0.28,-0.65,7.32
3.68,-3.85,-3.98,-0.37,-0.97,7.66
6.31,-5.83,-5.7,-0.41,-1.34,8.8
9.09,-3.88,-11.92,0.2,-0.21,7.29
10.53,5.19,-13.17,2.7,-0.36,4.9
8.85,3.38,-11.0,1.07,-1.13,8.53
9.11,3.29,-13.0,1.27,-0.05,8.46
9.39,-0.24,-16.51,2.19,-0.98,5.14
7.78,-1.42,-14.36,1.76,-0.56,4.61
4.5,-1.22,-11.36,-0.24,0.24,4.05
3.67,0.41,-3.53,0.42,0.99,5.99
2.98,3.48,5.11,0.76,2.06,8.38
2.12,8.28,14.24,1.8,2.17,9.58
1.3,7.7,20.75,1.63,1.37,9.77
-0.67,7.87,22.05,0.92,0.61,9.8
-1.3,7.97,20.86,1.17,0.28,9.81
-2.74,9.12,18.41,1.29,0.75,9.81
-4.64,7.51,16.21,-0.51,0.99,9.8
-4.87,5.94,14.51,-1.02,1.19,9.8
-4.15,4.06,13.26,-1.23,1.33,9.79
-2.05,1.0,12.69,-1.52,1.68,9.8
1.2,-1.52,12.0,-1.99,1.9,9.78
6.14,-3.83,11.97,-1.72,2.63,9.8
12.57,-6.56,10.0,-0.83,2.99,9.81
19.52,-8.54,7.08,0.69,2.67,9.81
26.34,-8.99,4.14,2.19,2.18,9.8
32.23,-7.6,-0.84,2.63,1.34,9.26
37.27,-3.26,-5.91,2.9,0.24,7.9
40.4,1.34,-8.0,2.96,-0.56,7.77
41.62,3.41,-7.79,2.57,-0.69,8.54
41.21,4.31,-7.71,1.63,-0.52,8.38
40.23,4.69,-6.52,1.36,-0.21,8.08
38.35,4.77,-4.13,1.01,0.35,7.79
36.05,5.11,-0.59,0.85,0.96,7.37
33.1,6.63,5.04,1.18,1.6,6.95
28.77,8.19,13.3,1.03,2.58,7.45
24.8,12.67,22.3,1.82,3.55,7.63
19.01,18.42,33.74,2.2,4.78,8.15
11.09,22.84,45.69,2.64,5.59,9.52
3.57,26.43,54.09,2.34,5.64,9.76
-1.6,26.77,58.53,1.83,5.21,9.8
-7.1,23.9,62.89,1.57,4.62,7.99
-9.41,20.79,64.9,0.44,5.19,9.38
-6.03,17.69,61.39,0.93,4.84,8.57
-2.85,15.85,57.41,1.58,4.42,7.21
-1.12,14.22,54.58,1.51,4.4,7.14
0.82,12.98,51.65,1.5,4.41,6.82
2.42,12.25,49.11,1.86,4.25,6.67
3.0,12.65,46.72,1.69,4.41,7.02
4.24,12.02,43.81,1.35,4.53,7.12
5.96,11.54,40.65,1.52,4.44,7.63
7.68,10.33,36.43,1.5,4.47,8.28
9.43,8.63,30.44,1.35,4.57,8.51
11.44,6.36,23.51,1.5,4.36,8.33
12.54,3.31,16.75,1.55,4.03,8.27
13.74,-0.23,10.68,1.07,3.26,8.3
14.56,-0.84,4.9,0.97,2.85,8.35
15.44,-1.66,0.7,1.07,2.15,8.36
15.6,-3.35,-1.0,0.89,1.75,9.0
15.23,-4.62,-3.02,0.5,1.44,9.04
