yaw,pitch,roll,accelx,accely,accelz
-45.6,-8.31,-8.0,-1.5,-2.11,9.81
-45.3,-8.29,-8.16,-1.25,-2.16,9.81
-45.28,-8.26,-8.23,-1.58,-2.22,9.81
-45.01,-7.66,-8.12,-1.18,-2.11,9.81
-45.1,-7.09,-8.15,-1.48,-2.1,9.81
-44.72,-6.74,-8.37,-1.39,-2.08,9.81
-44.34,-6.18,-8.24,-1.32,-2.03,9.81
-43.92,-5.88,-8.3,-1.14,-1.91,9.81
-43.71,-5.82,-8.51,-1.39,-1.95,9.81
-42.97,-5.38,-8.61,-1.37,-1.95,9.81
-41.83,-4.44,-8.64,-1.05,-1.85,9.81
-40.71,-3.0,-8.66,-0.62,-1.81,9.81
-40.43,-2.26,-9.42,-0.61,-1.98,9.81
-40.7,-3.14,-10.76,-0.83,-2.05,9.81
-40.84,-3.46,-11.72,-1.21,-2.05,9.81
-40.33,-3.81,-12.62,-1.18,-1.96,9.81
-39.71,-4.63,-14.51,-1.26,-1.95,9.81
-35.82,-4.62,-10.06,-1.08,0.57,9.81
-30.64,-4.93,-4.96,-0.54,1.52,9.81
-25.76,-5.64,-2.8,-0.85,1.58,9.81
-20.42,-5.36,-0.93,-1.25,1.37,9.81
-13.53,-4.84,0.69,-2.0,1.52,9.81
-5.09,-1.88,1.41,-1.74,2.02,9.81
4.21,1.49,0.27,-0.27,2.58,9.81
12.28,5.5,-2.83,0.87,2.58,9.81
19.09,7.74,-7.24,1.6,2.05,9.81
23.24,10.15,-11.99,0.99,1.06,9.81
26.65,12.29,-16.88,0.1,0.66,9.81
30.65,16.98,-21.73,0.86,0.39,9.81
33.5,21.92,-26.02,1.78,-0.09,9.81
34.37,26.54,-29.51,2.31,-0.57,9.81
33.56,29.36,-33.03,2.69,-0.75,9.81
30.75,30.27,-36.18,2.85,-0.95,9.81
25.91,29.78,-39.1,2.75,-1.27,9.81
19.35,27.44,-41.44,2.54,-1.63,9.81
10.36,23.89,-42.1,2.01,-1.95,9.81
-0.99,19.49,-40.99,1.0,-2.1,9.81
-12.52,13.82,-38.6,-0.14,-2.35,9.81
-22.92,9.06,-34.7,-0.82,-2.43,9.81
-32.43,6.04,-29.19,-0.48,-2.09,9.81
-42.1,4.0,-23.25,-1.24,-1.93,9.81
-50.16,2.17,-16.22,-1.71,-1.49,9.81
-56.73,1.08,-9.09,-2.27,-1.17,9.81
-60.9,-0.81,-2.31,-3.22,-1.03,9.81
-62.28,-1.39,4.43,-2.71,-0.52,9.81
-62.09,-1.61,10.21,-2.56,-0.27,9.81
-60.36,-1.29,15.47,-1.88,0.25,9.81
-57.77,-2.81,20.7,-2.5,0.56,9.81
-52.8,-4.2,24.83,-2.16,1.03,9.81
-46.51,-6.48,27.88,-2.44,1.4,9.81
-38.86,-8.97,27.87,-1.75,1.92,9.81
-30.97,-9.29,27.4,-1.14,2.23,9.81
-24.18,-7.99,25.51,-0.68,2.02,9.81
-17.92,-7.66,22.1,0.17,1.84,9.81
-13.36,-6.59,17.85,1.16,1.59,9.81
-10.75,-6.19,13.03,0.92,1.05,9.81
-10.04,-8.09,7.61,0.79,0.62,9.81
-10.31,-5.85,8.24,-0.37,0.54,9.81
-10.2,-5.31,7.07,-0.61,0.52,9.81
-10.22,-4.52,6.11,-0.79,0.34,9.81
