yaw,pitch,roll,accelx,accely,accelz
-46.2,-15.18,-14.31,-1.21,-1.92,9.81
-45.11,-9.11,-13.65,-0.92,-2.45,9.81
-44.38,-1.58,-11.05,-0.66,-2.48,9.81
-42.55,3.67,-6.71,-0.7,-1.94,9.81
-38.18,5.17,-1.75,0.45,-0.8,9.81
-33.04,5.18,1.92,0.86,-0.39,9.81
-26.81,2.01,3.46,1.13,-0.66,9.81
-20.05,-2.3,3.91,2.18,-1.67,9.81
-14.53,-6.54,4.66,3.51,-1.77,9.81
-12.19,-9.06,3.49,5.18,-1.47,9.81
-14.56,-9.63,1.1,3.25,-0.79,9.81
-17.17,-10.24,-6.18,-0.14,-0.54,9.81
-16.76,-10.23,-14.73,-0.28,-0.79,9.81
-15.29,-8.95,-20.7,0.86,-0.53,9.81
-14.45,-8.17,-26.93,0.85,-0.41,9.81
-13.64,-6.81,-32.35,0.31,-0.48,9.81
-11.14,-5.01,-36.46,0.01,-0.66,9.81
-6.88,-1.87,-38.8,-0.42,-0.87,9.81
0.22,4.41,-40.97,0.16,-1.38,9.81
9.23,12.58,-39.95,1.47,-1.44,9.81
19.28,21.84,-36.28,2.18,-0.6,9.81
31.05,31.94,-29.6,3.27,0.62,9.81
43.77,39.87,-18.31,4.98,1.17,9.81
55.63,43.61,-3.56,7.17,1.15,9.81
63.57,44.37,11.68,9.08,1.31,9.81
66.86,45.99,22.54,9.69,1.4,9.81
67.62,51.09,29.07,8.82,1.49,9.81
63.58,55.99,32.89,8.03,1.44,9.81
54.51,61.73,32.47,7.3,1.38,9.81
37.6,66.13,21.46,6.99,0.97,9.81
6.65,65.09,2.81,3.88,1.21,9.81
-16.91,57.32,-6.8,-0.03,0.64,9.81
-27.86,48.24,-4.7,0.18,-0.52,9.81
-35.23,40.13,-3.03,-0.64,-1.4,9.81
-39.54,34.27,1.81,-1.43,-1.88,9.81
-39.79,31.48,7.77,-0.18,-1.74,9.81
-37.16,27.57,13.81,1.56,-1.57,9.81
-35.24,23.68,17.31,2.09,-1.61,9.81
-33.26,18.57,19.98,0.74,-1.64,9.81
-29.45,12.79,21.95,0.89,-1.8,9.81
-25.2,7.57,21.29,2.34,-1.97,9.81
-22.03,3.55,18.87,3.52,-2.45,9.81
-20.47,1.89,15.79,4.37,-2.42,9.81
-20.69,1.06,13.67,3.0,-1.66,9.81
-20.44,0.94,9.05,3.03,-2.02,9.81
-20.77,0.98,6.86,2.65,-1.73,9.81
-21.9,2.84,5.12,2.42,-1.48,9.81
-22.91,3.37,3.54,1.93,-1.21,9.81
-23.9,3.94,1.53,1.62,-1.57,9.81
-24.56,4.31,0.45,1.51,-1.85,9.81
-25.19,5.17,0.24,1.78,-1.78,9.81
-25.91,5.91,-0.64,1.68,-1.84,9.81
-26.52,6.75,-1.46,1.59,-1.83,9.81
-26.86,7.34,-2.34,1.62,-1.79,9.81
-27.06,7.58,-3.19,1.75,-1.78,9.81
-27.54,7.71,-4.24,1.7,-1.87,9.81
-27.91,7.21,-5.13,1.49,-1.72,9.81
-27.93,6.05,-6.16,1.08,-1.59,9.81
-27.27,4.03,-7.66,0.91,-1.62,9.81
-26.23,0.67,-10.04,1.26,-1.93,9.81
