yaw,pitch,roll,accelx,accely,accelz
-49.27,-25.4,22.38,-2.97,4.27,9.81
-49.58,-27.56,20.62,-2.67,4.1,9.81
-48.07,-25.45,21.64,-2.41,3.92,9.81
-47.08,-24.69,21.35,-2.43,3.85,9.81
-45.51,-23.57,21.3,-2.33,3.92,9.81
-44.03,-22.37,21.63,-2.2,3.98,9.81
-43.03,-21.37,22.08,-2.21,3.94,9.81
-42.72,-21.01,22.47,-2.24,3.86,9.81
-42.77,-21.5,23.0,-2.34,3.74,9.81
-42.85,-23.51,24.41,-2.55,4.1,9.81
-43.11,-25.19,26.3,-2.5,4.33,9.81
-44.52,-25.81,27.6,-2.63,4.43,9.81
-47.84,-26.64,27.97,-2.85,4.34,9.81
-51.1,-26.65,28.02,-3.38,4.31,9.81
-52.92,-26.12,27.16,-3.55,4.23,9.81
-53.93,-27.06,25.9,-3.32,4.11,9.81
-53.51,-27.24,25.3,-3.05,4.17,9.81
-53.13,-27.24,24.3,-2.77,4.18,9.81
-53.34,-26.78,23.38,-2.61,4.13,9.81
-54.31,-26.2,22.92,-2.7,4.09,9.81
-55.81,-25.91,22.98,-2.93,4.07,9.81
-57.42,-26.11,23.48,-3.17,4.05,9.81
-58.48,-26.15,23.7,-3.23,4.08,9.81
-59.46,-26.76,23.54,-3.16,4.12,9.81
-60.98,-28.11,23.0,-3.09,4.15,9.81
-61.86,-27.78,22.57,-3.12,4.13,9.81
-62.82,-27.55,22.36,-3.15,4.08,9.81
-65.14,-30.21,22.1,-3.25,4.04,9.81
-66.52,-31.18,21.69,-3.14,4.11,9.81
-67.5,-30.2,21.66,-3.23,4.06,9.81
-68.53,-29.78,21.74,-3.31,4.06,9.81
-69.43,-29.21,21.89,-3.26,4.1,9.81
-70.35,-28.63,22.08,-3.25,4.1,9.81
-70.9,-27.56,22.3,-3.32,4.06,9.81
-71.26,-26.87,22.47,-3.28,4.09,9.81
-71.52,-26.38,22.91,-3.22,4.1,9.81
-71.59,-25.64,23.45,-3.23,4.16,9.81
-71.79,-25.17,23.53,-3.17,4.15,9.81
-72.12,-24.85,23.61,-3.19,4.14,9.81
-72.51,-24.77,23.57,-3.22,4.17,9.81
-72.94,-24.53,23.39,-3.21,4.14,9.81
-73.23,-24.11,23.53,-3.32,4.1,9.81
-72.83,-23.05,23.73,-3.28,4.11,9.81
-72.55,-22.3,24.03,-3.19,4.15,9.81
-72.52,-21.89,24.08,-3.19,4.16,9.81
-72.57,-21.4,23.84,-3.2,4.14,9.81
-72.54,-20.8,23.74,-3.26,4.13,9.81
-72.51,-20.49,23.6,-3.24,4.14,9.81
-72.39,-19.98,23.57,-3.23,4.13,9.81
-72.2,-19.44,23.61,-3.23,4.16,9.81
-72.16,-19.24,23.44,-3.18,4.16,9.81
-72.08,-18.69,23.39,-3.21,4.15,9.81
-72.13,-18.47,23.07,-3.21,4.13,9.81
-72.2,-18.3,23.0,-3.15,4.14,9.81
-72.37,-18.3,22.96,-3.16,4.12,9.81
-72.51,-17.99,23.04,-3.21,4.14,9.81
-72.64,-18.17,23.36,-3.3,4.17,9.81
-72.44,-17.86,23.36,-3.27,4.19,9.81
-72.23,-17.59,22.92,-3.2,4.14,9.81
-71.89,-17.12,22.58,-3.08,4.13,9.81
