yaw,pitch,roll,accelx,accely,accelz
-174.81,3.07,3.02,0.51,0.16,9.81
-173.71,3.67,2.91,1.24,0.52,9.81
-172.7,2.37,-1.88,1.56,0.82,9.81
-173.63,1.81,-6.73,1.2,0.82,9.81
-175.11,0.93,-14.64,-0.78,0.95,9.81
-173.99,0.94,-21.51,0.41,-0.5,9.68
-174.18,0.63,-27.31,0.19,-1.73,8.26
-174.3,0.41,-30.0,0.02,-2.8,8.04
-174.28,-0.09,-30.71,0.1,-3.26,8.34
-174.18,-0.3,-29.78,0.36,-3.3,9.16
-174.66,-1.08,-28.39,0.13,-3.28,9.37
-174.93,-1.93,-25.7,-0.07,-3.29,9.73
-175.5,-3.05,-23.49,-0.89,-2.95,9.79
-175.7,-4.48,-23.02,-1.5,-2.98,9.8
-174.87,-6.91,-22.82,-2.05,-2.75,9.81
-173.23,-8.95,-22.07,-2.37,-3.03,9.81
-168.94,-10.36,-19.82,-2.53,-2.61,9.81
-162.15,-11.48,-20.66,-1.59,-1.99,9.81
-154.71,-10.74,-21.01,-0.25,-1.63,9.81
-148.39,-9.53,-20.86,1.11,-1.38,9.81
-143.91,-7.82,-20.96,1.54,-1.85,9.81
-140.85,-5.28,-22.56,1.58,-2.38,9.81
-138.01,-2.41,-24.44,2.27,-2.78,9.81
-136.09,-0.05,-26.11,2.86,-3.09,9.81
-135.89,1.49,-28.12,2.45,-3.54,9.08
-136.32,1.62,-29.22,1.62,-3.71,8.3
-136.72,0.01,-28.89,0.66,-3.56,7.97
-136.69,-1.3,-26.53,0.09,-3.27,7.9
-135.58,-1.08,-22.03,-0.51,-2.5,8.15
-133.84,-0.54,-17.33,0.77,-2.25,8.4
-134.24,-0.3,-10.17,-1.21,-1.27,9.12
-131.24,1.69,-2.02,-0.39,-0.43,9.7
-127.24,1.27,5.19,1.7,0.61,9.79
-128.14,0.47,11.13,1.05,0.69,9.8
-129.51,-1.23,19.25,0.34,1.29,9.81
-131.24,-0.83,27.39,0.25,1.81,9.81
-131.6,-2.12,28.51,-0.26,1.85,9.81
-129.35,-2.18,23.13,-0.13,1.3,9.81
-126.58,-1.97,16.7,-0.32,0.72,9.81
-123.11,-2.56,11.5,0.61,0.4,9.81
-120.12,-2.56,8.74,1.63,0.28,9.69
-118.85,-0.49,8.96,2.96,0.33,9.77
-120.94,0.91,10.55,3.33,0.85,9.8
-125.16,3.42,10.64,2.43,1.17,9.8
-130.02,5.39,10.74,2.77,1.67,9.81
-137.07,7.4,11.25,1.28,2.09,9.81
-144.68,9.31,11.08,1.76,2.19,9.81
-155.49,12.79,10.85,2.06,2.59,9.81
-169.14,15.99,10.92,0.19,3.12,9.81
179.91,14.64,9.35,-3.7,2.23,9.81
176.81,12.24,6.77,-3.77,0.59,9.81
173.7,9.24,4.83,-2.5,0.16,9.81
171.78,5.99,3.59,-2.99,-0.4,9.81
174.1,6.58,4.19,-0.14,-0.46,9.81
177.06,6.75,4.0,0.45,-0.11,9.81
-179.41,7.1,3.84,2.27,0.39,9.81
-178.71,7.33,3.36,1.98,0.41,9.81
-178.86,7.81,3.35,1.63,0.19,9.81
-179.6,7.5,3.23,1.14,0.17,9.81
179.93,7.03,3.27,0.48,0.15,9.81
