yaw,pitch,roll,accelx,accely,accelz
152.69,-10.24,-27.53,-1.62,-4.1,9.14
156.18,-8.65,-22.82,-0.23,-1.6,9.68
159.84,-6.65,-15.82,-0.97,-0.83,9.79
165.06,-6.23,-9.75,-0.4,-0.24,9.8
170.64,-5.01,-4.29,0.14,0.32,9.81
176.0,-4.32,1.26,0.57,0.75,9.81
-179.26,-2.41,5.41,1.47,1.07,9.81
-176.45,-0.72,8.34,1.94,0.99,9.81
-175.17,0.27,9.45,2.0,0.83,9.81
-175.03,-0.34,8.31,2.12,0.98,9.81
-176.0,2.71,6.27,0.82,0.85,9.81
-176.59,5.9,4.62,-0.02,0.73,9.81
-177.54,7.41,4.05,-0.17,0.26,9.81
-178.53,5.34,3.07,-2.12,-0.07,9.81
-176.21,4.28,2.78,-0.85,0.84,9.81
-173.5,4.85,0.87,2.37,1.44,9.81
-173.71,7.59,-2.37,4.72,0.91,9.81
-178.38,9.31,-5.07,4.61,0.69,9.81
174.52,8.98,-9.35,4.01,0.71,9.81
164.57,6.47,-12.2,1.06,0.33,9.81
155.26,6.11,-14.07,1.28,0.1,9.79
143.81,5.56,-12.52,1.11,0.58,9.75
131.79,2.81,-8.05,-0.57,1.68,9.8
121.95,0.05,-7.31,-2.17,1.8,9.8
113.94,-2.67,-8.18,-2.88,1.07,9.81
107.29,-5.46,-9.31,-3.44,0.1,9.8
102.28,-7.44,-7.73,-4.14,-0.6,9.79
100.15,-7.17,-5.58,-4.4,-1.07,9.8
101.74,-8.75,-4.23,-3.44,-1.22,9.81
105.2,-8.33,-3.28,-1.93,-0.7,9.81
108.61,-8.47,-3.46,-0.36,-0.46,9.81
111.36,-9.62,-4.79,-1.49,-0.32,9.81
116.0,-11.87,-9.3,-1.14,0.05,9.81
121.25,-12.85,-15.14,-0.7,0.09,9.81
127.22,-12.77,-21.36,-0.39,-0.11,9.81
133.23,-11.15,-26.74,0.07,-0.66,9.81
139.46,-9.54,-32.62,0.82,-1.23,9.69
144.27,-8.11,-37.25,0.76,-2.16,8.65
147.6,-6.34,-39.68,0.41,-2.91,8.6
150.84,-3.83,-42.36,0.8,-3.49,7.44
152.57,-2.97,-43.37,0.9,-3.98,6.92
152.49,-2.42,-42.06,0.7,-4.19,7.9
152.01,-3.55,-40.43,0.19,-4.32,8.52
151.09,-3.99,-38.08,-0.1,-4.22,9.29
150.13,-4.2,-35.64,-0.25,-4.25,9.7
149.12,-4.28,-33.6,-0.5,-4.17,9.79
148.48,-4.64,-32.01,-0.58,-4.1,9.8
147.98,-4.55,-30.85,-0.82,-4.07,9.81
148.03,-4.08,-30.24,-0.54,-4.15,9.81
148.17,-4.09,-29.9,-0.61,-4.13,9.63
148.19,-3.85,-29.05,-0.58,-4.08,9.76
148.37,-3.9,-28.4,-0.82,-4.19,9.8
149.06,-3.46,-28.1,-0.5,-4.08,9.8
149.66,-2.43,-28.03,-0.4,-4.03,9.64
150.35,-0.98,-27.86,0.16,-4.02,9.63
150.43,-0.28,-27.8,0.18,-4.06,9.61
150.21,0.78,-27.85,0.15,-4.22,9.39
149.84,1.41,-27.58,-0.07,-4.25,9.24
149.42,2.79,-26.92,0.13,-4.21,9.63
148.91,4.2,-27.03,0.03,-4.23,9.42
