yaw,pitch,roll,accelx,accely,accelz
149.63,5.52,-20.62,0.8,-2.58,9.79
146.32,4.53,-18.37,0.61,-2.58,9.8
142.73,3.81,-15.18,0.22,-2.31,9.81
139.48,3.55,-10.54,0.05,-1.88,9.81
137.18,3.08,-6.01,-0.14,-1.71,9.81
135.9,2.26,-2.24,-0.53,-1.41,9.81
136.48,1.88,2.05,-0.28,-0.77,9.81
138.33,1.9,6.6,0.77,0.16,9.81
138.83,2.36,10.79,1.24,0.66,9.81
137.92,3.55,12.59,0.69,0.58,9.81
137.49,3.25,11.25,0.44,0.5,9.81
137.12,3.24,8.38,0.3,0.19,9.81
137.3,3.37,5.49,0.55,-0.45,9.81
137.25,3.77,4.8,0.67,-0.7,9.81
136.34,4.97,6.86,0.9,-0.63,9.81
134.73,5.98,8.75,0.52,-0.17,9.81
134.73,5.74,9.88,0.1,0.44,9.81
136.29,5.64,9.4,1.08,0.57,9.81
136.8,5.86,8.7,1.33,0.51,9.81
136.67,5.94,7.69,1.0,0.55,9.81
137.09,5.0,4.87,0.79,0.4,9.81
137.8,4.21,1.53,0.96,-0.05,9.81
138.09,3.42,-1.08,0.83,-0.58,9.81
138.15,2.99,-1.36,0.38,-0.8,9.81
138.61,3.25,0.83,0.74,-0.38,9.81
138.71,3.6,3.33,0.84,0.13,9.81
138.6,3.45,5.07,0.92,0.54,9.81
138.36,3.35,5.09,0.57,0.13,9.81
138.18,3.21,5.13,0.46,0.07,9.81
138.18,2.97,5.72,0.58,0.11,9.81
138.04,2.82,6.48,0.63,0.08,9.81
137.82,2.4,8.82,0.93,0.54,9.81
136.76,2.03,13.18,0.92,2.05,9.81
134.69,2.09,12.14,0.34,2.34,9.81
133.22,0.73,5.8,0.19,1.47,9.81
131.56,0.86,0.26,0.06,0.69,9.81
130.25,0.39,-4.54,0.11,0.22,9.81
128.92,-0.57,-9.4,-0.12,-0.27,9.81
127.72,-1.79,-13.93,-0.73,-0.66,9.81
127.59,-2.28,-18.65,-1.15,-1.12,9.81
130.09,-1.86,-24.24,-0.85,-1.81,9.81
133.45,-0.05,-28.94,-0.2,-2.36,9.32
136.18,1.76,-31.7,-0.31,-2.9,8.62
138.92,4.71,-31.64,0.24,-2.96,8.4
140.95,7.87,-29.04,1.22,-2.86,8.53
141.37,9.73,-24.61,1.1,-2.6,8.91
142.34,10.35,-19.01,1.08,-2.05,9.33
143.93,10.16,-12.18,1.4,-1.38,9.68
145.35,9.44,-4.53,1.08,-0.53,9.79
147.3,7.93,4.35,1.32,0.38,9.8
149.1,6.83,13.91,0.16,1.3,9.81
153.67,5.06,20.75,-0.64,2.05,9.81
161.01,1.79,23.94,-0.11,2.43,9.81
168.7,0.54,26.06,0.57,2.68,9.81
175.97,-0.89,25.95,1.5,3.1,9.81
-178.56,-1.64,23.72,2.23,3.21,9.81
-175.59,0.01,20.46,2.64,3.0,9.81
-174.67,2.31,16.65,1.95,2.45,9.81
-173.19,4.07,11.98,1.93,2.06,9.81
-171.9,4.97,6.24,2.09,1.77,9.81
