yaw,pitch,roll,accelx,accely,accelz
-88.41,22.77,21.24,-1.46,-0.91,9.81
-85.67,18.7,19.44,-1.02,-0.39,9.81
-80.8,14.28,17.8,-0.16,-0.0,9.81
-74.67,10.19,15.69,0.51,0.23,9.81
-68.04,6.58,12.91,1.58,0.48,9.81
-61.61,4.69,9.15,2.42,0.32,9.51
-55.91,3.7,5.85,3.34,-0.06,9.7
-51.52,5.08,2.37,3.5,-0.64,9.0
-48.6,6.59,-0.73,3.46,-0.89,8.68
-47.0,8.42,-2.94,3.25,-1.07,7.85
-47.17,9.61,-3.6,2.98,-1.07,7.51
-48.95,10.98,-2.29,2.48,-0.87,7.69
-51.45,11.76,0.24,2.59,-0.5,8.0
-55.58,11.84,3.22,2.03,-0.41,8.29
-58.66,11.69,7.44,1.9,-0.11,8.8
-62.17,12.61,11.88,1.78,0.39,9.28
-64.85,12.98,15.9,1.59,0.72,9.72
-67.4,12.91,19.05,1.34,1.15,9.79
-69.99,13.03,21.25,1.55,1.35,9.8
-73.82,11.01,22.0,0.8,1.5,9.81
-77.23,8.97,22.09,0.69,1.57,9.81
-81.43,7.72,20.75,0.18,1.18,9.81
-84.07,5.56,18.71,-0.64,0.79,9.81
-85.02,4.14,16.14,0.33,0.62,9.79
-85.93,2.48,13.9,-0.2,0.57,9.75
-85.31,1.89,12.27,0.68,0.69,9.51
-85.01,1.76,11.38,0.59,0.76,9.42
-84.3,1.85,10.84,0.85,0.8,9.51
-83.98,2.19,10.53,0.8,0.77,9.61
-83.7,2.34,10.33,0.64,0.83,9.76
-83.54,2.65,9.71,0.79,0.82,9.8
-83.49,2.29,8.67,0.49,0.7,9.6
-83.01,2.25,8.14,0.6,0.68,9.51
-82.5,2.19,7.96,0.66,0.79,9.6
-82.32,2.49,8.0,0.78,0.88,9.76
-82.44,2.34,7.42,0.67,0.8,9.72
-82.62,2.18,6.92,0.54,0.7,9.58
-82.47,2.02,6.64,0.42,0.68,9.68
-82.22,2.03,6.52,0.62,0.7,9.58
-82.18,2.24,6.75,0.6,0.84,9.77
-82.27,2.24,6.26,0.62,0.78,9.74
-82.42,2.25,5.92,0.48,0.73,9.68
-82.46,2.16,5.51,0.46,0.7,9.66
-82.46,2.23,5.4,0.45,0.69,9.64
-82.36,2.24,5.24,0.53,0.71,9.61
-82.3,2.33,5.29,0.52,0.74,9.72
-82.27,2.32,5.18,0.52,0.71,9.62
-83.17,4.08,6.3,2.16,-2.41,7.14
-85.65,6.51,8.03,1.36,-3.21,7.37
-87.02,7.54,9.71,1.83,-2.95,8.13
-88.51,9.93,11.47,1.84,-2.03,7.19
-90.53,13.94,15.58,4.11,-1.25,7.58
-96.13,18.81,20.38,2.0,-0.85,8.38
-101.05,22.93,24.61,2.06,-0.75,9.46
-107.68,24.35,26.39,1.85,-0.92,9.73
-115.5,25.32,27.69,-0.4,-1.01,9.79
-119.5,24.89,26.7,-1.65,-1.09,9.8
-121.56,21.96,21.48,-2.3,-1.32,9.81
-120.97,17.53,17.71,-2.51,-1.62,9.64
-117.98,13.24,16.07,-1.22,-1.39,9.47
