yaw,pitch,roll,accelx,accely,accelz
149.75,6.0,25.2,-0.01,1.61,8.89
49.49,-37.72,12.6,0.0,0.0,-0.0
149.66,6.15,25.02,0.29,1.62,8.84
149.67,6.47,25.01,0.67,1.68,8.82
149.67,6.47,25.01,0.67,1.68,8.82
149.66,6.76,25.06,1.01,1.74,8.87
149.66,6.76,25.06,1.01,1.74,8.87
149.63,7.0,25.18,1.25,1.79,9.04
149.63,7.0,25.18,1.25,1.79,9.04
149.59,7.18,25.25,1.41,1.82,9.25
149.59,7.18,25.25,1.41,1.82,9.25
149.52,7.4,25.2,1.59,1.83,9.39
149.52,7.4,25.2,1.59,1.83,9.39
149.44,7.69,25.06,1.88,1.84,9.39
149.32,8.1,24.88,2.43,1.82,9.42
149.32,8.1,24.88,2.43,1.82,9.42
149.09,8.61,24.71,3.2,1.86,9.03
149.09,8.61,24.71,3.2,1.86,9.03
148.75,9.04,24.71,3.89,1.92,8.63
148.75,9.04,24.71,3.89,1.92,8.63
148.34,9.31,24.97,4.39,2.05,8.47
148.34,9.31,24.97,4.39,2.05,8.47
147.89,9.39,25.36,4.71,2.21,8.6
147.41,9.29,25.75,5.01,2.41,8.91
147.41,9.29,25.75,5.01,2.41,8.91
146.92,9.02,26.12,5.35,2.7,9.15
146.34,8.6,26.4,5.66,2.99,9.32
146.34,8.6,26.4,5.66,2.99,9.32
145.63,7.99,26.55,5.91,3.28,9.45
145.63,7.99,26.55,5.91,3.28,9.45
144.76,7.24,26.54,6.01,3.51,9.54
144.76,7.24,26.54,6.01,3.51,9.54
143.73,6.37,26.36,5.87,3.66,9.61
143.73,6.37,26.36,5.87,3.66,9.61
142.53,5.48,26.08,5.48,3.74,9.66
141.23,4.63,25.72,4.9,3.7,9.7
141.23,4.63,25.72,4.9,3.7,9.7
139.88,3.84,25.27,4.26,3.6,9.73
137.29,2.34,24.52,3.15,3.51,9.76
136.09,1.46,24.29,2.74,3.54,9.78
134.94,0.44,24.16,2.45,3.68,9.78
133.8,-0.66,24.24,2.18,3.94,9.79
133.8,-0.66,24.24,2.18,3.94,9.79
132.61,-1.72,24.45,1.87,4.23,9.79
132.61,-1.72,24.45,1.87,4.23,9.79
131.29,-2.64,24.49,1.49,4.58,9.8
129.88,-3.27,24.38,1.02,5.01,9.8
129.88,-3.27,24.38,1.02,5.01,9.8
128.38,-3.64,24.07,0.52,5.38,9.8
128.38,-3.64,24.07,0.52,5.38,9.8
126.8,-3.82,23.49,0.04,5.55,9.8
125.17,-3.96,22.65,-0.43,5.56,9.8
125.17,-3.96,22.65,-0.43,5.56,9.8
123.53,-4.22,21.59,-0.93,5.5,9.8
123.53,-4.22,21.59,-0.93,5.5,9.8
121.92,-4.68,20.4,-1.41,5.4,9.8
121.92,-4.68,20.4,-1.41,5.4,9.8
120.4,-5.33,19.22,-1.85,5.3,9.8
118.94,-6.1,18.08,-2.22,5.17,9.81
118.94,-6.1,18.08,-2.22,5.17,9.81
117.55,-6.91,16.9,-2.52,5.06,9.81
116.2,-7.72,15.65,-2.73,5.05,9.81
116.2,-7.72,15.65,-2.73,5.05,9.81
114.84,-8.47,14.4,-2.95,5.06,9.81
114.84,-8.47,14.4,-2.95,5.06,9.81
113.47,-9.18,13.16,-3.32,5.01,9.81
113.47,-9.18,13.16,-3.32,5.01,9.81
112.09,-9.83,11.84,-3.82,4.83,9.81
110.78,-10.34,10.47,-4.4,4.57,9.81
110.78,-10.34,10.47,-4.4,4.57,9.81
109.59,-10.65,9.13,-5.03,4.28,9.8
109.59,-10.65,9.13,-5.03,4.28,9.8
108.54,-10.75,7.74,-5.58,4.01,9.71
108.54,-10.75,7.74,-5.58,4.01,9.71
107.68,-10.65,6.36,-5.97,3.77,9.5
107.68,-10.65,6.36,-5.97,3.77,9.5
106.98,-10.41,5.03,-6.17,3.56,9.29
106.45,-10.13,3.74,-6.19,3.37,9.12
106.45,-10.13,3.74,-6.19,3.37,9.12
106.04,-9.83,2.39,-6.03,3.22,8.94
106.04,-9.83,2.39,-6.03,3.22,8.94
105.74,-9.59,0.92,-5.73,3.03,8.7
105.51,-9.48,-0.6,-5.41,2.78,8.43
105.51,-9.48,-0.6,-5.41,2.78,8.43
105.35,-9.56,-2.14,-5.15,2.52,8.2
105.35,-9.56,-2.14,-5.15,2.52,8.2
105.27,-9.84,-3.67,-4.98,2.29,8.01
105.27,-10.23,-5.18,-4.92,2.1,7.9
105.27,-10.23,-5.18,-4.92,2.1,7.9
105.32,-10.68,-6.65,-4.93,1.96,7.86
105.32,-10.68,-6.65,-4.93,1.96,7.86
105.45,-11.14,-8.06,-5.04,1.83,7.93
105.45,-11.14,-8.06,-5.04,1.83,7.93
105.63,-11.54,-9.44,-5.2,1.71,8.1
105.63,-11.54,-9.44,-5.2,1.71,8.1
105.91,-11.85,-10.96,-5.37,1.63,8.16
106.29,-12.07,-12.74,-5.46,1.54,7.95
106.29,-12.07,-12.74,-5.46,1.54,7.95
106.81,-12.24,-14.66,-5.42,1.39,7.49
106.81,-12.24,-14.66,-5.42,1.39,7.49
107.46,-12.41,-16.53,-5.27,1.14,7.03
107.46,-12.41,-16.53,-5.27,1.14,7.03
108.27,-12.63,-18.25,-5.1,0.85,6.67
109.21,-12.9,-19.91,-4.97,0.59,6.41
109.21,-12.9,-19.91,-4.97,0.59,6.41
110.28,-13.14,-21.51,-4.86,0.42,6.21
110.28,-13.14,-21.51,-4.86,0.42,6.21
111.43,-13.33,-22.98,-4.75,0.3,6.08
111.43,-13.33,-22.98,-4.75,0.3,6.08
112.66,-13.42,-24.3,-4.6,0.18,6.05
113.95,-13.42,-25.6,-4.37,0.07,6.07
113.95,-13.42,-25.6,-4.37,0.07,6.07
115.36,-13.39,-26.9,-4.09,-0.02,6.06
116.89,-13.44,-28.23,-3.79,-0.1,6.04
116.89,-13.44,-28.23,-3.79,-0.1,6.04
118.51,-13.55,-29.48,-3.49,-0.16,6.1
118.51,-13.55,-29.48,-3.49,-0.16,6.1
120.17,-13.68,-30.63,-3.17,-0.18,6.28
120.17,-13.68,-30.63,-3.17,-0.18,6.28
121.79,-13.73,-31.74,-2.87,-0.18,6.5
121.79,-13.73,-31.74,-2.87,-0.18,6.5
123.32,-13.7,-32.91,-2.64,-0.19,6.64
124.78,-13.61,-34.12,-2.53,-0.25,6.64
126.17,-13.48,-35.36,-2.52,-0.4,6.49
126.17,-13.48,-35.36,-2.52,-0.4,6.49
127.56,-13.33,-36.63,-2.59,-0.63,6.27
127.56,-13.33,-36.63,-2.59,-0.63,6.27
128.96,-13.17,-37.84,-2.71,-0.9,6.01
128.96,-13.17,-37.84,-2.71,-0.9,6.01
130.42,-12.96,-38.97,-2.85,-1.15,5.77
130.42,-12.96,-38.97,-2.85,-1.15,5.77
131.93,-12.68,-39.96,-2.95,-1.3,5.59
133.47,-12.27,-40.78,-2.92,-1.36,5.49
133.47,-12.27,-40.78,-2.92,-1.36,5.49
135.0,-11.66,-41.46,-2.74,-1.36,5.44
136.51,-10.88,-42.05,-2.42,-1.36,5.4
136.51,-10.88,-42.05,-2.42,-1.36,5.4
137.99,-10.0,-42.55,-2.03,-1.39,5.36
137.99,-10.0,-42.55,-2.03,-1.39,5.36
139.44,-9.07,-43.01,-1.62,-1.42,5.28
140.86,-8.19,-43.46,-1.31,-1.47,5.18
140.86,-8.19,-43.46,-1.31,-1.47,5.18
142.26,-7.41,-43.89,-1.08,-1.54,5.07
142.26,-7.41,-43.89,-1.08,-1.54,5.07
143.66,-6.71,-44.27,-0.93,-1.61,4.97
145.04,-6.08,-44.6,-0.84,-1.64,4.88
145.04,-6.08,-44.6,-0.84,-1.64,4.88
146.39,-5.47,-44.83,-0.78,-1.64,4.83
146.39,-5.47,-44.83,-0.78,-1.64,4.83
147.7,-4.86,-44.98,-0.74,-1.62,4.81
