yaw,pitch,roll,accelx,accely,accelz
49.49,-37.72,12.6,0.0,0.0,-0.0
19.07,0.7,-24.55,-1.76,0.24,4.84
19.07,0.7,-24.55,-1.76,0.24,4.84
19.95,1.14,-24.22,-1.97,0.08,5.03
20.89,1.61,-23.77,-1.95,0.06,5.04
20.89,1.61,-23.77,-1.95,0.06,5.04
21.77,2.02,-23.26,-1.92,0.08,4.88
21.77,2.02,-23.26,-1.92,0.08,4.88
22.55,2.27,-22.6,-2.07,0.11,4.67
22.55,2.27,-22.6,-2.07,0.11,4.67
23.26,2.31,-21.77,-2.41,0.11,4.47
23.26,2.31,-21.77,-2.41,0.11,4.47
24.0,2.17,-20.68,-2.79,0.2,4.47
24.85,1.91,-19.31,-3.02,0.39,4.79
24.85,1.91,-19.31,-3.02,0.39,4.79
25.79,1.63,-17.77,-3.22,0.44,5.43
25.79,1.63,-17.77,-3.22,0.44,5.43
26.74,1.17,-16.23,-3.36,0.54,6.2
27.73,0.64,-14.63,-3.52,0.82,6.87
27.73,0.64,-14.63,-3.52,0.82,6.87
28.76,0.03,-13.08,-3.62,1.12,7.52
28.76,0.03,-13.08,-3.62,1.12,7.52
29.79,-0.62,-11.61,-3.58,1.37,8.12
29.79,-0.62,-11.61,-3.58,1.37,8.12
30.77,-1.34,-10.27,-3.55,1.54,8.56
30.77,-1.34,-10.27,-3.55,1.54,8.56
31.69,-2.23,-9.0,-3.65,1.62,8.89
32.62,-3.28,-7.81,-3.86,1.64,9.13
32.62,-3.28,-7.81,-3.86,1.64,9.13
33.6,-4.48,-6.73,-4.19,1.6,9.31
33.6,-4.48,-6.73,-4.19,1.6,9.31
34.7,-5.82,-5.75,-4.62,1.53,9.44
36.01,-7.18,-4.81,-4.97,1.5,9.54
36.01,-7.18,-4.81,-4.97,1.5,9.54
37.5,-8.45,-3.9,-5.12,1.54,9.61
37.5,-8.45,-3.9,-5.12,1.54,9.61
39.16,-9.64,-3.01,-5.03,1.64,9.66
40.89,-10.79,-2.13,-4.8,1.82,9.7
40.89,-10.79,-2.13,-4.8,1.82,9.7
42.63,-12.04,-1.31,-4.61,2.01,9.73
42.63,-12.04,-1.31,-4.61,2.01,9.73
44.37,-13.47,-0.52,-4.57,2.16,9.75
44.37,-13.47,-0.52,-4.57,2.16,9.75
46.16,-15.03,0.2,-4.63,2.32,9.76
48.01,-16.63,0.78,-4.76,2.49,9.77
48.01,-16.63,0.78,-4.76,2.49,9.77
49.94,-18.06,1.13,-4.74,2.67,9.78
51.92,-19.11,1.14,-4.5,2.89,9.79
51.92,-19.11,1.14,-4.5,2.89,9.79
53.86,-19.75,0.91,-4.01,3.12,9.79
