yaw,pitch,roll,accelx,accely,accelz
-180.0,-180.0,180.0,0.0,0.0,-0.0
-180.0,-180.0,180.0,0.0,0.0,-0.0
-180.0,-180.0,180.0,0.0,0.0,-0.0
-143.89,-3.0,11.85,-3.21,0.45,7.91
-143.89,-3.0,11.85,-3.21,0.45,7.91
-144.26,-2.91,12.5,-2.37,0.37,6.81
-144.26,-2.91,12.5,-2.37,0.37,6.81
-144.5,-3.1,13.58,-1.58,0.48,6.08
-144.5,-3.1,13.58,-1.58,0.48,6.08
-144.7,-3.36,15.13,-0.69,0.54,6.32
-144.95,-3.52,16.61,0.02,0.82,7.24
-144.95,-3.52,16.61,0.02,0.82,7.24
-145.16,-4.03,17.25,0.41,1.1,7.86
-145.16,-4.03,17.25,0.41,1.1,7.86
-145.44,-4.58,17.49,0.83,1.22,8.21
-145.88,-5.11,17.75,1.02,1.25,8.36
-145.88,-5.11,17.75,1.02,1.25,8.36
-146.46,-5.6,18.17,0.83,1.28,8.5
-147.08,-5.83,18.73,0.67,1.29,8.63
-147.08,-5.83,18.73,0.67,1.29,8.63
-147.74,-5.67,19.47,0.7,1.3,8.83
-147.74,-5.67,19.47,0.7,1.3,8.83
-148.43,-5.17,20.41,0.92,1.44,9.09
-148.43,-5.17,20.41,0.92,1.44,9.09
-149.19,-4.44,21.49,1.2,1.55,9.28
-149.19,-4.44,21.49,1.2,1.55,9.28
-149.94,-3.69,22.44,1.46,1.73,9.42
-150.62,-3.01,23.0,1.81,1.87,9.52
-150.62,-3.01,23.0,1.81,1.87,9.52
-151.24,-2.39,23.19,2.22,1.96,9.6
-151.89,-1.86,23.31,2.57,2.04,9.63
-151.89,-1.86,23.31,2.57,2.04,9.63
-152.6,-1.36,23.55,2.88,2.14,9.55
-152.6,-1.36,23.55,2.88,2.14,9.55
-153.44,-0.77,24.03,3.28,2.26,9.44
-153.44,-0.77,24.03,3.28,2.26,9.44
-154.51,-0.05,24.86,3.82,2.37,9.53
-155.9,0.64,26.04,4.16,2.6,9.6
-155.9,0.64,26.04,4.16,2.6,9.6
-157.48,1.17,27.16,4.09,2.92,9.66
-157.48,1.17,27.16,4.09,2.92,9.66
-159.05,1.5,27.84,3.79,3.16,9.7
-159.05,1.5,27.84,3.79,3.16,9.7
-160.55,1.64,28.07,3.38,3.18,9.72
-161.99,1.59,28.11,2.82,3.05,9.75
-161.99,1.59,28.11,2.82,3.05,9.75
-163.36,1.52,28.11,2.22,2.94,9.76
-163.36,1.52,28.11,2.22,2.94,9.76
-164.72,1.64,28.11,1.65,2.86,9.77
-166.09,2.02,28.15,1.13,2.82,9.78
-166.09,2.02,28.15,1.13,2.82,9.78
-167.5,2.64,28.28,0.62,2.89,9.79
-167.5,2.64,28.28,0.62,2.89,9.79
-168.93,3.41,28.43,0.06,2.98,9.79
-168.93,3.41,28.43,0.06,2.98,9.79
-170.29,4.22,28.43,-0.58,3.02,9.8
-170.29,4.22,28.43,-0.58,3.02,9.8
-171.49,4.94,28.13,-1.27,3.0,9.8
-172.44,5.55,27.5,-1.91,2.89,9.8
-172.44,5.55,27.5,-1.91,2.89,9.8
-173.15,6.11,26.55,-2.43,2.76,9.8
-173.15,6.11,26.55,-2.43,2.76,9.8
-173.64,6.67,25.54,-2.67,2.7,9.8
-174.05,7.32,24.62,-2.6,2.91,9.8
-174.05,7.32,24.62,-2.6,2.91,9.8
-174.51,8.13,23.89,-2.22,3.33,9.8
-174.51,8.13,23.89,-2.22,3.33,9.8
-175.12,9.07,23.15,-1.74,3.83,9.8
-175.12,9.07,23.15,-1.74,3.83,9.8
-175.89,10.05,22.18,-1.39,4.24,9.81
-176.76,10.96,20.91,-1.19,4.44,9.81
-176.76,10.96,20.91,-1.19,4.44,9.81
-177.67,11.68,19.39,-1.24,4.5,9.81
-177.67,11.68,19.39,-1.24,4.5,9.81
-178.54,12.19,17.72,-1.4,4.43,9.81
-179.35,12.51,15.94,-1.53,4.31,9.81
-179.35,12.51,15.94,-1.53,4.31,9.81
179.94,12.72,14.08,-1.68,4.23,9.81
179.94,12.72,14.08,-1.68,4.23,9.81
179.35,12.73,12.31,-1.76,4.3,9.81
178.8,12.7,10.69,-1.6,4.36,9.81
178.8,12.7,10.69,-1.6,4.36,9.81
178.21,12.78,9.09,-1.41,4.43,9.81
