yaw,pitch,roll,accelx,accely,accelz
169.8,9.49,-22.23,2.7,-2.73,7.81
170.29,11.14,-21.38,4.36,-1.29,6.13
170.88,12.92,-20.63,4.24,-1.0,5.73
172.62,13.8,-19.44,3.8,-0.9,5.46
175.47,16.32,-17.24,4.03,-0.62,5.11
178.59,17.4,-13.92,4.46,-0.46,5.85
-178.19,18.32,-10.0,3.58,-0.22,4.55
-174.99,19.6,-3.96,5.11,0.23,5.69
-173.35,19.04,1.33,5.31,0.35,5.13
-173.61,18.88,8.59,6.39,0.72,6.57
-176.0,19.06,13.72,7.02,1.16,7.97
179.87,19.23,15.28,8.06,1.55,9.35
174.05,19.24,12.05,7.91,1.98,9.65
167.27,18.48,5.35,6.13,2.07,9.42
161.26,17.4,-3.06,4.78,1.79,8.09
155.84,15.64,-11.29,3.61,1.21,7.23
151.65,13.4,-19.61,1.84,0.57,6.61
149.69,11.17,-27.61,0.51,-0.04,5.3
149.95,10.47,-33.44,-0.34,-0.69,4.88
153.14,12.68,-38.14,-0.33,-1.15,4.28
159.67,17.02,-40.85,0.22,-1.03,3.39
169.15,24.23,-39.85,1.63,-0.45,3.3
-179.63,33.78,-34.89,3.44,0.54,3.79
-167.01,42.84,-26.61,5.23,1.15,3.83
-153.82,49.33,-14.46,7.19,1.81,4.26
-142.86,52.61,-2.1,7.39,1.91,5.27
-132.54,52.3,5.85,7.16,1.98,5.79
-123.52,51.39,9.78,7.19,2.07,5.82
-117.02,50.31,9.39,7.89,2.28,6.04
-113.92,49.77,3.99,8.84,2.86,5.62
-114.88,49.47,-5.58,8.44,3.44,5.67
-118.58,48.74,-17.9,7.57,3.47,4.97
-124.49,45.57,-29.41,6.91,3.3,4.71
-132.2,40.5,-38.91,5.67,2.78,4.63
-140.4,34.79,-45.86,4.43,1.91,4.62
-148.8,28.13,-50.53,2.68,0.81,4.16
-155.96,22.39,-51.89,1.3,-0.58,4.09
-160.55,18.93,-50.37,0.93,-1.47,5.08
-162.35,17.47,-48.27,1.24,-2.06,5.24
-161.78,18.69,-45.35,2.32,-2.39,6.0
-159.93,20.31,-43.06,3.66,-2.7,5.98
-158.27,21.27,-40.56,4.4,-2.8,6.47
-157.17,21.95,-39.27,4.46,-2.72,6.51
-156.63,22.4,-38.74,4.03,-2.57,6.14
-156.24,23.01,-38.41,3.65,-2.58,5.91
-155.69,23.6,-37.7,3.76,-2.63,5.87
-155.08,24.27,-37.1,3.91,-2.65,6.07
-154.62,24.43,-36.36,3.99,-2.67,5.96
-154.26,24.75,-35.79,3.91,-2.6,6.12
-153.98,24.89,-35.47,3.76,-2.59,5.91
-153.6,25.24,-35.01,3.74,-2.64,5.84
-153.24,25.38,-34.26,3.76,-2.7,5.81
-152.84,25.54,-33.15,3.9,-2.7,5.96
-152.69,25.02,-32.03,3.95,-2.64,6.21
-152.65,24.82,-31.13,3.92,-2.63,6.28
-152.76,24.63,-30.6,3.67,-2.66,6.35
-152.62,24.71,-30.38,3.61,-2.69,6.17
-152.29,24.94,-30.03,3.74,-2.64,6.15
-152.01,25.53,-29.68,3.88,-2.66,5.96
-152.21,25.42,-28.9,3.77,-2.71,6.38
