yaw,pitch,roll,accelx,accely,accelz
-1.41,-0.08,0.02,-0.01,0.0,9.78
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
-1.41,-0.08,0.01,-0.0,0.0,9.78
-1.41,-0.08,0.01,-0.0,0.0,9.78
-1.41,-0.08,0.02,-0.01,0.0,9.78
-1.41,-0.08,0.02,-0.01,0.0,9.78
-1.41,-0.08,0.02,-0.01,0.0,9.78
-1.41,-0.08,0.02,-0.01,0.0,9.78
-1.41,-0.08,0.02,-0.01,0.01,9.78
-1.41,-0.08,0.02,-0.01,0.01,9.79
-1.41,-0.08,0.02,-0.01,0.01,9.79
-1.41,-0.08,0.01,-0.01,0.0,9.78
-1.41,-0.08,0.01,-0.01,0.0,9.78
-1.41,-0.08,0.01,-0.02,0.0,9.78
-1.41,-0.08,0.02,-0.03,0.0,9.78
-1.41,-0.08,0.02,-0.02,0.0,9.78
-1.41,-0.08,0.02,-0.02,0.0,9.78
-1.41,-0.07,0.02,-0.03,0.0,9.78
-1.41,-0.07,0.02,-0.03,0.0,9.78
-1.41,-0.06,0.02,-0.02,0.0,9.78
-1.41,-0.06,0.02,-0.02,0.0,9.78
-1.41,-0.06,0.02,-0.02,0.01,9.78
-1.41,-0.06,0.02,-0.02,0.01,9.78
-1.42,-0.05,0.02,-0.02,0.01,9.78
-1.42,-0.05,0.02,-0.02,0.01,9.78
-1.42,-0.05,0.02,-0.02,0.01,9.78
-1.41,-0.04,0.02,-0.02,0.0,9.77
-1.41,-0.04,0.02,-0.02,0.0,9.77
-1.41,-0.03,0.02,-0.02,0.0,9.78
-1.41,-0.03,0.02,-0.01,0.01,9.78
-1.41,-0.03,0.02,-0.01,0.01,9.78
-1.41,-0.03,0.02,-0.01,0.0,9.78
-1.41,-0.03,0.02,-0.01,0.0,9.78
-1.41,-0.03,0.04,0.01,0.02,9.78
-1.41,-0.03,0.04,0.01,0.02,9.78
-1.41,-0.01,0.02,0.02,-0.0,9.79
-1.41,-0.01,0.02,0.02,-0.0,9.79
-1.42,-0.01,0.02,0.01,-0.01,9.79
-1.42,-0.01,0.02,0.01,-0.01,9.8
-1.42,-0.01,0.02,0.01,-0.01,9.8
-1.42,-0.01,0.02,0.0,-0.01,9.8
-1.42,-0.01,0.02,0.0,-0.01,9.8
-1.42,-0.01,0.02,-0.0,-0.01,9.8
-1.42,-0.01,0.02,-0.0,-0.01,9.8
-1.42,-0.01,0.02,0.0,-0.01,9.79
-1.42,-0.01,0.01,-0.01,-0.01,9.8
-1.42,-0.01,0.01,-0.01,-0.01,9.8
-1.42,-0.01,0.02,-0.0,-0.0,9.79
-1.42,-0.01,0.02,-0.0,-0.0,9.79
-1.42,-0.01,0.02,-0.02,-0.0,9.79
-1.42,-0.02,0.02,-0.01,-0.0,9.79
-1.42,-0.02,0.02,-0.01,-0.0,9.79
-1.42,-0.02,0.01,-0.02,-0.0,9.79
-1.42,-0.02,0.01,-0.02,-0.0,9.79
-1.42,-0.02,0.01,-0.01,-0.0,9.78
-1.42,-0.02,0.01,-0.02,0.0,9.79
-1.42,-0.02,0.01,-0.02,0.0,9.79
-1.43,-0.02,0.02,-0.01,0.0,9.78
-1.43,-0.02,0.02,-0.01,0.0,9.78
-1.43,-0.03,0.01,-0.02,0.0,9.78
-1.43,-0.03,0.01,-0.02,0.0,9.78
-1.43,-0.02,0.01,-0.01,-0.0,9.78
-1.43,-0.03,0.01,-0.01,-0.0,9.79
-1.43,-0.03,0.01,-0.01,-0.0,9.79
-1.43,-0.03,0.01,-0.01,-0.0,9.79
-1.43,-0.03,0.01,-0.01,-0.0,9.79
-1.43,-0.03,0.01,-0.02,-0.0,9.78
-1.43,-0.03,0.01,-0.02,-0.0,9.78
-1.43,-0.03,0.01,-0.02,-0.0,9.78
-1.43,-0.03,0.01,-0.02,-0.0,9.78
-1.43,-0.03,0.01,-0.02,-0.0,9.78
-1.43,-0.03,0.01,-0.02,-0.0,9.78
-1.43,-0.03,0.01,-0.02,-0.0,9.78
-1.43,-0.03,0.01,-0.02,-0.0,9.78
-1.43,-0.03,0.01,-0.02,0.0,9.78
-1.43,-0.03,0.01,-0.02,0.0,9.78
-1.43,-0.04,0.01,-0.02,0.0,9.77
-1.43,-0.04,0.01,-0.02,0.0,9.77
-1.43,-0.04,0.01,-0.02,0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,-0.0,9.78
-1.43,-0.04,0.01,-0.01,-0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,0.0,9.78
-1.43,-0.04,0.01,-0.01,-0.0,9.78
-1.43,-0.04,0.01,-0.01,-0.0,9.78
-1.43,-0.05,0.01,-0.01,-0.0,9.78
-1.43,-0.05,0.01,-0.01,-0.0,9.78
-1.43,-0.05,0.01,-0.01,-0.0,9.78
-1.43,-0.05,0.01,-0.01,0.0,9.78
-1.43,-0.05,0.01,-0.01,0.0,9.78
-1.43,-0.05,0.01,-0.01,0.0,9.77
-1.43,-0.05,0.01,-0.01,-0.0,9.77
-1.43,-0.05,0.01,-0.01,-0.0,9.77
-1.43,-0.05,0.01,-0.01,0.0,9.78
-1.43,-0.05,0.01,-0.01,0.0,9.78
-1.43,-0.05,0.01,-0.01,0.0,9.78
-1.43,-0.05,0.01,-0.01,0.0,9.78
-1.43,-0.05,0.01,-0.01,0.0,9.79
-1.43,-0.05,0.01,-0.01,0.01,9.79
-1.43,-0.05,0.01,-0.01,0.01,9.79
-1.43,-0.05,0.01,-0.01,0.01,9.78
-1.43,-0.05,0.01,-0.01,0.01,9.78
-1.43,-0.05,0.01,-0.01,0.01,9.78
-1.43,-0.05,0.01,-0.01,0.01,9.78
-1.43,-0.05,0.01,-0.01,0.01,9.78
-1.43,-0.05,0.01,-0.01,0.01,9.78
-1.43,-0.06,0.01,-0.02,0.01,9.77
-1.43,-0.06,0.01,-0.02,0.01,9.78
-1.43,-0.06,0.01,-0.02,0.01,9.78
-1.43,-0.06,0.01,-0.02,0.01,9.77
-1.43,-0.06,0.01,-0.02,0.0,9.77
-1.43,-0.06,0.01,-0.02,0.0,9.77
-1.43,-0.06,0.01,-0.02,-0.0,9.77
-1.43,-0.06,0.01,-0.02,-0.0,9.77
-1.43,-0.06,0.01,-0.02,-0.0,9.77
-1.43,-0.06,0.01,-0.01,0.0,9.77
-1.43,-0.06,0.01,-0.01,0.0,9.77
-1.43,-0.06,0.01,-0.02,0.0,9.77
-1.43,-0.06,0.01,-0.02,0.0,9.77
-1.43,-0.06,0.01,-0.02,0.0,9.78
-1.43,-0.06,0.01,-0.01,0.01,9.77
-1.43,-0.06,0.01,-0.01,0.01,9.77
-1.43,-0.07,0.01,-0.02,0.01,9.78
-1.43,-0.07,0.01,-0.02,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.77
-1.43,-0.07,0.01,-0.01,0.01,9.77
-1.43,-0.07,0.01,-0.01,0.0,9.78
-1.43,-0.07,0.01,-0.01,0.0,9.78
-1.43,-0.07,0.01,-0.01,0.0,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.79
-1.43,-0.07,0.01,-0.01,0.01,9.79
-1.43,-0.07,0.01,-0.01,0.0,9.78
-1.43,-0.07,0.01,-0.01,0.0,9.78
-1.43,-0.07,0.01,-0.01,0.0,9.79
-1.43,-0.07,0.01,-0.01,0.01,9.79
-1.43,-0.07,0.01,-0.01,0.01,9.79
-1.43,-0.07,0.02,-0.01,0.01,9.79
-1.43,-0.07,0.02,-0.01,0.01,9.79
-1.43,-0.07,0.02,-0.01,0.01,9.79
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.77
-1.43,-0.07,0.01,-0.01,0.01,9.77
-1.43,-0.07,0.01,-0.01,0.01,9.76
-1.43,-0.07,0.01,-0.01,0.0,9.76
-1.43,-0.07,0.01,-0.01,0.0,9.76
-1.43,-0.07,0.01,-0.01,0.0,9.77
-1.44,-0.07,0.02,-0.01,0.0,9.77
-1.44,-0.07,0.02,-0.01,0.0,9.77
-1.44,-0.07,0.01,-0.01,0.0,9.77
-1.44,-0.07,0.01,-0.01,0.0,9.77
-1.44,-0.07,0.01,-0.01,0.01,9.78
-1.44,-0.07,0.01,-0.01,0.01,9.78
-1.44,-0.07,0.01,-0.01,0.0,9.78
-1.44,-0.07,0.01,-0.01,0.0,9.78
-1.44,-0.07,0.02,-0.01,0.0,9.78
-1.44,-0.07,0.02,-0.01,-0.0,9.78
-1.44,-0.07,0.02,-0.01,-0.0,9.78
-1.44,-0.07,0.01,-0.01,-0.01,9.79
-1.44,-0.07,0.01,-0.01,-0.01,9.79
-1.44,-0.08,0.01,-0.02,-0.01,9.79
-1.44,-0.08,0.01,-0.01,-0.01,9.78
-1.44,-0.08,0.01,-0.01,-0.01,9.78
-1.44,-0.07,0.01,-0.01,-0.0,9.78
-1.44,-0.07,0.01,-0.01,-0.0,9.78
-1.43,-0.08,0.01,-0.01,-0.0,9.78
-1.43,-0.08,0.01,-0.01,-0.0,9.78
-1.43,-0.07,0.01,-0.01,-0.0,9.77
-1.43,-0.08,0.01,-0.01,0.0,9.78
-1.43,-0.08,0.01,-0.01,0.0,9.78
-1.43,-0.07,0.01,-0.01,-0.0,9.78
-1.44,-0.08,0.01,-0.01,-0.0,9.78
-1.44,-0.08,0.01,-0.01,-0.0,9.78
-1.44,-0.08,0.01,-0.02,0.0,9.78
-1.44,-0.08,0.01,-0.02,0.0,9.78
-1.43,-0.08,0.01,-0.01,0.0,9.77
-1.43,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.43,-0.07,0.01,-0.01,0.01,9.78
-1.44,-0.08,0.01,-0.01,0.01,9.78
-1.43,-0.08,0.01,-0.01,0.0,9.78
-1.43,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.79
-1.44,-0.08,0.01,-0.01,0.0,9.79
-1.44,-0.08,0.01,-0.01,0.0,9.79
-1.44,-0.08,0.01,-0.01,0.0,9.79
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,-0.0,9.77
-1.44,-0.08,0.01,-0.01,-0.0,9.77
-1.44,-0.08,0.0,-0.01,-0.0,9.77
-1.44,-0.08,0.0,-0.01,-0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,0.01,9.77
-1.44,-0.08,0.01,-0.01,0.01,9.77
-1.44,-0.08,0.01,-0.01,0.01,9.77
-1.44,-0.08,0.01,-0.01,0.01,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.79
-1.44,-0.08,0.01,-0.01,-0.0,9.78
-1.44,-0.08,0.01,-0.01,-0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,-0.0,9.78
-1.44,-0.08,0.01,-0.01,-0.0,9.78
-1.45,-0.08,0.01,-0.01,0.0,9.78
-1.45,-0.08,0.01,-0.01,0.0,9.78
-1.45,-0.08,0.01,-0.01,0.0,9.78
-1.45,-0.08,0.01,-0.01,-0.0,9.78
-1.45,-0.08,0.01,-0.01,-0.0,9.78
-1.44,-0.08,0.01,-0.02,-0.01,9.78
-1.45,-0.08,0.0,-0.01,-0.0,9.78
-1.45,-0.08,0.0,-0.01,-0.0,9.78
-1.45,-0.08,0.0,-0.02,-0.0,9.78
-1.45,-0.08,0.0,-0.02,-0.0,9.78
-1.45,-0.08,0.01,-0.02,0.0,9.78
-1.45,-0.08,0.01,-0.02,0.0,9.78
-1.44,-0.08,0.01,-0.01,-0.0,9.78
-1.44,-0.08,0.01,-0.01,-0.0,9.78
-1.44,-0.08,0.01,-0.02,0.0,9.78
-1.44,-0.08,0.01,-0.01,-0.0,9.78
-1.44,-0.08,0.01,-0.01,-0.0,9.78
-1.44,-0.08,0.01,-0.01,-0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.77
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.0,0.0,9.78
-1.44,-0.08,0.01,-0.0,0.0,9.77
-1.44,-0.08,0.01,-0.0,0.0,9.77
-1.44,-0.08,0.01,-0.0,0.0,9.78
-1.44,-0.08,0.01,-0.0,0.0,9.78
-1.44,-0.08,0.02,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.0,0.0,9.78
-1.44,-0.08,0.01,-0.0,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.01,9.78
-1.44,-0.08,0.01,-0.01,0.01,9.78
-1.44,-0.08,0.01,-0.0,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.44,-0.08,0.01,-0.01,0.0,9.78
-1.45,-0.08,0.01,-0.01,0.0,9.77
-1.45,-0.08,0.01,-0.01,0.0,9.78
-1.45,-0.08,0.01,-0.01,0.0,9.78
-1.45,-0.08,0.01,-0.01,0.0,9.78
-1.45,-0.08,0.01,-0.01,0.0,9.78
-1.45,-0.08,0.01,-0.01,0.01,9.78
-1.44,-0.08,0.02,-0.01,0.01,9.78
-1.44,-0.08,0.02,-0.01,0.01,9.78
-1.44,-0.08,0.01,-0.01,0.01,9.78
-1.44,-0.08,0.01,-0.01,0.01,9.78
