yaw,pitch,roll,accelx,accely,accelz
101.47,4.48,18.44,-4.16,2.95,9.15
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
100.94,3.38,18.28,-2.89,2.1,9.28
100.75,3.07,18.38,-2.16,1.6,9.42
100.75,3.07,18.38,-2.16,1.6,9.42
100.54,2.81,18.61,-1.74,1.29,9.52
100.54,2.81,18.61,-1.74,1.29,9.52
100.35,2.67,19.02,-1.49,1.18,9.6
100.35,2.67,19.02,-1.49,1.18,9.6
100.19,2.6,19.61,-1.38,1.25,9.65
100.19,2.6,19.61,-1.38,1.25,9.65
100.11,2.55,20.33,-1.31,1.52,9.69
100.09,2.41,21.07,-1.15,1.91,9.72
100.09,2.41,21.07,-1.15,1.91,9.72
100.09,2.14,21.62,-0.82,2.39,9.74
100.04,1.74,21.79,-0.43,2.83,9.76
100.04,1.74,21.79,-0.43,2.83,9.76
99.85,1.26,21.51,-0.08,3.09,9.77
99.85,1.26,21.51,-0.08,3.09,9.77
99.51,0.75,20.72,0.13,3.25,9.78
99.51,0.75,20.72,0.13,3.25,9.78
99.02,0.25,19.51,0.18,3.34,9.79
99.02,0.25,19.51,0.18,3.34,9.79
98.39,-0.19,18.11,0.04,3.39,9.79
98.39,-0.19,18.11,0.04,3.39,9.79
97.68,-0.63,16.67,-0.31,3.4,9.8
96.95,-1.19,15.24,-0.86,3.4,9.8
96.95,-1.19,15.24,-0.86,3.4,9.8
96.28,-1.97,13.94,-1.52,3.39,9.8
96.28,-1.97,13.94,-1.52,3.39,9.8
95.75,-2.98,12.82,-2.17,3.39,9.8
95.75,-2.98,12.82,-2.17,3.39,9.8
95.41,-4.17,11.78,-2.67,3.46,9.8
95.27,-5.41,10.81,-2.92,3.63,9.8
95.27,-5.41,10.81,-2.92,3.63,9.8
95.31,-6.62,9.85,-2.99,3.78,9.8
95.31,-6.62,9.85,-2.99,3.78,9.8
95.46,-7.71,8.78,-2.93,3.89,9.8
95.68,-8.62,7.56,-2.77,3.99,9.81
95.68,-8.62,7.56,-2.77,3.99,9.81
95.95,-9.28,6.18,-2.53,4.05,9.81
95.95,-9.28,6.18,-2.53,4.05,9.81
96.23,-9.72,4.7,-2.26,4.09,9.81
96.23,-9.72,4.7,-2.26,4.09,9.81
96.5,-9.95,3.13,-1.97,4.1,9.75
96.75,-10.06,1.52,-1.69,4.06,9.5
96.75,-10.06,1.52,-1.69,4.06,9.5
96.98,-10.17,-0.11,-1.45,3.92,9.14
96.98,-10.17,-0.11,-1.45,3.92,9.14
97.23,-10.36,-1.71,-1.28,3.74,8.7
97.52,-10.68,-3.23,-1.19,3.55,8.25
97.52,-10.68,-3.23,-1.19,3.55,8.25
97.87,-11.12,-4.69,-1.14,3.32,7.85
97.87,-11.12,-4.69,-1.14,3.32,7.85
98.29,-11.59,-6.13,-1.12,3.04,7.44
98.74,-11.97,-7.62,-1.12,2.73,7.0
98.74,-11.97,-7.62,-1.12,2.73,7.0
99.22,-12.19,-9.13,-1.1,2.41,6.51
99.22,-12.19,-9.13,-1.1,2.41,6.51
99.71,-12.22,-10.6,-1.0,2.1,6.0
100.17,-12.12,-11.93,-0.86,1.77,5.56
100.17,-12.12,-11.93,-0.86,1.77,5.56
100.63,-11.97,-13.14,-0.78,1.43,5.25
100.63,-11.97,-13.14,-0.78,1.43,5.25
101.09,-11.86,-14.25,-0.81,1.08,5.07
101.09,-11.86,-14.25,-0.81,1.08,5.07
101.56,-11.78,-15.32,-0.96,0.75,5.01
102.01,-11.61,-16.41,-1.12,0.48,4.94
102.01,-11.61,-16.41,-1.12,0.48,4.94
102.46,-11.3,-17.57,-1.15,0.26,4.82
102.46,-11.3,-17.57,-1.15,0.26,4.82
102.87,-10.89,-18.74,-1.11,0.05,4.64
102.87,-10.89,-18.74,-1.11,0.05,4.64
103.24,-10.48,-19.84,-1.09,-0.19,4.42
103.24,-10.48,-19.84,-1.09,-0.19,4.42
103.55,-10.17,-20.81,-1.15,-0.41,4.19
103.87,-10.07,-21.58,-1.35,-0.58,3.98
103.87,-10.07,-21.58,-1.35,-0.58,3.98
104.22,-10.24,-22.14,-1.77,-0.78,3.87
104.22,-10.24,-22.14,-1.77,-0.78,3.87
104.62,-10.64,-22.49,-2.4,-0.98,3.86
104.62,-10.64,-22.49,-2.4,-0.98,3.86
105.09,-11.16,-22.66,-3.13,-1.16,3.93
105.67,-11.69,-22.69,-3.86,-1.3,4.09
105.67,-11.69,-22.69,-3.86,-1.3,4.09
106.32,-12.1,-22.55,-4.49,-1.38,4.32
106.32,-12.1,-22.55,-4.49,-1.38,4.32
107.05,-12.25,-22.23,-4.87,-1.34,4.65
107.05,-12.25,-22.23,-4.87,-1.34,4.65
107.83,-12.15,-21.74,-4.97,-1.2,5.06
107.83,-12.15,-21.74,-4.97,-1.2,5.06
108.7,-11.87,-21.08,-4.82,-1.01,5.57
109.64,-11.54,-20.26,-4.54,-0.74,6.2
109.64,-11.54,-20.26,-4.54,-0.74,6.2
110.7,-11.3,-19.31,-4.22,-0.43,6.92
110.7,-11.3,-19.31,-4.22,-0.43,6.92
111.85,-11.16,-18.34,-3.86,-0.16,7.68
111.85,-11.16,-18.34,-3.86,-0.16,7.68
113.08,-11.11,-17.51,-3.51,0.05,8.24
114.33,-11.07,-16.92,-3.2,0.2,8.66
115.55,-10.97,-16.57,-2.97,0.33,8.96
115.55,-10.97,-16.57,-2.97,0.33,8.96
116.71,-10.75,-16.45,-2.8,0.44,9.18
116.71,-10.75,-16.45,-2.8,0.44,9.18
117.86,-10.43,-16.41,-2.64,0.56,9.35
117.86,-10.43,-16.41,-2.64,0.56,9.35
119.07,-10.1,-16.43,-2.46,0.66,9.47
119.07,-10.1,-16.43,-2.46,0.66,9.47
120.46,-9.92,-16.56,-2.23,0.71,9.48
122.11,-10.02,-16.85,-1.9,0.71,9.27
122.11,-10.02,-16.85,-1.9,0.71,9.27
124.08,-10.49,-17.22,-1.42,0.56,8.91
124.08,-10.49,-17.22,-1.42,0.56,8.91
126.3,-11.29,-17.52,-0.78,0.2,8.54
128.56,-12.2,-17.77,-0.11,-0.24,8.26
128.56,-12.2,-17.77,-0.11,-0.24,8.26
130.65,-12.96,-17.97,0.52,-0.63,8.01
130.65,-12.96,-17.97,0.52,-0.63,8.01
132.45,-13.36,-18.12,1.09,-0.92,7.79
132.45,-13.36,-18.12,1.09,-0.92,7.79
133.92,-13.35,-18.12,1.48,-1.14,7.66
135.06,-13.06,-17.94,1.61,-1.25,7.68
135.06,-13.06,-17.94,1.61,-1.25,7.68
136.01,-12.67,-17.62,1.55,-1.28,7.82
136.91,-12.32,-17.24,1.42,-1.24,8.05
136.91,-12.32,-17.24,1.42,-1.24,8.05
137.88,-12.17,-16.9,1.27,-1.18,8.25
137.88,-12.17,-16.9,1.27,-1.18,8.25
138.98,-12.26,-16.68,1.2,-1.18,8.33
138.98,-12.26,-16.68,1.2,-1.18,8.33
140.23,-12.54,-16.57,1.27,-1.27,8.28
140.23,-12.54,-16.57,1.27,-1.27,8.28
141.52,-12.87,-16.5,1.44,-1.39,8.09
142.77,-13.11,-16.34,1.69,-1.52,7.88
142.77,-13.11,-16.34,1.69,-1.52,7.88
143.94,-13.17,-15.98,1.97,-1.6,7.76
143.94,-13.17,-15.98,1.97,-1.6,7.76
144.98,-13.05,-15.4,2.23,-1.64,7.82
144.98,-13.05,-15.4,2.23,-1.64,7.82
145.89,-12.81,-14.67,2.4,-1.64,8.06
146.71,-12.55,-13.9,2.5,-1.6,8.38
146.71,-12.55,-13.9,2.5,-1.6,8.38
147.47,-12.35,-13.2,2.52,-1.54,8.68
148.2,-12.25,-12.56,2.52,-1.45,8.91
148.2,-12.25,-12.56,2.52,-1.45,8.91
149.67,-12.31,-11.36,2.5,-1.4,9.31
150.37,-12.31,-10.99,2.53,-1.42,9.42
150.99,-12.14,-10.81,2.6,-1.42,9.38
151.5,-11.73,-10.76,2.65,-1.46,9.19
151.5,-11.73,-10.76,2.65,-1.46,9.19
151.89,-11.08,-10.81,2.7,-1.51,8.88
152.16,-10.23,-10.92,2.74,-1.52,8.5
152.16,-10.23,-10.92,2.74,-1.52,8.5
152.32,-9.26,-10.98,2.71,-1.45,8.09
152.32,-9.26,-10.98,2.71,-1.45,8.09
152.39,-8.3,-10.98,2.58,-1.34,7.75
152.39,-8.3,-10.98,2.58,-1.34,7.75
152.43,-7.4,-10.95,2.43,-1.31,7.48
152.43,-6.53,-10.98,2.28,-1.32,7.2
152.43,-6.53,-10.98,2.28,-1.32,7.2
152.38,-5.59,-11.17,2.09,-1.32,6.8
152.38,-5.59,-11.17,2.09,-1.32,6.8
152.26,-4.53,-11.38,1.81,-1.33,6.31
152.26,-4.53,-11.38,1.81,-1.33,6.31
152.09,-3.31,-11.43,1.48,-1.32,5.86
152.09,-3.31,-11.43,1.48,-1.32,5.86
151.92,-1.93,-11.23,1.24,-1.28,5.58
151.8,-0.56,-10.82,1.2,-1.17,5.44
151.8,-0.56,-10.82,1.2,-1.17,5.44
151.82,0.58,-10.27,1.35,-0.97,5.37
151.82,0.58,-10.27,1.35,-0.97,5.37
151.93,1.38,-9.67,1.63,-0.84,5.22
152.07,1.75,-9.0,1.87,-0.84,5.0
152.07,1.75,-9.0,1.87,-0.84,5.0
152.11,1.8,-8.16,1.87,-0.78,4.75
152.11,1.8,-8.16,1.87,-0.78,4.75
152.02,1.72,-6.99,1.6,-0.64,4.59
151.83,1.68,-5.44,1.14,-0.42,4.62
151.83,1.68,-5.44,1.14,-0.42,4.62
151.63,1.79,-3.55,0.59,-0.11,4.89
151.63,1.79,-3.55,0.59,-0.11,4.89
151.54,2.05,-1.34,0.2,0.23,5.44
151.54,2.05,-1.34,0.2,0.23,5.44
151.65,2.3,1.15,0.11,0.63,6.26
151.65,2.3,1.15,0.11,0.63,6.26
151.98,2.31,3.76,0.3,1.03,7.18
152.44,2.01,6.28,0.67,1.29,7.87
152.44,2.01,6.28,0.67,1.29,7.87
152.86,1.56,8.55,0.96,1.41,8.39
153.15,1.17,10.51,1.05,1.52,8.76
153.15,1.17,10.51,1.05,1.52,8.76
153.29,1.0,12.35,0.96,1.72,9.04
153.29,1.0,12.35,0.96,1.72,9.04
153.37,1.12,14.29,0.78,2.0,9.24
153.37,1.12,14.29,0.78,2.0,9.24
153.44,1.48,16.32,0.6,2.31,9.39
153.44,1.48,16.32,0.6,2.31,9.39
153.54,1.89,18.33,0.53,2.58,9.5
153.67,2.16,20.14,0.6,2.76,9.58
153.67,2.16,20.14,0.6,2.76,9.58
153.8,2.15,21.57,0.7,2.79,9.64
153.8,2.15,21.57,0.7,2.79,9.64
153.87,1.89,22.66,0.74,2.62,9.69
153.87,1.89,22.66,0.74,2.62,9.69
153.89,1.56,23.55,0.74,2.41,9.72
153.86,1.31,24.51,0.76,2.31,9.74
153.86,1.31,24.51,0.76,2.31,9.74
153.83,1.24,25.74,0.85,2.34,9.76
153.83,1.24,25.74,0.85,2.34,9.76
153.81,1.31,27.23,1.05,2.46,9.77
153.77,1.38,28.71,1.37,2.68,9.78
153.77,1.38,28.71,1.37,2.68,9.78
153.64,1.29,29.94,1.81,2.95,9.79
153.64,1.29,29.94,1.81,2.95,9.79
153.38,0.93,30.76,2.24,3.17,9.79
153.38,0.93,30.76,2.24,3.17,9.79
152.91,0.3,31.17,2.51,3.18,9.8
152.91,0.3,31.17,2.51,3.18,9.8
152.26,-0.45,31.19,2.58,2.92,9.8
151.41,-1.02,30.94,2.54,2.59,9.8
151.41,-1.02,30.94,2.54,2.59,9.8
150.47,-1.15,30.65,2.45,2.32,9.8
150.47,-1.15,30.65,2.45,2.32,9.8
149.49,-0.8,30.48,2.36,2.18,9.8
149.49,-0.8,30.48,2.36,2.18,9.8
148.54,-0.12,30.44,2.32,2.16,9.8
148.54,-0.12,30.44,2.32,2.16,9.8
147.61,0.68,30.42,2.41,2.26,9.8
146.68,1.43,30.27,2.65,2.45,9.8
146.68,1.43,30.27,2.65,2.45,9.8
145.69,2.08,29.96,2.96,2.66,9.81
145.69,2.08,29.96,2.96,2.66,9.81
144.61,2.58,29.43,3.28,2.84,9.81
144.61,2.58,29.43,3.28,2.84,9.81
143.4,2.98,28.68,3.57,3.0,9.81
143.4,2.98,28.68,3.57,3.0,9.81
142.06,3.34,27.76,3.76,3.12,9.81
140.58,3.75,26.73,3.8,3.16,9.76
140.58,3.75,26.73,3.8,3.16,9.76
139.01,4.24,25.69,3.69,3.12,9.51
139.01,4.24,25.69,3.69,3.12,9.51
137.38,4.87,24.68,3.45,3.06,9.1
137.38,4.87,24.68,3.45,3.06,9.1
135.74,5.67,23.76,3.17,3.03,8.62
134.12,6.59,23.03,2.88,3.02,8.18
134.12,6.59,23.03,2.88,3.02,8.18
132.54,7.58,22.52,2.62,3.05,7.86
132.54,7.58,22.52,2.62,3.05,7.86
131.01,8.52,22.25,2.36,3.15,7.72
129.52,9.37,22.15,2.1,3.33,7.77
129.52,9.37,22.15,2.1,3.33,7.77
128.07,10.11,22.13,1.88,3.52,7.94
128.07,10.11,22.13,1.88,3.52,7.94
126.64,10.78,22.1,1.73,3.73,8.13
126.64,10.78,22.1,1.73,3.73,8.13
125.21,11.42,22.05,1.63,3.95,8.27
123.74,12.05,21.97,1.49,4.14,8.36
123.74,12.05,21.97,1.49,4.14,8.36
122.22,12.68,21.89,1.27,4.31,8.41
122.22,12.68,21.89,1.27,4.31,8.41
120.67,13.28,21.8,0.96,4.48,8.44
120.67,13.28,21.8,0.96,4.48,8.44
119.08,13.84,21.73,0.56,4.64,8.47
117.52,14.33,21.68,0.1,4.77,8.5
117.52,14.33,21.68,0.1,4.77,8.5
115.99,14.74,21.66,-0.4,4.84,8.57
115.99,14.74,21.66,-0.4,4.84,8.57
114.52,15.04,21.67,-0.85,4.85,8.68
114.52,15.04,21.67,-0.85,4.85,8.68
113.1,15.23,21.67,-1.22,4.8,8.84
111.7,15.32,21.63,-1.52,4.7,9.0
111.7,15.32,21.63,-1.52,4.7,9.0
110.32,15.3,21.53,-1.81,4.59,9.13
110.32,15.3,21.53,-1.81,4.59,9.13
108.97,15.17,21.42,-2.1,4.47,9.21
108.97,15.17,21.42,-2.1,4.47,9.21
107.66,14.98,21.36,-2.4,4.38,9.31
107.66,14.98,21.36,-2.4,4.38,9.31
106.43,14.73,21.36,-2.62,4.36,9.44
105.28,14.46,21.4,-2.75,4.34,9.53
105.28,14.46,21.4,-2.75,4.34,9.53
104.19,14.14,21.38,-2.8,4.26,9.61
