yaw,pitch,roll,accelx,accely,accelz
125.37,-5.43,-16.16,2.71,-0.57,9.07
-180.0,-180.0,180.0,0.0,0.0,-0.0
-180.0,-180.0,180.0,0.0,0.0,-0.0
125.49,-4.36,-15.36,1.53,-0.77,9.3
125.49,-4.36,-15.36,1.53,-0.77,9.3
125.02,-4.45,-14.81,0.39,-0.87,9.44
124.59,-4.36,-14.46,-0.52,-0.97,9.53
124.59,-4.36,-14.46,-0.52,-0.97,9.53
124.23,-4.26,-14.31,-1.25,-1.05,9.61
124.23,-4.26,-14.31,-1.25,-1.05,9.61
124.03,-4.29,-14.37,-1.81,-1.08,9.66
123.98,-4.5,-14.55,-2.17,-1.08,9.7
123.98,-4.5,-14.55,-2.17,-1.08,9.7
124.03,-4.91,-14.77,-2.37,-1.09,9.73
124.03,-4.91,-14.77,-2.37,-1.09,9.73
124.12,-5.44,-14.93,-2.5,-1.07,9.66
124.2,-6.07,-15.13,-2.69,-1.06,9.7
124.2,-6.07,-15.13,-2.69,-1.06,9.7
124.24,-6.68,-15.37,-3.03,-1.11,9.73
124.24,-6.68,-15.37,-3.03,-1.11,9.73
124.25,-7.21,-15.63,-3.43,-1.15,9.73
124.25,-7.21,-15.63,-3.43,-1.15,9.73
124.32,-7.72,-15.89,-3.89,-1.19,9.58
124.49,-8.18,-16.09,-4.27,-1.24,9.32
124.49,-8.18,-16.09,-4.27,-1.24,9.32
124.77,-8.5,-16.15,-4.53,-1.13,9.07
124.77,-8.5,-16.15,-4.53,-1.13,9.07
125.13,-8.68,-15.92,-4.68,-1.03,9.0
125.13,-8.68,-15.92,-4.68,-1.03,9.0
125.66,-8.8,-15.59,-4.69,-1.04,9.13
126.38,-8.88,-15.31,-4.59,-1.05,9.31
126.38,-8.88,-15.31,-4.59,-1.05,9.31
127.25,-8.85,-15.03,-4.4,-0.96,9.44
127.25,-8.85,-15.03,-4.4,-0.96,9.44
128.22,-8.67,-14.75,-4.14,-0.8,9.54
128.22,-8.67,-14.75,-4.14,-0.8,9.54
129.28,-8.34,-14.5,-3.83,-0.64,9.61
129.28,-8.34,-14.5,-3.83,-0.64,9.61
130.42,-7.88,-14.33,-3.48,-0.48,9.66
131.66,-7.36,-14.23,-3.1,-0.32,9.7
131.66,-7.36,-14.23,-3.1,-0.32,9.7
133.0,-6.82,-14.23,-2.64,-0.15,9.73
134.45,-6.26,-14.29,-2.04,0.02,9.75
134.45,-6.26,-14.29,-2.04,0.02,9.75
135.96,-5.67,-14.4,-1.38,0.17,9.76
135.96,-5.67,-14.4,-1.38,0.17,9.76
137.47,-5.05,-14.57,-0.73,0.35,9.77
137.47,-5.05,-14.57,-0.73,0.35,9.77
138.97,-4.42,-14.87,-0.16,0.55,9.72
140.46,-3.81,-15.34,0.38,0.67,9.41
