yaw,pitch,roll,accelx,accely,accelz
92.68,-4.02,11.63,0.31,1.2,9.31
-180.0,-180.0,180.0,0.0,0.0,-0.0
-180.0,-180.0,180.0,0.0,0.0,-0.0
-180.0,-180.0,180.0,0.0,0.0,-0.0
92.29,-3.85,11.81,0.65,1.27,9.16
92.29,-3.85,11.81,0.65,1.27,9.16
92.18,-3.69,11.92,1.06,1.23,8.96
92.18,-3.69,11.92,1.06,1.23,8.96
92.1,-3.47,12.09,1.49,1.17,8.83
91.98,-3.2,12.34,1.86,1.14,8.83
91.98,-3.2,12.34,1.86,1.14,8.83
91.86,-2.94,12.66,2.14,1.2,8.92
91.86,-2.94,12.66,2.14,1.2,8.92
91.72,-2.65,13.0,2.33,1.33,9.05
91.59,-2.32,13.35,2.47,1.39,9.25
91.59,-2.32,13.35,2.47,1.39,9.25
91.49,-1.87,13.69,2.74,1.52,9.4
91.36,-1.36,14.03,3.02,1.71,9.49
91.36,-1.36,14.03,3.02,1.71,9.49
91.19,-0.76,14.45,3.28,1.92,9.5
91.19,-0.76,14.45,3.28,1.92,9.5
90.97,-0.1,14.91,3.55,2.16,9.56
90.97,-0.1,14.91,3.55,2.16,9.56
90.65,0.58,15.34,3.76,2.31,9.62
90.65,0.58,15.34,3.76,2.31,9.62
90.23,1.18,15.68,3.87,2.45,9.67
89.71,1.67,15.98,3.89,2.67,9.71
89.71,1.67,15.98,3.89,2.67,9.71
89.07,2.03,16.28,3.86,2.89,9.73
89.07,2.03,16.28,3.86,2.89,9.73
88.33,2.31,16.46,3.77,3.07,9.75
88.33,2.31,16.46,3.77,3.07,9.75
87.49,2.61,16.48,3.6,3.22,9.77
87.49,2.61,16.48,3.6,3.22,9.77
86.58,3.03,16.42,3.37,3.37,9.78
85.6,3.65,16.35,3.06,3.47,9.79
85.6,3.65,16.35,3.06,3.47,9.79
84.57,4.4,16.25,2.73,3.49,9.78
84.57,4.4,16.25,2.73,3.49,9.78
83.52,5.2,16.17,2.39,3.46,9.72
82.45,5.95,16.16,2.04,3.4,9.68
82.45,5.95,16.16,2.04,3.4,9.68
81.35,6.65,16.17,1.65,3.35,9.66
81.35,6.65,16.17,1.65,3.35,9.66
80.24,7.24,16.22,1.23,3.34,9.65
80.24,7.24,16.22,1.23,3.34,9.65
79.15,7.73,16.23,0.79,3.31,9.62
79.15,7.73,16.23,0.79,3.31,9.62
78.11,8.15,16.23,0.44,3.29,9.57
77.12,8.52,16.26,0.18,3.28,9.53
77.12,8.52,16.26,0.18,3.28,9.53
76.18,8.89,16.3,-0.0,3.3,9.48
75.25,9.26,16.31,-0.07,3.31,9.39
75.25,9.26,16.31,-0.07,3.31,9.39
74.3,9.58,16.31,-0.06,3.3,9.27
74.3,9.58,16.31,-0.06,3.3,9.27
73.27,9.76,16.33,-0.06,3.22,9.18
73.27,9.76,16.33,-0.06,3.22,9.18
72.12,9.73,16.33,-0.2,3.09,9.15
70.87,9.53,16.34,-0.47,2.98,9.17
70.87,9.53,16.34,-0.47,2.98,9.17
69.58,9.15,16.36,-0.86,2.84,9.25
69.58,9.15,16.36,-0.86,2.84,9.25
68.27,8.67,16.36,-1.31,2.68,9.35
68.27,8.67,16.36,-1.31,2.68,9.35
67.03,8.25,16.37,-1.78,2.55,9.45
65.9,7.92,16.42,-2.18,2.44,9.54
65.9,7.92,16.42,-2.18,2.44,9.54
64.86,7.65,16.47,-2.46,2.35,9.61
63.89,7.39,16.56,-2.68,2.26,9.66
63.89,7.39,16.56,-2.68,2.26,9.66
62.95,7.08,16.67,-2.87,2.14,9.7
62.95,7.08,16.67,-2.87,2.14,9.7
62.03,6.67,16.83,-3.1,2.02,9.73
62.03,6.67,16.83,-3.1,2.02,9.73
61.12,6.16,17.01,-3.38,1.89,9.75
61.12,6.16,17.01,-3.38,1.89,9.75
60.25,5.68,17.15,-3.65,1.72,9.76
60.25,5.68,17.15,-3.65,1.72,9.76
59.47,5.31,17.18,-3.92,1.55,9.78
58.8,4.95,17.13,-4.2,1.44,9.78
58.8,4.95,17.13,-4.2,1.44,9.78
58.24,4.46,17.04,-4.45,1.38,9.79
57.82,3.78,16.85,-4.66,1.34,9.79
57.82,3.78,16.85,-4.66,1.34,9.79
57.58,2.88,16.48,-4.8,1.33,9.8
57.58,2.88,16.48,-4.8,1.33,9.8
57.51,1.78,15.96,-4.93,1.3,9.8
57.51,1.78,15.96,-4.93,1.3,9.8
57.62,0.63,15.31,-5.0,1.29,9.8
57.88,-0.4,14.55,-5.0,1.3,9.8
57.88,-0.4,14.55,-5.0,1.3,9.8
58.28,-1.25,13.69,-4.91,1.31,9.8
58.28,-1.25,13.69,-4.91,1.31,9.8
58.78,-1.95,12.81,-4.72,1.31,9.8
59.39,-2.63,11.93,-4.46,1.36,9.8
59.39,-2.63,11.93,-4.46,1.36,9.8
60.11,-3.39,10.99,-4.18,1.45,9.8
60.11,-3.39,10.99,-4.18,1.45,9.8
60.96,-4.34,9.98,-3.87,1.59,9.81
60.96,-4.34,9.98,-3.87,1.59,9.81
61.9,-5.5,8.96,-3.6,1.69,9.81
61.9,-5.5,8.96,-3.6,1.69,9.81
62.9,-6.67,7.88,-3.41,1.74,9.81
63.93,-7.57,6.65,-3.27,1.78,9.81
63.93,-7.57,6.65,-3.27,1.78,9.81
65.03,-8.18,5.4,-3.1,1.8,9.81
65.03,-8.18,5.4,-3.1,1.8,9.81
66.13,-8.55,4.09,-2.91,1.75,9.81
66.13,-8.55,4.09,-2.91,1.75,9.81
67.24,-8.86,2.77,-2.73,1.73,9.81
68.4,-9.25,1.46,-2.57,1.83,9.81
68.4,-9.25,1.46,-2.57,1.83,9.81
69.62,-9.7,0.12,-2.37,1.97,9.81
69.62,-9.7,0.12,-2.37,1.97,9.81
70.93,-10.12,-1.2,-2.11,2.08,9.81
70.93,-10.12,-1.2,-2.11,2.08,9.81
72.29,-10.43,-2.48,-1.77,2.1,9.81
73.63,-10.64,-3.79,-1.41,2.09,9.81
73.63,-10.64,-3.79,-1.41,2.09,9.81
74.93,-10.74,-5.16,-1.11,2.15,9.81
74.93,-10.74,-5.16,-1.11,2.15,9.81
76.17,-10.74,-6.52,-0.83,2.25,9.81
76.17,-10.74,-6.52,-0.83,2.25,9.81
77.33,-10.55,-7.94,-0.57,2.34,9.81
78.38,-10.16,-9.48,-0.27,2.36,9.8
78.38,-10.16,-9.48,-0.27,2.36,9.8
79.34,-9.6,-11.02,0.08,2.31,9.62
79.34,-9.6,-11.02,0.08,2.31,9.62
80.23,-9.1,-12.44,0.5,2.17,9.38
80.23,-9.1,-12.44,0.5,2.17,9.38
81.01,-8.69,-13.8,0.85,2.14,9.17
81.69,-8.5,-15.11,1.04,2.14,8.9
81.69,-8.5,-15.11,1.04,2.14,8.9
82.29,-8.41,-16.54,1.04,2.05,8.46
82.29,-8.41,-16.54,1.04,2.05,8.46
82.88,-8.3,-18.04,0.99,1.81,7.78
82.88,-8.3,-18.04,0.99,1.81,7.78
83.52,-8.13,-19.39,1.02,1.49,7.09
84.21,-7.99,-20.43,1.09,1.22,6.58
84.21,-7.99,-20.43,1.09,1.22,6.58
84.91,-7.9,-21.25,1.14,1.0,6.26
84.91,-7.9,-21.25,1.14,1.0,6.26
85.59,-7.92,-21.91,1.11,0.75,6.12
85.59,-7.92,-21.91,1.11,0.75,6.12
86.2,-8.02,-22.31,1.02,0.49,6.21
86.2,-8.02,-22.31,1.02,0.49,6.21
86.7,-8.1,-22.5,0.86,0.31,6.54
87.07,-8.11,-22.68,0.67,0.16,6.89
87.07,-8.11,-22.68,0.67,0.16,6.89
87.25,-7.91,-22.95,0.54,0.03,7.12
87.25,-7.91,-22.95,0.54,0.03,7.12
87.29,-7.52,-23.26,0.52,-0.05,7.23
87.38,-7.15,-23.54,0.58,-0.1,7.3
87.38,-7.15,-23.54,0.58,-0.1,7.3
87.55,-6.87,-23.91,0.74,-0.13,7.35
87.55,-6.87,-23.91,0.74,-0.13,7.35
87.71,-6.64,-24.36,1.03,-0.13,7.42
87.71,-6.64,-24.36,1.03,-0.13,7.42
87.82,-6.44,-24.85,1.34,-0.15,7.54
87.82,-6.44,-24.85,1.34,-0.15,7.54
87.81,-6.33,-25.51,1.6,-0.25,7.61
87.78,-6.43,-26.4,1.71,-0.41,7.51
87.78,-6.43,-26.4,1.71,-0.41,7.51
87.74,-6.77,-27.3,1.66,-0.62,7.37
87.74,-6.77,-27.3,1.66,-0.62,7.37
87.64,-7.19,-28.13,1.52,-0.8,7.28
87.64,-7.19,-28.13,1.52,-0.8,7.28
87.5,-7.69,-29.02,1.3,-0.89,7.13
87.5,-7.69,-29.02,1.3,-0.89,7.13
87.37,-8.31,-30.02,1.04,-0.92,6.81
87.22,-8.96,-30.98,0.78,-0.93,6.47
87.22,-8.96,-30.98,0.78,-0.93,6.47
87.05,-9.58,-31.79,0.48,-0.95,6.15
86.9,-10.11,-32.63,-0.06,-1.06,5.68
86.9,-10.11,-32.63,-0.06,-1.06,5.68
86.78,-10.31,-33.54,-0.31,-1.27,5.03
86.78,-10.31,-33.54,-0.31,-1.27,5.03
