yaw,pitch,roll,accelx,accely,accelz
37.53,2.98,24.75,0.93,2.24,9.81
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
37.54,2.92,24.46,0.8,2.07,9.81
37.59,2.87,24.21,0.65,1.78,9.81
37.59,2.87,24.21,0.65,1.78,9.81
37.63,2.82,23.94,0.59,1.58,9.81
37.63,2.82,23.94,0.59,1.58,9.81
37.64,2.71,23.65,0.57,1.42,9.81
37.64,2.71,23.65,0.57,1.42,9.81
37.63,2.53,23.36,0.56,1.27,9.81
37.59,2.3,23.07,0.55,1.13,9.81
37.59,2.3,23.07,0.55,1.13,9.81
37.52,2.01,22.81,0.57,1.03,9.81
37.52,2.01,22.81,0.57,1.03,9.81
37.42,1.68,22.59,0.63,0.98,9.81
37.42,1.68,22.59,0.63,0.98,9.81
37.28,1.37,22.41,0.76,1.02,9.81
37.28,1.37,22.41,0.76,1.02,9.81
37.11,1.14,22.23,0.79,0.99,9.75
36.91,1.04,22.04,0.82,1.01,9.65
36.91,1.04,22.04,0.82,1.01,9.65
36.73,1.13,21.83,0.83,1.07,9.56
36.73,1.13,21.83,0.83,1.07,9.56
36.57,1.33,21.65,0.89,1.14,9.58
36.57,1.33,21.65,0.89,1.14,9.58
36.46,1.57,21.53,1.01,1.2,9.64
36.4,1.78,21.45,1.21,1.28,9.69
36.4,1.78,21.45,1.21,1.28,9.69
36.41,1.91,21.33,1.47,1.35,9.72
36.41,1.91,21.33,1.47,1.35,9.72
36.48,2.0,21.12,1.78,1.38,9.74
36.48,2.0,21.12,1.78,1.38,9.74
36.57,2.12,20.75,2.1,1.34,9.76
36.68,2.42,20.2,2.42,1.25,9.69
36.68,2.42,20.2,2.42,1.25,9.69
36.74,3.0,19.55,2.68,1.13,9.46
36.74,3.0,19.55,2.68,1.13,9.46
36.73,3.88,18.94,2.87,1.03,9.19
36.73,3.88,18.94,2.87,1.03,9.19
36.65,5.01,18.42,2.97,0.97,8.92
36.54,6.25,17.99,3.03,0.94,8.71
36.54,6.25,17.99,3.03,0.94,8.71
36.41,7.47,17.71,3.1,0.96,8.55
36.41,7.47,17.71,3.1,0.96,8.55
36.25,8.61,17.56,3.21,1.0,8.49
36.25,8.61,17.56,3.21,1.0,8.49
36.07,9.65,17.51,3.36,1.06,8.49
36.07,9.65,17.51,3.36,1.06,8.49
35.83,10.56,17.55,3.55,1.13,8.55
35.83,10.56,17.55,3.55,1.13,8.55
35.53,11.35,17.6,3.76,1.17,8.61
35.13,12.07,17.63,3.96,1.22,8.61
35.13,12.07,17.63,3.96,1.22,8.61
34.6,12.8,17.66,4.08,1.3,8.56
34.6,12.8,17.66,4.08,1.3,8.56
33.9,13.61,17.76,4.07,1.41,8.52
33.06,14.51,17.9,3.94,1.54,8.51
33.06,14.51,17.9,3.94,1.54,8.51
32.09,15.46,18.06,3.71,1.68,8.54
32.09,15.46,18.06,3.71,1.68,8.54
31.05,16.4,18.21,3.41,1.85,8.54
29.94,17.26,18.41,3.09,2.03,8.52
29.94,17.26,18.41,3.09,2.03,8.52
28.77,18.06,18.67,2.75,2.21,8.52
28.77,18.06,18.67,2.75,2.21,8.52
27.55,18.82,19.03,2.44,2.38,8.61
27.55,18.82,19.03,2.44,2.38,8.61
26.31,19.5,19.41,2.2,2.54,8.75
25.08,20.17,19.75,2.02,2.66,8.92
25.08,20.17,19.75,2.02,2.66,8.92
23.85,20.89,20.01,1.84,2.78,9.06
23.85,20.89,20.01,1.84,2.78,9.06
22.6,21.72,20.23,1.63,2.91,9.2
21.36,22.65,20.42,1.4,3.0,9.34
21.36,22.65,20.42,1.4,3.0,9.34
20.14,23.54,20.54,1.2,3.06,9.44
20.14,23.54,20.54,1.2,3.06,9.44
18.97,24.33,20.61,1.04,3.09,9.46
18.97,24.33,20.61,1.04,3.09,9.46
17.8,24.96,20.68,0.94,3.11,9.42
17.8,24.96,20.68,0.94,3.11,9.42
