yaw,pitch,roll,accelx,accely,accelz
-113.24,-9.48,24.18,-0.87,1.72,9.42
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
-113.02,-8.92,23.46,-0.62,0.64,9.3
-113.02,-8.92,23.46,-0.62,0.64,9.3
-112.88,-9.27,23.02,-0.35,-0.08,9.37
-112.88,-9.27,23.02,-0.35,-0.08,9.37
-112.67,-9.55,22.5,-0.03,-0.63,9.48
-112.67,-9.55,22.5,-0.03,-0.63,9.48
-112.42,-9.63,21.97,0.34,-1.07,9.57
-112.13,-9.38,21.37,0.66,-1.38,9.61
-112.13,-9.38,21.37,0.66,-1.38,9.61
-111.82,-8.84,20.64,0.92,-1.55,9.39
-111.82,-8.84,20.64,0.92,-1.55,9.39
-111.52,-8.18,19.94,1.23,-1.72,8.96
-111.21,-7.46,19.39,1.76,-1.9,8.48
-111.21,-7.46,19.39,1.76,-1.9,8.48
-110.99,-6.74,19.05,2.37,-1.97,8.08
-110.99,-6.74,19.05,2.37,-1.97,8.08
-110.92,-5.94,18.98,2.98,-1.9,7.8
-110.92,-5.94,18.98,2.98,-1.9,7.8
-111.02,-5.07,19.17,3.55,-1.75,7.75
-111.29,-4.14,19.52,4.02,-1.54,7.94
-111.29,-4.14,19.52,4.02,-1.54,7.94
-111.75,-3.21,19.98,4.31,-1.33,8.3
-111.75,-3.21,19.98,4.31,-1.33,8.3
-112.36,-2.3,20.35,4.39,-1.15,8.7
-112.36,-2.3,20.35,4.39,-1.15,8.7
-113.04,-1.42,20.56,4.34,-0.96,8.99
-113.73,-0.57,20.55,4.26,-0.73,9.2
-113.73,-0.57,20.55,4.26,-0.73,9.2
-114.42,0.26,20.43,4.19,-0.49,9.23
-114.42,0.26,20.43,4.19,-0.49,9.23
-115.14,1.08,20.27,4.17,-0.29,9.15
-115.14,1.08,20.27,4.17,-0.29,9.15
-115.9,1.89,20.04,4.18,-0.27,8.99
-116.72,2.78,19.66,4.25,-0.41,8.71
-116.72,2.78,19.66,4.25,-0.41,8.71
-117.66,3.74,19.28,4.3,-0.58,8.32
-117.66,3.74,19.28,4.3,-0.58,8.32
-118.78,4.73,19.12,4.28,-0.63,7.98
-118.78,4.73,19.12,4.28,-0.63,7.98
-120.11,5.73,19.25,4.14,-0.51,7.85
-121.62,6.74,19.55,3.87,-0.28,7.91
-121.62,6.74,19.55,3.87,-0.28,7.91
-123.33,7.77,19.91,3.44,0.06,8.14
-123.33,7.77,19.91,3.44,0.06,8.14
-125.23,8.79,20.3,2.79,0.35,8.51
-125.23,8.79,20.3,2.79,0.35,8.51
-127.21,9.84,20.55,1.96,0.48,8.85
-127.21,9.84,20.55,1.96,0.48,8.85
-129.18,10.93,20.56,1.07,0.4,9.1
-131.03,11.94,20.35,0.25,0.19,9.29
-131.03,11.94,20.35,0.25,0.19,9.29
-132.79,12.74,20.05,-0.44,-0.0,9.43
-134.45,13.26,19.72,-0.94,-0.09,9.48
-134.45,13.26,19.72,-0.94,-0.09,9.48
-136.1,13.52,19.38,-1.35,-0.15,9.5
-136.1,13.52,19.38,-1.35,-0.15,9.5
-137.8,13.5,19.05,-1.78,-0.23,9.57
-137.8,13.5,19.05,-1.78,-0.23,9.57
-139.57,13.27,18.74,-2.29,-0.34,9.63
-141.45,12.98,18.43,-2.91,-0.56,9.68
-141.45,12.98,18.43,-2.91,-0.56,9.68
-143.35,12.71,17.92,-3.64,-0.95,9.71
-145.14,12.48,17.13,-4.44,-1.36,9.74
-145.14,12.48,17.13,-4.44,-1.36,9.74
-146.84,12.13,16.3,-5.3,-1.65,9.73
-146.84,12.13,16.3,-5.3,-1.65,9.73
-148.37,11.59,15.58,-6.11,-1.86,9.63
-148.37,11.59,15.58,-6.11,-1.86,9.63
-149.7,10.85,15.01,-6.84,-1.97,9.44
-149.7,10.85,15.01,-6.84,-1.97,9.44
-150.82,9.91,14.63,-7.52,-1.99,9.28
-151.71,8.77,14.54,-8.11,-1.9,9.27
-151.71,8.77,14.54,-8.11,-1.9,9.27
-152.36,7.57,14.69,-8.56,-1.73,9.41
-152.36,7.57,14.69,-8.56,-1.73,9.41
-152.72,6.45,14.92,-8.89,-1.57,9.51
-152.72,6.45,14.92,-8.89,-1.57,9.51
-152.83,5.47,15.06,-9.13,-1.51,9.59
-152.63,4.68,15.01,-9.24,-1.53,9.65
-152.63,4.68,15.01,-9.24,-1.53,9.65
-152.15,4.02,14.75,-9.18,-1.55,9.69
-152.15,4.02,14.75,-9.18,-1.55,9.69
-151.44,3.37,14.43,-8.97,-1.54,9.55
-151.44,3.37,14.43,-8.97,-1.54,9.55
-150.56,2.62,14.21,-8.68,-1.5,9.31
-149.56,1.71,14.14,-8.38,-1.37,9.07
-149.56,1.71,14.14,-8.38,-1.37,9.07
-148.44,0.64,14.21,-8.11,-1.2,8.92
-148.44,0.64,14.21,-8.11,-1.2,8.92
-147.27,-0.54,14.41,-7.9,-1.03,8.94
-147.27,-0.54,14.41,-7.9,-1.03,8.94
-146.0,-1.77,14.67,-7.75,-0.88,9.14
-144.62,-2.98,14.84,-7.67,-0.73,9.32
-144.62,-2.98,14.84,-7.67,-0.73,9.32
-143.08,-4.14,14.85,-7.62,-0.54,9.45
-143.08,-4.14,14.85,-7.62,-0.54,9.45
-141.4,-5.18,14.72,-7.53,-0.34,9.43
-139.57,-6.12,14.56,-7.39,-0.13,9.29
-139.57,-6.12,14.56,-7.39,-0.13,9.29
-137.58,-6.98,14.37,-7.21,0.07,9.03
-137.58,-6.98,14.37,-7.21,0.07,9.03
-135.46,-7.79,14.26,-6.95,0.27,8.76
-135.46,-7.79,14.26,-6.95,0.27,8.76
-133.2,-8.62,14.3,-6.56,0.48,8.61
-130.83,-9.48,14.38,-6.03,0.69,8.57
-128.36,-10.39,14.44,-5.4,0.9,8.59
-128.36,-10.39,14.44,-5.4,0.9,8.59
-125.85,-11.39,14.52,-4.71,1.16,8.68
-125.85,-11.39,14.52,-4.71,1.16,8.68
-123.34,-12.41,14.62,-3.98,1.45,8.75
-123.34,-12.41,14.62,-3.98,1.45,8.75
-120.87,-13.32,14.71,-3.26,1.7,8.8
-118.49,-14.01,14.91,-2.56,1.96,8.83
-118.49,-14.01,14.91,-2.56,1.96,8.83
-116.18,-14.39,15.31,-1.83,2.23,8.95
-116.18,-14.39,15.31,-1.83,2.23,8.95
-113.96,-14.46,15.91,-0.95,2.5,9.17
-111.85,-14.43,16.75,0.1,2.86,9.34
-111.85,-14.43,16.75,0.1,2.86,9.34
-109.86,-14.47,17.64,1.19,3.29,9.46
-109.86,-14.47,17.64,1.19,3.29,9.46
-108.0,-14.71,18.24,2.17,3.72,9.56
-106.23,-15.13,18.26,2.92,4.01,9.62
-106.23,-15.13,18.26,2.92,4.01,9.62
-104.49,-15.52,17.88,3.55,4.07,9.67
-104.49,-15.52,17.88,3.55,4.07,9.67
-102.74,-15.6,17.49,4.2,3.95,9.71
-102.74,-15.6,17.49,4.2,3.95,9.71
-100.99,-15.22,17.36,4.99,3.85,9.73
-99.27,-14.29,17.49,6.04,3.86,9.75
-97.63,-12.91,17.77,7.04,3.97,9.77
-97.63,-12.91,17.77,7.04,3.97,9.77
-96.2,-11.37,17.96,7.77,4.07,9.78
-96.2,-11.37,17.96,7.77,4.07,9.78
-95.05,-9.87,17.85,8.31,4.06,9.78
-95.05,-9.87,17.85,8.31,4.06,9.78
-94.32,-8.58,17.47,8.71,3.97,9.79
-94.32,-8.58,17.47,8.71,3.97,9.79
-94.02,-7.55,17.04,9.0,3.8,9.65
-94.17,-6.77,16.69,9.21,3.57,9.37
-94.17,-6.77,16.69,9.21,3.57,9.37
-94.72,-6.12,16.43,9.37,3.32,9.06
-94.72,-6.12,16.43,9.37,3.32,9.06
-95.6,-5.5,16.31,9.45,3.12,8.81
-96.76,-4.88,16.33,9.25,3.01,8.65
-96.76,-4.88,16.33,9.25,3.01,8.65
-98.13,-4.25,16.43,8.81,2.98,8.58
-98.13,-4.25,16.43,8.81,2.98,8.58
-99.65,-3.56,16.54,8.17,2.97,8.49
-99.65,-3.56,16.54,8.17,2.97,8.49
-101.27,-2.82,16.62,7.43,2.92,8.35
-101.27,-2.82,16.62,7.43,2.92,8.35
-102.92,-2.06,16.65,6.71,2.78,8.17
-104.59,-1.39,16.67,6.07,2.69,7.84
-104.59,-1.39,16.67,6.07,2.69,7.84
-106.25,-0.78,16.78,5.57,2.68,7.56
-106.25,-0.78,16.78,5.57,2.68,7.56
-107.98,-0.28,17.03,5.21,2.73,7.38
-109.79,0.22,17.4,4.99,2.8,7.32
-109.79,0.22,17.4,4.99,2.8,7.32
-111.81,0.85,17.87,4.81,2.92,7.34
-111.81,0.85,17.87,4.81,2.92,7.34
-114.06,1.72,18.45,4.5,3.0,7.46
-114.06,1.72,18.45,4.5,3.0,7.46
-116.52,2.88,19.09,4.02,3.08,7.65
-119.18,4.2,19.79,3.36,3.19,7.9
-119.18,4.2,19.79,3.36,3.19,7.9
-121.98,5.5,20.51,2.58,3.36,8.2
-121.98,5.5,20.51,2.58,3.36,8.2
-124.82,6.68,21.18,1.79,3.59,8.51
-124.82,6.68,21.18,1.79,3.59,8.51
-127.7,7.67,21.75,1.04,3.83,8.78
-130.64,8.47,22.25,0.27,4.02,9.05
-130.64,8.47,22.25,0.27,4.02,9.05
-133.66,9.13,22.72,-0.59,4.14,9.25
-133.66,9.13,22.72,-0.59,4.14,9.25
-136.75,9.81,23.16,-1.6,4.13,9.4
-139.8,10.57,23.56,-2.73,4.01,9.51
-139.8,10.57,23.56,-2.73,4.01,9.51
-142.7,11.43,23.89,-3.87,3.83,9.59
-142.7,11.43,23.89,-3.87,3.83,9.59
-145.32,12.37,24.14,-4.88,3.62,9.64
-145.32,12.37,24.14,-4.88,3.62,9.64
-147.61,13.33,24.32,-5.69,3.37,9.69
-149.58,14.24,24.4,-6.24,3.11,9.72
-149.58,14.24,24.4,-6.24,3.11,9.72
-151.28,14.98,24.46,-6.49,2.88,9.74
-151.28,14.98,24.46,-6.49,2.88,9.74
-152.84,15.41,24.52,-6.58,2.69,9.76
-152.84,15.41,24.52,-6.58,2.69,9.76
-154.31,15.45,24.55,-6.64,2.54,9.77
-154.31,15.45,24.55,-6.64,2.54,9.77
-155.63,15.11,24.45,-6.85,2.4,9.78
-156.71,14.45,24.11,-7.25,2.2,9.79
-157.49,13.59,23.5,-7.75,1.92,9.79
-157.49,13.59,23.5,-7.75,1.92,9.79
-157.95,12.57,22.76,-8.28,1.59,9.8
-157.95,12.57,22.76,-8.28,1.59,9.8
-158.1,11.45,22.04,-8.68,1.25,9.7
-158.1,11.45,22.04,-8.68,1.25,9.7
-158.01,10.32,21.55,-8.95,1.0,9.41
-158.01,10.32,21.55,-8.95,1.0,9.41
-157.72,9.22,21.36,-9.0,0.85,9.12
-157.33,8.22,21.5,-8.85,0.82,8.96
-157.33,8.22,21.5,-8.85,0.82,8.96
-156.88,7.3,21.92,-8.64,0.91,9.01
-156.34,6.43,22.46,-8.45,1.06,9.2
-156.34,6.43,22.46,-8.45,1.06,9.2
-155.65,5.59,22.96,-8.29,1.23,9.36
-155.65,5.59,22.96,-8.29,1.23,9.36
-154.77,4.78,23.33,-8.12,1.37,9.47
-154.77,4.78,23.33,-8.12,1.37,9.47
-153.7,3.99,23.56,-7.89,1.45,9.43
-152.47,3.19,23.72,-7.61,1.52,9.22
-152.47,3.19,23.72,-7.61,1.52,9.22
-151.09,2.27,23.89,-7.28,1.61,8.89
-151.09,2.27,23.89,-7.28,1.61,8.89
-149.61,1.19,24.13,-6.93,1.74,8.5
-149.61,1.19,24.13,-6.93,1.74,8.5
-148.04,-0.09,24.45,-6.62,1.88,8.14
-146.38,-1.59,24.86,-6.38,2.07,7.82
-146.38,-1.59,24.86,-6.38,2.07,7.82
-144.63,-3.26,25.38,-6.2,2.29,7.58
-144.63,-3.26,25.38,-6.2,2.29,7.58
-142.79,-4.98,25.98,-6.05,2.54,7.39
-142.79,-4.98,25.98,-6.05,2.54,7.39
-140.84,-6.61,26.63,-5.86,2.83,7.2
-140.84,-6.61,26.63,-5.86,2.83,7.2
-138.81,-8.08,27.38,-5.57,3.17,7.0
-136.74,-9.36,28.27,-5.18,3.54,6.85
-136.74,-9.36,28.27,-5.18,3.54,6.85
-134.65,-10.46,29.29,-4.68,3.94,6.8
-134.65,-10.46,29.29,-4.68,3.94,6.8
-132.57,-11.43,30.43,-4.05,4.4,6.84
-132.57,-11.43,30.43,-4.05,4.4,6.84
-130.51,-12.33,31.61,-3.28,4.88,6.97
-128.53,-13.21,32.84,-2.44,5.39,7.12
-128.53,-13.21,32.84,-2.44,5.39,7.12
-126.67,-14.11,34.1,-1.65,5.93,7.27
-126.67,-14.11,34.1,-1.65,5.93,7.27
-124.93,-15.07,35.47,-0.93,6.5,7.47
-123.3,-16.14,36.99,-0.26,7.08,7.81
-123.3,-16.14,36.99,-0.26,7.08,7.81
