yaw,pitch,roll,accelx,accely,accelz
0.07,4.24,-30.23,-4.06,-2.83,6.7
-1.47,1.92,-29.57,-5.06,-2.68,6.21
-3.07,-0.01,-27.92,-5.29,-2.57,6.72
-3.97,-3.02,-27.81,-5.57,-2.48,6.38
-4.08,-5.0,-27.05,-5.96,-2.47,6.69
-2.62,-6.41,-27.34,-5.95,-2.59,6.56
0.04,-7.25,-27.38,-5.23,-2.74,6.5
2.98,-7.52,-27.58,-4.99,-2.91,6.49
6.55,-7.77,-27.86,-4.49,-3.13,6.16
10.33,-7.51,-27.71,-3.96,-3.34,6.27
14.04,-7.87,-27.71,-3.8,-3.65,6.01
17.98,-7.98,-27.43,-3.73,-3.93,5.91
23.01,-9.1,-26.86,-3.59,-4.06,6.2
28.5,-9.16,-26.1,-2.72,-4.04,6.3
33.08,-8.8,-24.65,-2.75,-4.11,6.69
37.97,-8.47,-23.62,-2.24,-3.98,6.96
42.31,-8.07,-22.71,-1.67,-4.17,7.13
45.76,-8.38,-22.39,-1.92,-4.54,6.91
49.82,-9.61,-21.56,-2.19,-4.53,6.63
54.62,-10.86,-19.91,-2.12,-4.53,7.33
60.19,-12.53,-19.26,-1.58,-4.34,6.94
65.05,-13.34,-17.11,-0.88,-4.03,6.98
68.48,-14.54,-13.58,-0.98,-3.82,7.36
70.82,-15.63,-9.15,-0.75,-3.3,8.34
70.76,-14.83,-4.41,-0.74,-2.82,9.2
70.1,-16.15,-1.41,-1.48,-3.06,9.1
69.79,-17.69,1.07,-1.39,-2.84,9.21
68.93,-19.31,3.64,-1.65,-2.39,9.16
67.18,-19.72,7.09,-1.52,-1.78,9.59
64.09,-19.72,10.51,-1.72,-1.4,9.77
59.58,-19.58,14.08,-2.0,-0.94,9.8
54.34,-18.32,17.09,-2.1,-0.46,9.8
48.01,-18.19,18.53,-1.74,-0.03,9.81
39.18,-18.8,20.21,-2.08,0.27,9.34
29.34,-19.75,22.41,-3.15,1.09,9.69
19.03,-19.92,22.75,-4.66,2.0,9.79
10.53,-20.31,20.53,-4.78,2.17,9.8
1.8,-20.69,16.63,-4.4,2.1,9.16
-6.51,-20.95,13.0,-4.53,1.81,8.98
-14.12,-22.17,8.86,-4.38,1.69,8.67
-20.87,-24.09,5.12,-4.28,1.43,8.51
-27.2,-26.09,1.75,-4.26,1.16,8.15
-32.38,-28.2,-0.95,-4.85,0.94,8.39
-35.67,-30.92,-4.39,-4.79,0.73,8.72
-38.21,-33.21,-8.62,-4.52,0.36,8.0
-39.98,-35.12,-11.99,-4.91,0.11,8.12
-40.57,-36.88,-16.15,-4.76,-0.02,8.24
-40.95,-38.05,-20.6,-4.67,-0.42,7.94
-41.18,-38.94,-24.66,-4.83,-0.93,7.52
-40.51,-38.41,-28.23,-4.68,-1.2,7.61
-39.59,-37.75,-31.97,-4.5,-1.56,7.08
-38.54,-37.02,-34.56,-4.38,-1.89,7.12
-37.86,-36.82,-37.05,-4.81,-2.27,6.9
-36.62,-36.86,-39.91,-4.83,-2.52,6.61
-34.8,-37.08,-43.16,-4.65,-2.73,6.43
-32.67,-36.58,-45.29,-4.43,-3.01,6.25
-30.32,-35.75,-46.68,-4.39,-3.2,5.99
-27.76,-35.27,-48.1,-4.2,-3.33,6.01
-25.06,-34.27,-48.26,-4.16,-3.47,5.93
-21.57,-32.04,-47.53,-4.11,-3.63,5.95
