yaw,pitch,roll,accelx,accely,accelz
-57.44,-3.97,-24.54,-0.73,-3.0,8.81
-57.42,-3.11,-23.26,0.54,-1.23,9.39
-57.34,-2.35,-21.68,0.83,-0.9,9.44
-57.16,-2.75,-20.15,1.49,-0.69,8.96
-59.51,-3.96,-17.07,2.64,-0.24,8.03
-66.91,-5.68,-9.87,2.72,0.26,7.37
-76.75,-8.98,-1.15,1.02,0.51,8.78
-85.98,-7.41,6.7,0.1,0.71,9.06
-94.19,-3.38,14.89,0.62,1.34,9.61
-101.87,-0.18,20.05,0.14,1.66,9.77
-108.14,-0.8,22.13,1.61,2.64,9.8
-116.07,-4.23,21.13,-0.24,2.82,9.81
-120.73,-9.86,17.79,-1.14,2.59,9.81
-122.27,-15.01,12.04,-1.33,2.51,9.81
-121.84,-19.58,5.33,-1.19,2.35,9.81
-120.17,-24.46,-2.99,-1.68,1.79,9.8
-116.65,-27.51,-12.23,-1.43,1.59,9.8
-112.91,-28.48,-22.49,-1.89,0.88,8.2
-109.08,-26.67,-30.82,-1.3,0.24,7.81
-105.33,-24.28,-38.1,-2.18,-0.88,6.83
-101.59,-20.26,-43.93,-0.97,-1.63,6.05
-97.51,-17.08,-47.93,-1.28,-2.44,5.67
-92.94,-13.32,-49.93,-1.3,-2.82,6.03
-88.59,-9.05,-51.1,-0.73,-2.95,5.76
-84.44,-4.67,-51.22,-0.25,-3.16,5.27
-80.77,-0.22,-49.55,0.3,-2.77,5.36
-77.41,3.98,-46.31,1.42,-2.68,5.14
-74.29,6.97,-41.38,2.45,-2.56,5.02
-72.62,8.21,-33.74,1.74,-2.11,6.4
-71.79,9.55,-25.07,2.44,-1.51,7.24
-71.92,11.3,-14.93,2.31,-1.26,8.41
-71.88,12.41,-4.47,2.23,-0.29,9.05
-70.75,13.46,6.75,2.29,0.76,9.68
-70.19,12.6,16.54,0.51,1.26,9.79
-66.78,11.41,25.76,0.3,1.72,9.8
-61.44,6.09,33.84,-0.99,2.34,9.8
-52.52,-1.68,41.64,-2.19,3.59,9.81
-38.31,-8.64,46.87,-1.29,4.9,9.81
-25.14,-14.8,47.47,-0.09,5.4,9.81
-17.07,-19.35,42.23,-0.3,4.71,9.81
-11.04,-21.89,33.58,-0.46,4.4,9.81
-6.31,-23.06,22.51,-0.74,4.02,9.81
-2.96,-22.44,11.83,-0.2,3.57,9.81
-0.83,-21.82,2.62,-0.34,2.89,9.81
0.1,-20.29,-6.29,-0.33,2.26,9.81
-0.11,-18.16,-14.87,-0.7,1.32,9.51
-0.01,-14.96,-22.47,-0.46,0.86,9.67
-0.74,-11.98,-30.59,-0.28,0.02,7.83
-2.59,-9.96,-37.6,-0.12,-0.93,5.65
-4.7,-9.78,-41.6,-0.26,-1.75,4.53
-6.99,-11.23,-42.64,-1.5,-2.61,4.86
-7.88,-11.66,-41.35,-1.79,-3.07,6.25
-8.07,-11.59,-38.85,-1.78,-3.32,7.79
-7.99,-10.99,-36.58,-1.58,-3.56,8.47
-7.83,-10.48,-34.95,-1.34,-3.57,8.85
-7.99,-10.63,-34.08,-1.91,-3.7,8.61
-7.66,-10.18,-33.43,-1.43,-3.49,8.28
-7.43,-10.19,-32.69,-1.6,-3.5,8.18
-7.05,-9.48,-31.9,-1.5,-3.51,8.38
-6.54,-8.83,-31.41,-1.2,-3.5,8.19
