yaw,pitch,roll,accelx,accely,accelz
79.3,16.1,23.67,-3.61,4.81,9.81
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
78.32,15.71,21.82,-2.62,3.74,9.12
78.32,15.71,21.82,-2.62,3.74,9.12
78.19,15.43,21.58,-1.83,3.04,8.63
78.19,15.43,21.58,-1.83,3.04,8.63
78.02,15.25,21.51,-1.24,2.42,8.42
78.02,15.25,21.51,-1.24,2.42,8.42
77.79,15.05,21.52,-0.98,2.01,8.45
77.79,15.05,21.52,-0.98,2.01,8.45
77.57,14.88,21.71,-0.95,2.04,8.81
77.45,14.84,22.17,-0.89,1.68,9.07
77.45,14.84,22.17,-0.89,1.68,9.07
77.42,14.36,21.75,-0.75,1.62,9.27
77.42,14.36,21.75,-0.75,1.62,9.27
77.53,13.79,20.98,-0.53,1.6,9.25
77.67,13.23,20.47,-0.14,1.49,8.96
77.67,13.23,20.47,-0.14,1.49,8.96
77.74,12.5,20.11,0.21,1.38,8.76
77.74,12.5,20.11,0.21,1.38,8.76
77.8,11.78,19.83,0.45,1.41,8.58
77.87,11.1,19.7,0.64,1.5,8.42
77.87,11.1,19.7,0.64,1.5,8.42
77.95,10.44,19.75,0.83,1.58,8.28
77.95,10.44,19.75,0.83,1.58,8.28
78.06,9.96,19.94,1.0,1.74,8.23
78.06,9.96,19.94,1.0,1.74,8.23
78.24,9.76,20.29,1.2,2.0,8.31
78.44,9.83,20.67,1.5,2.15,8.46
78.68,10.14,21.03,1.9,2.25,8.5
78.87,10.62,21.42,2.41,2.27,8.47
78.87,10.62,21.42,2.41,2.27,8.47
78.92,11.18,21.9,2.98,2.29,8.4
78.74,11.67,22.57,3.49,2.37,8.43
78.74,11.67,22.57,3.49,2.37,8.43
78.21,12.01,23.38,3.84,2.54,8.67
78.21,12.01,23.38,3.84,2.54,8.67
77.34,12.2,24.2,4.0,2.79,8.97
77.34,12.2,24.2,4.0,2.79,8.97
76.14,12.22,24.88,3.97,3.03,9.19
74.66,12.1,25.36,3.75,3.25,9.35
74.66,12.1,25.36,3.75,3.25,9.35
72.95,11.81,25.59,3.39,3.42,9.47
72.95,11.81,25.59,3.39,3.42,9.47
71.1,11.38,25.62,2.91,3.57,9.56
71.1,11.38,25.62,2.91,3.57,9.56
69.18,10.87,25.49,2.35,3.7,9.63
67.28,10.37,25.23,1.76,3.74,9.67
67.28,10.37,25.23,1.76,3.74,9.67
65.45,9.93,24.87,1.17,3.69,9.71
65.45,9.93,24.87,1.17,3.69,9.71
63.75,9.56,24.45,0.59,3.6,9.73
62.19,9.25,23.96,0.03,3.55,9.75
62.19,9.25,23.96,0.03,3.55,9.75
60.8,8.98,23.42,-0.51,3.54,9.77
60.8,8.98,23.42,-0.51,3.54,9.77
59.61,8.77,22.84,-0.97,3.53,9.78
58.6,8.66,22.21,-1.3,3.51,9.79
58.6,8.66,22.21,-1.3,3.51,9.79
57.75,8.6,21.55,-1.52,3.47,9.79
57.75,8.6,21.55,-1.52,3.47,9.79
57.01,8.61,20.9,-1.64,3.47,9.79
57.01,8.61,20.9,-1.64,3.47,9.79
56.38,8.73,20.23,-1.7,3.5,9.8
55.83,8.98,19.48,-1.73,3.54,9.8
55.83,8.98,19.48,-1.73,3.54,9.8
55.35,9.38,18.62,-1.73,3.59,9.8
55.35,9.38,18.62,-1.73,3.59,9.8
54.92,9.88,17.63,-1.7,3.57,9.8
54.92,9.88,17.63,-1.7,3.57,9.8
54.5,10.4,16.54,-1.65,3.47,9.8
54.06,10.85,15.43,-1.59,3.37,9.8
54.06,10.85,15.43,-1.59,3.37,9.8
53.58,11.18,14.35,-1.57,3.31,9.8
53.58,11.18,14.35,-1.57,3.31,9.8
53.04,11.42,13.34,-1.61,3.31,9.8
53.04,11.42,13.34,-1.61,3.31,9.8
52.48,11.59,12.35,-1.7,3.31,9.81
52.48,11.59,12.35,-1.7,3.31,9.81
51.92,11.68,11.31,-1.81,3.28,9.81
51.37,11.72,10.21,-1.92,3.23,9.81
51.37,11.72,10.21,-1.92,3.23,9.81
50.86,11.68,9.02,-2.03,3.18,9.81
50.39,11.58,7.78,-2.13,3.11,9.81
50.39,11.58,7.78,-2.13,3.11,9.81
49.96,11.4,6.47,-2.21,3.02,9.81
49.96,11.4,6.47,-2.21,3.02,9.81
49.56,11.16,5.16,-2.27,2.91,9.81
49.56,11.16,5.16,-2.27,2.91,9.81
49.19,10.9,3.87,-2.33,2.78,9.81
49.19,10.9,3.87,-2.33,2.78,9.81
48.86,10.63,2.63,-2.42,2.64,9.81
48.57,10.36,1.4,-2.52,2.5,9.81
48.57,10.36,1.4,-2.52,2.5,9.81
48.35,10.1,0.15,-2.58,2.35,9.81
48.35,10.1,0.15,-2.58,2.35,9.81
48.19,9.87,-1.12,-2.59,2.21,9.81
48.19,9.87,-1.12,-2.59,2.21,9.81
48.12,9.66,-2.43,-2.53,2.07,9.81
48.12,9.66,-2.43,-2.53,2.07,9.81
48.08,9.51,-3.71,-2.42,1.95,9.81
48.09,9.39,-4.96,-2.27,1.81,9.81
48.09,9.39,-4.96,-2.27,1.81,9.81
48.11,9.29,-6.19,-2.12,1.66,9.81
48.11,9.29,-6.19,-2.12,1.66,9.81
48.16,9.14,-7.39,-1.99,1.53,9.81
48.23,8.94,-8.57,-1.9,1.42,9.79
