yaw,pitch,roll,accelx,accely,accelz
-180.0,-180.0,180.0,0.0,0.0,-0.0
-180.0,-180.0,180.0,0.0,0.0,-0.0
-180.0,-180.0,180.0,0.0,0.0,-0.0
71.16,-9.38,12.1,-3.58,0.31,9.81
71.16,-9.38,12.1,-3.58,0.31,9.81
71.02,-9.06,12.42,-2.6,0.54,9.81
71.02,-9.06,12.42,-2.6,0.54,9.81
70.8,-8.83,12.63,-2.02,0.75,9.81
70.5,-8.75,12.84,-1.89,0.89,9.81
70.5,-8.75,12.84,-1.89,0.89,9.81
70.22,-8.74,12.87,-2.07,1.03,9.81
70.22,-8.74,12.87,-2.07,1.03,9.81
70.06,-8.6,12.51,-2.22,1.09,9.81
70.06,-8.6,12.51,-2.22,1.09,9.81
70.01,-8.18,11.87,-2.32,0.98,9.81
70.02,-7.42,11.22,-2.26,0.87,9.81
70.02,-7.42,11.22,-2.26,0.87,9.81
70.04,-6.29,10.68,-2.1,0.89,9.81
70.0,-4.91,10.18,-1.95,1.1,9.81
70.0,-4.91,10.18,-1.95,1.1,9.81
69.85,-3.4,9.65,-1.85,1.3,9.81
69.85,-3.4,9.65,-1.85,1.3,9.81
69.57,-2.02,9.06,-1.8,1.35,9.81
69.57,-2.02,9.06,-1.8,1.35,9.81
69.2,-0.93,8.45,-1.79,1.32,9.81
69.2,-0.93,8.45,-1.79,1.32,9.81
68.78,-0.15,7.72,-2.0,1.36,9.81
68.38,0.37,6.6,-2.35,1.36,9.81
68.38,0.37,6.6,-2.35,1.36,9.81
68.03,0.74,5.08,-2.69,1.18,9.81
68.03,0.74,5.08,-2.69,1.18,9.81
67.72,1.06,3.35,-3.03,0.9,9.81
67.46,1.38,1.55,-3.42,0.62,9.81
67.46,1.38,1.55,-3.42,0.62,9.81
67.23,1.79,-0.23,-3.83,0.34,9.8
67.23,1.79,-0.23,-3.83,0.34,9.8
67.08,2.3,-2.05,-4.21,0.02,9.42
67.08,2.3,-2.05,-4.21,0.02,9.42
67.03,2.91,-3.81,-4.44,-0.31,8.7
67.11,3.63,-5.21,-4.44,-0.62,7.96
67.11,3.63,-5.21,-4.44,-0.62,7.96
67.31,4.37,-6.1,-4.37,-0.82,7.58
67.58,5.09,-6.7,-4.27,-0.9,7.56
67.58,5.09,-6.7,-4.27,-0.9,7.56
67.95,5.8,-7.29,-4.11,-0.88,7.66
67.95,5.8,-7.29,-4.11,-0.88,7.66
68.39,6.48,-8.04,-3.86,-0.85,7.66
68.39,6.48,-8.04,-3.86,-0.85,7.66
68.85,7.09,-9.02,-3.62,-0.85,7.44
68.85,7.09,-9.02,-3.62,-0.85,7.44
69.35,7.54,-10.12,-3.45,-0.87,7.07
69.91,7.85,-11.22,-3.32,-0.91,6.66
69.91,7.85,-11.22,-3.32,-0.91,6.66
70.51,8.04,-12.25,-3.22,-0.94,6.32
71.15,8.17,-13.22,-3.15,-0.96,5.96
71.15,8.17,-13.22,-3.15,-0.96,5.96
71.81,8.25,-14.17,-3.17,-1.04,5.54
71.81,8.25,-14.17,-3.17,-1.04,5.54
72.5,8.39,-15.01,-3.16,-1.15,5.07
72.5,8.39,-15.01,-3.16,-1.15,5.07
73.24,8.68,-15.64,-3.09,-1.21,4.6
74.01,9.1,-15.97,-2.92,-1.21,4.23
74.01,9.1,-15.97,-2.92,-1.21,4.23
74.85,9.6,-16.08,-2.67,-1.13,3.97
75.75,10.08,-16.03,-2.38,-1.0,3.8
75.75,10.08,-16.03,-2.38,-1.0,3.8
76.69,10.47,-15.85,-2.08,-0.84,3.7
76.69,10.47,-15.85,-2.08,-0.84,3.7
77.71,10.68,-15.62,-1.81,-0.67,3.65
78.81,10.68,-15.38,-1.65,-0.54,3.65
78.81,10.68,-15.38,-1.65,-0.54,3.65
80.0,10.51,-15.12,-1.52,-0.4,3.63
80.0,10.51,-15.12,-1.52,-0.4,3.63
81.27,10.26,-14.83,-1.37,-0.25,3.58
81.27,10.26,-14.83,-1.37,-0.25,3.58
82.59,9.95,-14.46,-1.15,-0.09,3.5
82.59,9.95,-14.46,-1.15,-0.09,3.5
83.92,9.57,-13.98,-0.94,0.08,3.43
85.22,9.08,-13.32,-0.75,0.26,3.45
85.22,9.08,-13.32,-0.75,0.26,3.45
86.48,8.47,-12.57,-0.61,0.43,3.54
