yaw,pitch,roll,accelx,accely,accelz
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
-147.94,-0.91,27.98,-4.01,1.85,9.21
-147.12,-0.9,25.9,-3.44,0.63,8.48
-147.12,-0.9,25.9,-3.44,0.63,8.48
-146.49,-0.51,24.22,-3.1,-0.14,7.65
-146.49,-0.51,24.22,-3.1,-0.14,7.65
-145.95,-0.31,23.2,-3.2,-0.21,7.11
-145.95,-0.31,23.2,-3.2,-0.21,7.11
-145.29,0.11,22.49,-2.86,-0.42,6.96
-145.29,0.11,22.49,-2.86,-0.42,6.96
-144.62,0.96,21.86,-2.39,-0.61,7.04
-144.01,1.83,21.32,-2.11,-0.57,7.16
-144.01,1.83,21.32,-2.11,-0.57,7.16
-143.41,2.8,20.72,-1.95,-0.53,7.23
-142.81,3.67,20.07,-2.24,-0.66,7.37
-142.81,3.67,20.07,-2.24,-0.66,7.37
-142.05,4.24,19.3,-2.67,-0.8,7.53
-140.98,4.53,18.24,-2.94,-0.92,7.62
-140.98,4.53,18.24,-2.94,-0.92,7.62
-139.7,4.38,16.93,-2.99,-1.08,7.33
-139.7,4.38,16.93,-2.99,-1.08,7.33
-138.26,3.83,15.43,-2.77,-1.21,6.72
-138.26,3.83,15.43,-2.77,-1.21,6.72
-136.81,3.17,14.02,-2.28,-1.34,5.92
-135.49,2.51,12.94,-1.77,-1.43,5.28
-135.49,2.51,12.94,-1.77,-1.43,5.28
-134.39,2.02,12.27,-1.44,-1.43,4.99
-134.39,2.02,12.27,-1.44,-1.43,4.99
-133.48,1.74,11.93,-1.33,-1.34,5.03
-132.72,1.7,11.73,-1.36,-1.28,5.27
-132.72,1.7,11.73,-1.36,-1.28,5.27
-132.0,1.75,11.55,-1.62,-1.29,5.54
-132.0,1.75,11.55,-1.62,-1.29,5.54
-131.18,1.74,11.32,-1.95,-1.26,5.76
-131.18,1.74,11.32,-1.95,-1.26,5.76
-130.19,1.59,11.02,-2.1,-1.2,5.86
-129.04,1.23,10.63,-2.06,-1.12,5.8
-129.04,1.23,10.63,-2.06,-1.12,5.8
-127.78,0.66,10.23,-1.85,-0.94,5.63
-127.78,0.66,10.23,-1.85,-0.94,5.63
-125.35,-0.8,9.68,-1.1,-0.59,5.29
-124.32,-1.63,9.51,-1.0,-0.5,5.13
-123.35,-2.49,9.46,-1.09,-0.43,4.98
-123.35,-2.49,9.46,-1.09,-0.43,4.98
-122.37,-3.3,9.61,-1.18,-0.36,4.93
-122.37,-3.3,9.61,-1.18,-0.36,4.93
-121.34,-4.03,9.9,-1.25,-0.27,5.01
-121.34,-4.03,9.9,-1.25,-0.27,5.01
-120.22,-4.81,10.25,-1.32,-0.09,5.13
