yaw,pitch,roll,accelx,accely,accelz
-90.19,-6.05,-8.15,-2.83,4.83,9.58
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
-89.6,-5.28,-8.41,-1.21,3.05,7.69
-89.6,-5.28,-8.41,-1.21,3.05,7.69
-90.48,-5.02,-7.22,-0.2,1.82,6.62
-90.48,-5.02,-7.22,-0.2,1.82,6.62
-91.42,-4.69,-5.92,0.5,1.05,5.97
-92.44,-4.32,-4.59,0.91,0.62,5.6
-92.44,-4.32,-4.59,0.91,0.62,5.6
-93.51,-3.91,-3.18,1.13,0.37,5.44
-93.51,-3.91,-3.18,1.13,0.37,5.44
-94.6,-3.46,-1.8,1.25,0.22,5.37
-94.6,-3.46,-1.8,1.25,0.22,5.37
-95.72,-2.97,-0.57,1.32,0.13,5.34
-96.83,-2.51,0.52,1.38,0.06,5.31
-96.83,-2.51,0.52,1.38,0.06,5.31
-97.99,-2.06,1.72,1.44,0.07,5.11
-97.99,-2.06,1.72,1.44,0.07,5.11
-99.17,-1.69,3.0,1.46,0.15,4.94
-99.17,-1.69,3.0,1.46,0.15,4.94
-100.41,-1.4,4.43,1.35,0.32,4.81
-101.67,-1.15,6.05,1.18,0.57,4.76
-101.67,-1.15,6.05,1.18,0.57,4.76
-102.97,-0.87,7.81,0.95,0.86,4.81
-104.29,-0.49,9.68,0.72,1.15,4.95
-104.29,-0.49,9.68,0.72,1.15,4.95
-105.59,0.03,11.58,0.53,1.43,5.05
-105.59,0.03,11.58,0.53,1.43,5.05
-106.88,0.71,13.56,0.39,1.7,5.13
-106.88,0.71,13.56,0.39,1.7,5.13
-108.17,1.46,15.69,0.29,1.98,5.23
-108.17,1.46,15.69,0.29,1.98,5.23
-109.46,2.23,17.96,0.17,2.32,5.35
-110.81,2.99,20.36,0.05,2.73,5.49
-110.81,2.99,20.36,0.05,2.73,5.49
-112.26,3.69,22.95,-0.07,3.14,5.72
-112.26,3.69,22.95,-0.07,3.14,5.72
-113.84,4.36,25.66,-0.2,3.47,6.04
-113.84,4.36,25.66,-0.2,3.47,6.04
-115.53,5.02,28.35,-0.32,3.7,6.41
-117.34,5.6,31.03,-0.45,3.92,6.77
-117.34,5.6,31.03,-0.45,3.92,6.77
-119.31,6.06,33.74,-0.64,4.24,7.11
-119.31,6.06,33.74,-0.64,4.24,7.11
-121.47,6.42,36.56,-0.87,4.74,7.43
-121.47,6.42,36.56,-0.87,4.74,7.43
-123.88,6.72,39.48,-1.11,5.29,7.75
-126.6,7.02,42.54,-1.29,5.75,8.17
-126.6,7.02,42.54,-1.29,5.75,8.17
-129.62,7.49,45.66,-1.34,6.03,8.6
-129.62,7.49,45.66,-1.34,6.03,8.6
-132.94,8.14,48.73,-1.3,6.12,8.92
-136.54,8.87,51.64,-1.26,6.15,9.16
-136.54,8.87,51.64,-1.26,6.15,9.16
-140.57,9.51,54.46,-1.35,6.32,9.33
-140.57,9.51,54.46,-1.35,6.32,9.33
-145.23,9.93,57.35,-1.66,6.67,9.46
-145.23,9.93,57.35,-1.66,6.67,9.46
-150.42,10.1,60.32,-2.16,7.11,9.55
-155.66,10.07,63.13,-2.72,7.49,9.62
-155.66,10.07,63.13,-2.72,7.49,9.62
-160.46,9.96,65.59,-3.29,7.77,9.67
-160.46,9.96,65.59,-3.29,7.77,9.67
