yaw,pitch,roll,accelx,accely,accelz
-0.66,-0.15,0.11,0.0,-0.0,9.79
-180.0,-180.0,180.0,0.0,0.0,-0.0
-180.0,-180.0,180.0,0.0,0.0,-0.0
-0.66,-0.15,0.11,0.01,-0.0,9.79
-0.66,-0.15,0.11,0.01,-0.0,9.79
-0.66,-0.15,0.11,-0.01,-0.03,9.79
-0.66,-0.15,0.11,-0.01,-0.03,9.79
-0.66,-0.15,0.11,-0.0,-0.01,9.79
-0.66,-0.15,0.1,-0.01,-0.0,9.78
-0.66,-0.15,0.1,-0.01,-0.0,9.78
-0.66,-0.15,0.1,-0.01,-0.01,9.78
-0.66,-0.15,0.1,-0.01,-0.01,9.78
-0.67,-0.15,0.11,-0.01,-0.01,9.78
-0.67,-0.15,0.11,-0.01,-0.01,9.78
-0.67,-0.15,0.1,-0.01,-0.01,9.78
-0.67,-0.15,0.1,-0.01,-0.01,9.78
-0.67,-0.15,0.1,-0.01,-0.01,9.78
-0.67,-0.15,0.1,-0.01,-0.01,9.78
-0.67,-0.14,0.1,-0.01,-0.0,9.79
-0.67,-0.14,0.1,-0.01,-0.0,9.79
-0.68,-0.14,0.1,-0.01,-0.0,9.79
-0.68,-0.14,0.1,-0.01,-0.0,9.79
-0.68,-0.13,0.1,-0.01,-0.01,9.79
-0.68,-0.13,0.1,-0.01,-0.01,9.78
-0.68,-0.13,0.1,-0.01,-0.01,9.78
-0.68,-0.12,0.1,-0.01,-0.01,9.78
-0.68,-0.12,0.1,-0.01,-0.01,9.78
-0.68,-0.12,0.1,-0.01,-0.01,9.79
-0.68,-0.12,0.1,-0.01,-0.01,9.79
-0.69,-0.11,0.1,-0.01,-0.01,9.79
-0.69,-0.11,0.1,-0.01,-0.01,9.79
-0.68,-0.11,0.1,0.01,0.06,9.78
-0.68,-0.1,0.15,0.01,0.06,9.72
-0.68,-0.1,0.15,0.01,0.06,9.72
-0.68,-0.09,0.13,0.02,0.02,9.74
-0.68,-0.09,0.13,0.02,0.02,9.74
-0.68,-0.1,0.12,-0.01,0.0,9.76
-0.68,-0.09,0.12,0.01,0.01,9.77
-0.68,-0.09,0.12,0.01,0.01,9.77
-0.69,-0.1,0.13,-0.01,0.01,9.76
-0.69,-0.1,0.13,-0.01,0.01,9.76
-0.69,-0.1,0.13,-0.0,0.01,9.77
-0.69,-0.1,0.13,-0.0,0.01,9.77
-0.69,-0.1,0.12,-0.01,0.01,9.77
-0.69,-0.1,0.12,-0.01,0.0,9.78
-0.69,-0.1,0.12,-0.01,0.0,9.78
-0.69,-0.1,0.12,-0.0,0.0,9.78
-0.69,-0.1,0.12,-0.0,0.0,9.78
-0.69,-0.1,0.12,-0.0,0.0,9.79
-0.69,-0.1,0.12,-0.0,0.0,9.79
-0.69,-0.1,0.12,-0.0,0.0,9.79
-0.69,-0.1,0.12,-0.0,-0.0,9.78
-0.69,-0.1,0.11,-0.0,0.0,9.78
-0.69,-0.1,0.11,-0.0,0.0,9.78
-0.69,-0.1,0.12,-0.01,0.0,9.78
-0.69,-0.1,0.12,-0.01,0.0,9.78
-0.69,-0.11,0.12,-0.0,0.0,9.78
-0.69,-0.11,0.12,-0.0,0.0,9.78
-0.69,-0.1,0.12,-0.0,-0.0,9.78
-0.69,-0.1,0.12,-0.0,-0.0,9.78
-0.69,-0.11,0.12,0.0,-0.0,9.79
-0.69,-0.1,0.11,0.0,-0.0,9.79
-0.69,-0.1,0.11,0.0,-0.0,9.79
-0.69,-0.1,0.11,0.0,0.0,9.78
-0.69,-0.1,0.11,0.0,0.0,9.77
-0.69,-0.1,0.11,0.0,0.0,9.77
-0.69,-0.1,0.11,-0.0,-0.0,9.77
-0.69,-0.1,0.11,-0.0,-0.0,9.77
-0.69,-0.1,0.11,0.0,-0.0,9.78
-0.69,-0.1,0.11,0.0,-0.0,9.78
-0.69,-0.1,0.11,-0.0,-0.0,9.77
-0.69,-0.11,0.11,-0.0,0.0,9.78
-0.69,-0.11,0.11,-0.0,0.0,9.78
-0.69,-0.11,0.11,-0.0,0.0,9.78
-0.69,-0.11,0.11,-0.0,0.0,9.78
-0.69,-0.11,0.11,-0.0,-0.0,9.78
-0.69,-0.11,0.11,-0.0,-0.0,9.78
-0.7,-0.11,0.11,-0.01,-0.0,9.78
-0.7,-0.11,0.11,-0.01,-0.0,9.78
-0.7,-0.11,0.11,-0.01,-0.0,9.78
-0.7,-0.11,0.11,-0.01,-0.0,9.77
-0.7,-0.11,0.11,-0.01,-0.0,9.77
-0.7,-0.11,0.11,-0.0,0.0,9.77
-0.7,-0.11,0.11,-0.0,-0.0,9.77
-0.7,-0.11,0.11,-0.0,-0.0,9.77
-0.7,-0.11,0.11,0.0,0.0,9.78
-0.7,-0.11,0.11,0.01,0.0,9.78
-0.7,-0.11,0.11,0.01,0.0,9.78
-0.7,-0.11,0.11,0.0,0.0,9.78
-0.7,-0.11,0.11,0.0,0.0,9.78
-0.7,-0.11,0.11,0.0,0.01,9.78
-0.7,-0.11,0.11,0.0,0.01,9.78
