yaw,pitch,roll,accelx,accely,accelz
74.11,7.42,-2.63,1.35,-0.02,6.44
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
74.33,6.53,0.12,1.0,0.46,7.75
74.19,5.99,0.42,0.63,0.76,8.18
74.19,5.99,0.42,0.63,0.76,8.18
74.05,5.52,0.77,0.37,1.02,8.56
74.05,5.52,0.77,0.37,1.02,8.56
73.91,5.05,1.13,0.2,1.22,8.88
73.91,5.05,1.13,0.2,1.22,8.88
73.8,4.52,1.43,0.12,1.35,9.13
73.8,4.52,1.43,0.12,1.35,9.13
73.69,3.93,1.66,0.11,1.42,9.31
73.59,3.29,1.83,0.13,1.45,9.37
73.59,3.29,1.83,0.13,1.45,9.37
73.5,2.67,2.01,0.2,1.46,9.32
73.38,2.12,2.29,0.26,1.44,9.32
73.38,2.12,2.29,0.26,1.44,9.32
73.23,1.69,2.67,0.3,1.45,9.42
73.23,1.69,2.67,0.3,1.45,9.42
73.06,1.37,3.05,0.33,1.48,9.52
73.06,1.37,3.05,0.33,1.48,9.52
72.89,1.24,3.44,0.39,1.62,9.6
72.89,1.24,3.44,0.39,1.62,9.6
72.77,1.15,3.77,0.49,1.82,9.65
72.77,1.15,3.77,0.49,1.82,9.65
72.71,1.12,3.98,0.65,2.0,9.69
72.7,1.16,3.9,0.88,2.1,9.72
72.7,1.16,3.9,0.88,2.1,9.72
72.71,1.26,3.58,1.12,2.08,9.75
72.69,1.48,3.07,1.34,1.95,9.76
72.69,1.48,3.07,1.34,1.95,9.76
72.64,1.85,2.45,1.53,1.75,9.6
72.64,1.85,2.45,1.53,1.75,9.6
72.53,2.39,1.87,1.73,1.56,9.33
72.53,2.39,1.87,1.73,1.56,9.33
72.36,3.08,1.45,1.96,1.41,9.09
72.36,3.08,1.45,1.96,1.41,9.09
72.14,3.87,1.24,2.2,1.32,9.0
71.87,4.66,1.17,2.44,1.31,9.04
71.87,4.66,1.17,2.44,1.31,9.04
71.58,5.34,1.21,2.67,1.37,9.17
71.58,5.34,1.21,2.67,1.37,9.17
71.25,5.88,1.3,2.88,1.44,9.34
71.25,5.88,1.3,2.88,1.44,9.34
70.89,6.31,1.41,3.08,1.51,9.46
70.89,6.31,1.41,3.08,1.51,9.46
70.46,6.69,1.49,3.26,1.59,9.55
70.46,6.69,1.49,3.26,1.59,9.55
69.95,7.1,1.52,3.44,1.68,9.62
69.34,7.56,1.47,3.63,1.79,9.67
69.34,7.56,1.47,3.63,1.79,9.67
68.62,8.1,1.32,3.81,1.9,9.71
68.62,8.1,1.32,3.81,1.9,9.71
67.77,8.65,1.08,3.97,2.01,9.73
67.77,8.65,1.08,3.97,2.01,9.73
66.78,9.17,0.8,4.08,2.13,9.67
66.78,9.17,0.8,4.08,2.13,9.67
65.63,9.6,0.53,4.1,2.26,9.52
64.35,9.89,0.32,4.05,2.39,9.35
64.35,9.89,0.32,4.05,2.39,9.35
62.94,10.0,0.2,3.9,2.55,9.18
61.4,9.92,0.18,3.67,2.73,9.06
61.4,9.92,0.18,3.67,2.73,9.06
59.77,9.67,0.25,3.39,2.93,8.98
58.04,9.26,0.38,3.08,3.14,8.93
58.04,9.26,0.38,3.08,3.14,8.93
56.24,8.73,0.59,2.71,3.36,8.92
56.24,8.73,0.59,2.71,3.36,8.92
54.36,8.09,0.85,2.26,3.6,8.96
54.36,8.09,0.85,2.26,3.6,8.96
52.41,7.41,1.16,1.7,3.83,9.06
52.41,7.41,1.16,1.7,3.83,9.06
50.46,6.66,1.49,1.08,4.04,9.19
48.54,5.93,1.78,0.49,4.21,9.33
48.54,5.93,1.78,0.49,4.21,9.33
46.7,5.21,2.02,-0.0,4.32,9.43
46.7,5.21,2.02,-0.0,4.32,9.43
44.94,4.52,2.21,-0.39,4.4,9.46
43.24,3.86,2.4,-0.63,4.45,9.46
43.24,3.86,2.4,-0.63,4.45,9.46
41.59,3.2,2.62,-0.78,4.46,9.44
41.59,3.2,2.62,-0.78,4.46,9.44
39.97,2.51,2.84,-0.89,4.44,9.44
39.97,2.51,2.84,-0.89,4.44,9.44
38.37,1.75,3.04,-1.03,4.39,9.47
36.79,0.93,3.19,-1.22,4.29,9.48
36.79,0.93,3.19,-1.22,4.29,9.48
35.23,0.07,3.25,-1.45,4.17,9.4
33.7,-0.8,3.28,-1.69,4.05,9.24
32.2,-1.66,3.38,-1.92,3.96,9.06
30.73,-2.53,3.62,-2.14,3.92,8.97
30.73,-2.53,3.62,-2.14,3.92,8.97
29.32,-3.44,4.0,-2.37,3.88,9.0
29.32,-3.44,4.0,-2.37,3.88,9.0
27.96,-4.45,4.44,-2.65,3.84,9.13
26.69,-5.54,4.88,-2.98,3.81,9.3
25.48,-6.69,5.3,-3.36,3.78,9.44
25.48,-6.69,5.3,-3.36,3.78,9.44
24.35,-7.82,5.69,-3.73,3.75,9.54
24.35,-7.82,5.69,-3.73,3.75,9.54
23.3,-8.89,6.09,-4.1,3.72,9.61
23.3,-8.89,6.09,-4.1,3.72,9.61
22.32,-9.85,6.47,-4.45,3.7,9.66
22.32,-9.85,6.47,-4.45,3.7,9.66
21.42,-10.73,6.84,-4.81,3.66,9.7
20.61,-11.55,7.18,-5.16,3.57,9.73
20.61,-11.55,7.18,-5.16,3.57,9.73
19.93,-12.35,7.4,-5.5,3.45,9.75
19.93,-12.35,7.4,-5.5,3.45,9.75
19.37,-13.14,7.52,-5.78,3.4,9.76
19.37,-13.14,7.52,-5.78,3.4,9.76
18.96,-13.94,7.61,-5.95,3.41,9.77
18.72,-14.75,7.72,-6.02,3.47,9.78
18.72,-14.75,7.72,-6.02,3.47,9.78
18.63,-15.57,7.84,-6.0,3.57,9.79
18.63,-15.57,7.84,-6.0,3.57,9.79
18.65,-16.42,7.84,-5.89,3.7,9.79
18.74,-17.3,7.62,-5.75,3.84,9.8
18.74,-17.3,7.62,-5.75,3.84,9.8
18.88,-18.17,7.11,-5.61,3.93,9.8
18.88,-18.17,7.11,-5.61,3.93,9.8
19.01,-18.96,6.35,-5.46,3.98,9.8
19.01,-18.96,6.35,-5.46,3.98,9.8
19.12,-19.61,5.35,-5.3,3.99,9.8
19.12,-19.61,5.35,-5.3,3.99,9.8
19.21,-20.12,4.19,-5.13,4.0,9.8
19.32,-20.52,2.94,-4.93,3.98,9.8
19.32,-20.52,2.94,-4.93,3.98,9.8
19.51,-20.9,1.65,-4.67,3.92,9.8
19.51,-20.9,1.65,-4.67,3.92,9.8
19.76,-21.27,0.31,-4.35,3.85,9.8
19.76,-21.27,0.31,-4.35,3.85,9.8
20.04,-21.62,-1.13,-3.99,3.78,9.81
20.33,-21.95,-2.65,-3.62,3.69,9.81
20.33,-21.95,-2.65,-3.62,3.69,9.81
20.6,-22.22,-4.18,-3.26,3.61,9.81
20.6,-22.22,-4.18,-3.26,3.61,9.81
20.87,-22.41,-5.7,-2.92,3.51,9.81
20.87,-22.41,-5.7,-2.92,3.51,9.81
21.12,-22.53,-7.19,-2.57,3.42,9.81
21.33,-22.59,-8.66,-2.25,3.32,9.79
21.33,-22.59,-8.66,-2.25,3.32,9.79
21.5,-22.6,-10.16,-1.98,3.2,9.72
21.5,-22.6,-10.16,-1.98,3.2,9.72
21.61,-22.58,-11.71,-1.73,3.06,9.57
21.61,-22.58,-11.71,-1.73,3.06,9.57
21.65,-22.56,-13.29,-1.53,2.91,9.32
21.7,-22.57,-14.9,-1.37,2.75,9.0
21.7,-22.57,-14.9,-1.37,2.75,9.0
21.75,-22.62,-16.46,-1.23,2.56,8.67
21.75,-22.62,-16.46,-1.23,2.56,8.67
21.85,-22.69,-17.99,-1.09,2.33,8.38
21.85,-22.69,-17.99,-1.09,2.33,8.38
21.93,-22.72,-19.5,-0.93,2.12,8.09
21.97,-22.73,-21.01,-0.77,1.93,7.8
21.97,-22.73,-21.01,-0.77,1.93,7.8
21.95,-22.7,-22.51,-0.65,1.74,7.48
21.87,-22.65,-23.97,-0.6,1.51,7.15
21.87,-22.65,-23.97,-0.6,1.51,7.15
21.7,-22.55,-25.44,-0.61,1.25,6.8
21.7,-22.55,-25.44,-0.61,1.25,6.8
21.47,-22.42,-26.88,-0.69,0.98,6.41
21.47,-22.42,-26.88,-0.69,0.98,6.41
21.18,-22.25,-28.29,-0.81,0.69,6.0
21.18,-22.25,-28.29,-0.81,0.69,6.0
20.91,-22.05,-29.59,-0.96,0.36,5.63
20.72,-21.82,-30.75,-1.12,0.03,5.33
20.72,-21.82,-30.75,-1.12,0.03,5.33
20.61,-21.58,-31.77,-1.24,-0.29,5.1
20.61,-21.58,-31.77,-1.24,-0.29,5.1
20.59,-21.31,-32.67,-1.31,-0.57,4.91
20.59,-21.31,-32.67,-1.31,-0.57,4.91
20.66,-21.02,-33.41,-1.34,-0.8,4.79
20.83,-20.73,-33.97,-1.35,-1.04,4.77
20.83,-20.73,-33.97,-1.35,-1.04,4.77
21.08,-20.45,-34.37,-1.35,-1.24,4.83
21.08,-20.45,-34.37,-1.35,-1.24,4.83
21.39,-20.21,-34.62,-1.39,-1.38,4.98
21.39,-20.21,-34.62,-1.39,-1.38,4.98
21.73,-20.03,-34.7,-1.53,-1.46,5.2
22.12,-19.87,-34.6,-1.74,-1.45,5.49
22.12,-19.87,-34.6,-1.74,-1.45,5.49
22.6,-19.77,-34.37,-2.0,-1.36,5.88
22.6,-19.77,-34.37,-2.0,-1.36,5.88
23.21,-19.71,-34.05,-2.24,-1.26,6.33
23.21,-19.71,-34.05,-2.24,-1.26,6.33
23.93,-19.71,-33.75,-2.46,-1.18,6.8
24.69,-19.72,-33.53,-2.63,-1.13,7.21
24.69,-19.72,-33.53,-2.63,-1.13,7.21
25.47,-19.74,-33.43,-2.74,-1.07,7.49
26.27,-19.72,-33.38,-2.78,-1.03,7.67
26.27,-19.72,-33.38,-2.78,-1.03,7.67
27.06,-19.68,-33.38,-2.8,-1.07,7.78
27.06,-19.68,-33.38,-2.8,-1.07,7.78
27.84,-19.58,-33.4,-2.78,-1.12,7.82
27.84,-19.58,-33.4,-2.78,-1.12,7.82
28.6,-19.44,-33.42,-2.75,-1.18,7.81
28.6,-19.44,-33.42,-2.75,-1.18,7.81
29.32,-19.24,-33.41,-2.72,-1.22,7.78
30.03,-18.97,-33.33,-2.67,-1.2,7.75
30.75,-18.66,-33.17,-2.66,-1.13,7.75
30.75,-18.66,-33.17,-2.66,-1.13,7.75
31.56,-18.39,-32.91,-2.69,-1.06,7.87
31.56,-18.39,-32.91,-2.69,-1.06,7.87
32.47,-18.12,-32.62,-2.72,-1.01,8.07
32.47,-18.12,-32.62,-2.72,-1.01,8.07
33.44,-17.87,-32.39,-2.71,-0.94,8.26
33.44,-17.87,-32.39,-2.71,-0.94,8.26
