yaw,pitch,roll,accelx,accely,accelz
-63.6,2.18,22.47,1.73,2.36,9.81
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
-64.41,2.07,21.9,1.95,2.0,9.69
-64.41,2.07,21.9,1.95,2.0,9.69
-64.64,1.77,21.79,2.14,1.84,9.65
-64.64,1.77,21.79,2.14,1.84,9.65
-64.97,1.52,21.71,2.23,1.76,9.69
-64.97,1.52,21.71,2.23,1.76,9.69
-65.37,1.29,21.64,2.2,1.75,9.72
-65.83,1.05,21.49,2.05,1.82,9.74
-65.83,1.05,21.49,2.05,1.82,9.74
-66.29,0.76,21.17,1.87,1.9,9.76
-66.29,0.76,21.17,1.87,1.9,9.76
-66.69,0.48,20.73,1.76,1.95,9.74
-67.03,0.33,20.31,1.78,1.95,9.62
-67.03,0.33,20.31,1.78,1.95,9.62
-67.29,0.36,19.93,1.92,1.93,9.49
-67.29,0.36,19.93,1.92,1.93,9.49
-67.53,0.57,19.55,2.13,1.89,9.35
-67.79,0.9,19.15,2.36,1.78,9.19
-67.79,0.9,19.15,2.36,1.78,9.19
-68.1,1.34,18.74,2.63,1.64,9.0
-68.1,1.34,18.74,2.63,1.64,9.0
-68.49,1.88,18.35,2.87,1.57,8.67
-68.49,1.88,18.35,2.87,1.57,8.67
-68.96,2.57,18.1,3.06,1.5,8.47
-68.96,2.57,18.1,3.06,1.5,8.47
-69.56,3.29,18.01,3.1,1.48,8.46
-70.26,4.04,18.05,3.0,1.54,8.6
-70.26,4.04,18.05,3.0,1.54,8.6
-71.05,4.75,18.16,2.78,1.68,8.79
-71.05,4.75,18.16,2.78,1.68,8.79
-71.87,5.34,18.35,2.47,1.86,9.04
-71.87,5.34,18.35,2.47,1.86,9.04
-72.73,5.74,18.59,2.17,2.06,9.24
-73.59,5.92,18.83,1.91,2.28,9.39
-73.59,5.92,18.83,1.91,2.28,9.39
-74.5,5.91,18.98,1.65,2.45,9.5
-74.5,5.91,18.98,1.65,2.45,9.5
-75.46,5.78,18.98,1.37,2.57,9.58
-75.46,5.78,18.98,1.37,2.57,9.58
-76.45,5.67,18.8,1.04,2.64,9.64
-76.45,5.67,18.8,1.04,2.64,9.64
-77.47,5.63,18.49,0.66,2.64,9.69
-78.49,5.71,18.11,0.24,2.6,9.71
-78.49,5.71,18.11,0.24,2.6,9.71
-79.51,5.88,17.67,-0.21,2.52,9.64
-79.51,5.88,17.67,-0.21,2.52,9.64
-80.48,6.06,17.29,-0.67,2.45,9.51
-81.4,6.14,17.04,-1.09,2.4,9.43
-81.4,6.14,17.04,-1.09,2.4,9.43
-82.25,6.06,16.92,-1.42,2.38,9.43
-82.25,6.06,16.92,-1.42,2.38,9.43
-83.03,5.79,16.86,-1.63,2.34,9.51
-83.76,5.36,16.81,-1.75,2.27,9.59
-83.76,5.36,16.81,-1.75,2.27,9.59
-84.45,4.85,16.72,-1.8,2.17,9.65
-84.45,4.85,16.72,-1.8,2.17,9.65
-85.13,4.36,16.54,-1.78,2.08,9.69
-85.13,4.36,16.54,-1.78,2.08,9.69
-85.79,3.94,16.31,-1.75,1.98,9.72
-85.79,3.94,16.31,-1.75,1.98,9.72
-86.48,3.63,16.03,-1.76,1.86,9.74
-87.18,3.43,15.72,-1.82,1.75,9.76
-87.18,3.43,15.72,-1.82,1.75,9.76
-87.87,3.25,15.39,-1.95,1.67,9.77
-88.56,3.02,15.11,-2.16,1.59,9.77
-88.56,3.02,15.11,-2.16,1.59,9.77
-89.19,2.71,14.9,-2.4,1.52,9.78
-89.19,2.71,14.9,-2.4,1.52,9.78
-89.76,2.29,14.77,-2.65,1.45,9.79
-89.76,2.29,14.77,-2.65,1.45,9.79
-90.23,1.81,14.73,-2.88,1.38,9.79
-90.58,1.36,14.77,-3.07,1.34,9.8
-90.58,1.36,14.77,-3.07,1.34,9.8
-90.81,1.0,14.86,-3.18,1.34,9.8
-90.81,1.0,14.86,-3.18,1.34,9.8
-90.87,0.79,14.95,-3.19,1.39,9.8
-90.87,0.79,14.95,-3.19,1.39,9.8
-90.82,0.74,15.05,-3.05,1.48,9.8
-90.67,0.83,15.15,-2.77,1.58,9.8
-90.67,0.83,15.15,-2.77,1.58,9.8
-90.44,1.03,15.16,-2.4,1.7,9.8
-90.44,1.03,15.16,-2.4,1.7,9.8
-90.22,1.24,14.98,-2.0,1.79,9.8
-90.22,1.24,14.98,-2.0,1.79,9.8
-90.0,1.43,14.58,-1.61,1.86,9.8
-89.82,1.59,14.07,-1.25,1.92,9.8
-89.82,1.59,14.07,-1.25,1.92,9.8
-89.68,1.73,13.51,-0.98,1.96,9.81
-89.68,1.73,13.51,-0.98,1.96,9.81
-89.58,1.84,12.88,-0.73,2.01,9.81
-89.5,1.89,12.23,-0.5,2.08,9.81
-89.5,1.89,12.23,-0.5,2.08,9.81
-89.48,1.86,11.55,-0.29,2.16,9.81
-89.48,1.86,11.55,-0.29,2.16,9.81
-89.5,1.7,10.79,-0.13,2.27,9.81
-89.5,1.7,10.79,-0.13,2.27,9.81
-89.57,1.39,9.91,-0.03,2.38,9.81
-89.57,1.39,9.91,-0.03,2.38,9.81
-89.65,0.93,8.95,-0.0,2.44,9.81
-89.74,0.35,7.89,-0.03,2.46,9.81
-89.74,0.35,7.89,-0.03,2.46,9.81
-89.84,-0.25,6.75,-0.09,2.46,9.81
-89.84,-0.25,6.75,-0.09,2.46,9.81
-89.93,-0.82,5.58,-0.17,2.43,9.81
-89.93,-0.82,5.58,-0.17,2.43,9.81
-90.04,-1.28,4.34,-0.26,2.36,9.81
-90.17,-1.6,3.06,-0.36,2.26,9.81
-90.17,-1.6,3.06,-0.36,2.26,9.81
-90.33,-1.77,1.78,-0.46,2.15,9.78
-90.33,-1.77,1.78,-0.46,2.15,9.78
-90.5,-1.85,0.55,-0.6,2.06,9.67
-90.5,-1.85,0.55,-0.6,2.06,9.67
-90.67,-1.92,-0.59,-0.79,1.99,9.52
-90.67,-1.92,-0.59,-0.79,1.99,9.52
-90.82,-2.04,-1.63,-1.03,1.91,9.38
-90.88,-2.24,-2.63,-1.27,1.83,9.25
-90.88,-2.24,-2.63,-1.27,1.83,9.25
-90.84,-2.5,-3.6,-1.48,1.75,9.09
-90.67,-2.79,-4.54,-1.61,1.65,8.91
-90.67,-2.79,-4.54,-1.61,1.65,8.91
-90.4,-3.04,-5.42,-1.68,1.54,8.72
-90.4,-3.04,-5.42,-1.68,1.54,8.72
-90.05,-3.23,-6.27,-1.66,1.43,8.52
-90.05,-3.23,-6.27,-1.66,1.43,8.52
-89.65,-3.28,-7.08,-1.54,1.33,8.33
-89.65,-3.28,-7.08,-1.54,1.33,8.33
-89.22,-3.24,-7.83,-1.34,1.24,8.17
-88.79,-3.11,-8.54,-1.1,1.12,8.05
-88.79,-3.11,-8.54,-1.1,1.12,8.05
-88.38,-2.96,-9.23,-0.85,0.98,7.97
-88.38,-2.96,-9.23,-0.85,0.98,7.97
-88.0,-2.8,-9.95,-0.63,0.82,7.86
-87.67,-2.65,-10.68,-0.46,0.65,7.72
-87.67,-2.65,-10.68,-0.46,0.65,7.72
-87.38,-2.55,-11.42,-0.36,0.49,7.54
-87.38,-2.55,-11.42,-0.36,0.49,7.54
-87.12,-2.47,-12.11,-0.3,0.36,7.36
-86.9,-2.42,-12.73,-0.28,0.23,7.17
-86.9,-2.42,-12.73,-0.28,0.23,7.17
-86.67,-2.45,-13.32,-0.29,0.1,7.02
-86.67,-2.45,-13.32,-0.29,0.1,7.02
-86.43,-2.52,-13.84,-0.31,-0.02,6.91
-86.18,-2.65,-14.33,-0.32,-0.14,6.82
-86.18,-2.65,-14.33,-0.32,-0.14,6.82
-85.91,-2.84,-14.84,-0.33,-0.24,6.72
-85.91,-2.84,-14.84,-0.33,-0.24,6.72
-85.64,-3.07,-15.35,-0.34,-0.36,6.59
-85.64,-3.07,-15.35,-0.34,-0.36,6.59
-85.39,-3.31,-15.84,-0.39,-0.48,6.45
-85.18,-3.53,-16.31,-0.45,-0.57,6.29
-85.01,-3.7,-16.7,-0.53,-0.66,6.14
-85.01,-3.7,-16.7,-0.53,-0.66,6.14
-84.85,-3.85,-17.03,-0.63,-0.76,6.03
-84.85,-3.85,-17.03,-0.63,-0.76,6.03
-84.71,-3.98,-17.29,-0.77,-0.88,5.98
-84.71,-3.98,-17.29,-0.77,-0.88,5.98
-84.57,-4.14,-17.48,-0.94,-1.02,5.99
-84.57,-4.14,-17.48,-0.94,-1.02,5.99
-84.41,-4.28,-17.64,-1.13,-1.15,6.05
-84.24,-4.41,-17.79,-1.33,-1.27,6.1
-84.24,-4.41,-17.79,-1.33,-1.27,6.1
-84.06,-4.51,-17.9,-1.54,-1.36,6.11
-83.86,-4.57,-17.91,-1.77,-1.43,6.16
-83.86,-4.57,-17.91,-1.77,-1.43,6.16
-83.63,-4.6,-17.76,-1.98,-1.43,6.27
-83.63,-4.6,-17.76,-1.98,-1.43,6.27
-83.36,-4.59,-17.46,-2.15,-1.38,6.44
-83.36,-4.59,-17.46,-2.15,-1.38,6.44
-82.98,-4.62,-17.04,-2.26,-1.27,6.67
-82.49,-4.72,-16.46,-2.34,-1.16,7.0
-82.49,-4.72,-16.46,-2.34,-1.16,7.0
-81.89,-4.88,-15.82,-2.4,-1.09,7.4
-81.89,-4.88,-15.82,-2.4,-1.09,7.4
-81.22,-5.09,-15.17,-2.44,-1.04,7.83
-80.49,-5.29,-14.52,-2.43,-0.98,8.24
-80.49,-5.29,-14.52,-2.43,-0.98,8.24
-79.71,-5.46,-13.9,-2.36,-0.91,8.6
-79.71,-5.46,-13.9,-2.36,-0.91,8.6
-78.91,-5.61,-13.33,-2.29,-0.84,8.91
-78.91,-5.61,-13.33,-2.29,-0.84,8.91
-78.14,-5.71,-12.76,-2.24,-0.76,9.15
-77.36,-5.75,-12.2,-2.17,-0.64,9.32
-77.36,-5.75,-12.2,-2.17,-0.64,9.32
-76.56,-5.75,-11.66,-2.07,-0.48,9.45
-76.56,-5.75,-11.66,-2.07,-0.48,9.45
-75.76,-5.73,-11.17,-1.93,-0.32,9.54
-75.76,-5.73,-11.17,-1.93,-0.32,9.54
-74.94,-5.73,-10.76,-1.79,-0.17,9.61
-74.06,-5.79,-10.44,-1.66,-0.05,9.67
-74.06,-5.79,-10.44,-1.66,-0.05,9.67
-73.16,-5.89,-10.19,-1.55,0.06,9.7
-73.16,-5.89,-10.19,-1.55,0.06,9.7
-72.22,-6.02,-10.06,-1.45,0.11,9.73
-71.24,-6.16,-10.0,-1.35,0.11,9.75
-71.24,-6.16,-10.0,-1.35,0.11,9.75
-70.25,-6.24,-10.03,-1.23,0.11,9.76
-70.25,-6.24,-10.03,-1.23,0.11,9.76
-69.24,-6.23,-10.06,-1.03,0.13,9.76
-69.24,-6.23,-10.06,-1.03,0.13,9.76
-68.23,-6.1,-10.05,-0.75,0.16,9.71
-68.23,-6.1,-10.05,-0.75,0.16,9.71
-67.21,-5.93,-9.99,-0.41,0.2,9.66
-66.19,-5.79,-9.88,-0.06,0.22,9.59
-66.19,-5.79,-9.88,-0.06,0.22,9.59
-65.16,-5.76,-9.73,0.26,0.21,9.57
-64.13,-5.83,-9.56,0.53,0.17,9.57
-64.13,-5.83,-9.56,0.53,0.17,9.57
