yaw,pitch,roll,accelx,accely,accelz
-38.98,1.68,17.95,-0.57,1.72,9.35
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
-38.71,1.37,18.45,-0.49,1.98,9.46
-38.71,1.37,18.45,-0.49,1.98,9.46
-38.8,1.05,18.94,-0.6,2.17,9.55
-38.8,1.05,18.94,-0.6,2.17,9.55
-38.96,0.9,19.36,-0.83,2.27,9.62
-38.96,0.9,19.36,-0.83,2.27,9.62
-39.14,0.85,19.65,-1.23,2.28,9.67
-39.14,0.85,19.65,-1.23,2.28,9.67
-39.27,0.82,19.77,-1.7,2.25,9.7
-39.32,0.69,19.68,-2.16,2.19,9.73
-39.32,0.69,19.68,-2.16,2.19,9.73
-39.21,0.39,19.37,-2.58,2.22,9.75
-39.21,0.39,19.37,-2.58,2.22,9.75
-38.96,-0.05,18.94,-2.8,2.38,9.77
-38.57,-0.68,18.34,-2.83,2.67,9.78
-38.57,-0.68,18.34,-2.83,2.67,9.78
-38.13,-1.37,17.47,-2.7,2.93,9.78
-37.69,-2.0,16.27,-2.46,3.13,9.79
-37.69,-2.0,16.27,-2.46,3.13,9.79
-37.28,-2.47,14.86,-2.15,3.31,9.79
-37.28,-2.47,14.86,-2.15,3.31,9.79
-36.9,-2.78,13.27,-1.85,3.29,9.8
-36.9,-2.78,13.27,-1.85,3.29,9.8
-36.53,-3.05,11.53,-1.66,3.24,9.8
-36.12,-3.27,9.85,-1.53,3.22,9.8
-36.12,-3.27,9.85,-1.53,3.22,9.8
-35.65,-3.46,8.37,-1.4,3.2,9.8
-35.65,-3.46,8.37,-1.4,3.2,9.8
-35.15,-3.65,7.03,-1.29,3.24,9.8
-35.15,-3.65,7.03,-1.29,3.24,9.8
-34.63,-3.88,5.79,-1.23,3.36,9.8
-34.11,-4.14,4.56,-1.18,3.53,9.8
-34.11,-4.14,4.56,-1.18,3.53,9.8
-33.55,-4.38,3.26,-1.16,3.73,9.8
-33.55,-4.38,3.26,-1.16,3.73,9.8
-33.0,-4.56,1.76,-1.2,3.91,9.81
-33.0,-4.56,1.76,-1.2,3.91,9.81
-32.42,-4.64,0.07,-1.25,4.07,9.81
-31.78,-4.61,-1.79,-1.27,4.15,9.81
-31.78,-4.61,-1.79,-1.27,4.15,9.81
-31.1,-4.45,-3.75,-1.25,4.18,9.81
-31.1,-4.45,-3.75,-1.25,4.18,9.81
-30.34,-4.19,-5.72,-1.22,4.23,9.81
-29.53,-3.83,-7.66,-1.15,4.31,9.81
-29.53,-3.83,-7.66,-1.15,4.31,9.81
-28.68,-3.35,-9.57,-1.03,4.36,9.81
-28.68,-3.35,-9.57,-1.03,4.36,9.81
-27.8,-2.74,-11.5,-0.88,4.38,9.77
-27.8,-2.74,-11.5,-0.88,4.38,9.77
-26.88,-2.03,-13.47,-0.68,4.33,9.57
-25.92,-1.25,-15.5,-0.47,4.25,9.21
-25.92,-1.25,-15.5,-0.47,4.25,9.21
-24.94,-0.43,-17.52,-0.31,4.08,8.76
-24.94,-0.43,-17.52,-0.31,4.08,8.76
-23.91,0.42,-19.64,-0.13,3.82,8.19
-23.91,0.42,-19.64,-0.13,3.82,8.19
-22.8,1.21,-21.8,0.08,3.56,7.5
-22.8,1.21,-21.8,0.08,3.56,7.5
-21.65,1.94,-23.82,0.32,3.28,6.87
-20.49,2.62,-25.62,0.55,3.06,6.42
-20.49,2.62,-25.62,0.55,3.06,6.42
-19.33,3.24,-27.27,0.77,2.95,6.09
-19.33,3.24,-27.27,0.77,2.95,6.09
-18.14,3.89,-28.97,1.09,2.83,5.72
-16.96,4.59,-30.73,1.5,2.6,5.27
-16.96,4.59,-30.73,1.5,2.6,5.27
-15.86,5.24,-32.4,1.9,2.3,4.81
-15.86,5.24,-32.4,1.9,2.3,4.81
-14.89,5.78,-33.96,2.17,2.0,4.38
-14.08,6.17,-35.44,2.31,1.71,3.99
-14.08,6.17,-35.44,2.31,1.71,3.99
-13.42,6.44,-36.78,2.34,1.44,3.66
-13.42,6.44,-36.78,2.34,1.44,3.66
-12.9,6.59,-37.99,2.3,1.16,3.45
-12.9,6.59,-37.99,2.3,1.16,3.45
-12.49,6.67,-39.13,2.21,0.88,3.3
-12.18,6.71,-40.21,2.11,0.64,3.18
-12.18,6.71,-40.21,2.11,0.64,3.18
-11.95,6.71,-41.27,2.02,0.4,3.06
-11.95,6.71,-41.27,2.02,0.4,3.06
