yaw,pitch,roll,accelx,accely,accelz
-21.36,-8.88,28.7,3.07,3.19,9.56
49.49,-37.72,12.6,0.0,0.0,-0.0
49.49,-37.72,12.6,0.0,0.0,-0.0
-20.63,-8.06,27.58,2.14,1.46,9.03
-20.63,-8.06,27.58,2.14,1.46,9.03
-20.46,-7.95,26.88,2.0,0.23,8.7
-20.46,-7.95,26.88,2.0,0.23,8.7
-20.42,-7.49,26.36,2.1,-0.61,8.54
-20.42,-7.49,26.36,2.1,-0.61,8.54
-20.51,-6.79,26.02,2.29,-1.11,8.6
-20.51,-6.79,26.02,2.29,-1.11,8.6
-20.7,-6.04,25.88,2.56,-1.35,8.84
-21.01,-5.35,25.77,2.78,-1.4,9.09
-21.01,-5.35,25.77,2.78,-1.4,9.09
-21.43,-4.84,25.66,2.85,-1.3,9.28
-21.43,-4.84,25.66,2.85,-1.3,9.28
-21.87,-4.58,25.44,2.8,-1.18,9.42
-22.33,-4.47,24.97,2.69,-1.14,9.48
-22.33,-4.47,24.97,2.69,-1.14,9.48
-22.84,-4.35,24.23,2.61,-1.21,9.28
-22.84,-4.35,24.23,2.61,-1.21,9.28
-23.37,-4.01,23.43,2.55,-1.37,8.85
-23.94,-3.22,22.67,2.6,-1.53,8.44
-23.94,-3.22,22.67,2.6,-1.53,8.44
-24.54,-2.06,21.91,2.77,-1.67,8.1
-24.54,-2.06,21.91,2.77,-1.67,8.1
-25.21,-0.63,21.1,3.01,-1.79,7.79
-25.21,-0.63,21.1,3.01,-1.79,7.79
-25.91,0.92,20.3,3.27,-1.87,7.42
-26.62,2.42,19.52,3.52,-2.02,7.05
-26.62,2.42,19.52,3.52,-2.02,7.05
-27.32,3.8,18.82,3.74,-2.23,6.68
-27.32,3.8,18.82,3.74,-2.23,6.68
-28.02,5.07,18.24,3.94,-2.48,6.32
-28.02,5.07,18.24,3.94,-2.48,6.32
-28.75,6.33,17.84,4.12,-2.66,6.0
-29.58,7.67,17.69,4.32,-2.75,5.8
-29.58,7.67,17.69,4.32,-2.75,5.8
-30.51,9.08,17.81,4.5,-2.74,5.77
-31.55,10.55,18.08,4.67,-2.64,5.9
-31.55,10.55,18.08,4.67,-2.64,5.9
-32.71,12.01,18.44,4.78,-2.43,6.09
-32.71,12.01,18.44,4.78,-2.43,6.09
-33.96,13.44,18.89,4.83,-2.14,6.32
-33.96,13.44,18.89,4.83,-2.14,6.32
-35.3,14.79,19.45,4.8,-1.8,6.59
-36.7,16.09,20.04,4.65,-1.48,6.91
-36.7,16.09,20.04,4.65,-1.48,6.91
-38.16,17.37,20.61,4.42,-1.16,7.22
-38.16,17.37,20.61,4.42,-1.16,7.22
-39.7,18.78,21.16,4.15,-0.84,7.5
-41.34,20.39,21.68,3.84,-0.52,7.75
-41.34,20.39,21.68,3.84,-0.52,7.75
-43.1,22.3,22.18,3.5,-0.19,8.06
-45.0,24.5,22.67,3.07,0.14,8.46
-45.0,24.5,22.67,3.07,0.14,8.46
-46.93,26.86,23.11,2.54,0.51,8.82
-46.93,26.86,23.11,2.54,0.51,8.82
-48.79,29.23,23.46,2.0,0.85,9.08
-50.45,31.44,23.79,1.5,1.11,9.27
-50.45,31.44,23.79,1.5,1.11,9.27
-51.86,33.37,24.22,1.12,1.3,9.41
-51.86,33.37,24.22,1.12,1.3,9.41
-53.05,35.03,24.71,0.93,1.41,9.52
-53.05,35.03,24.71,0.93,1.41,9.52
-54.07,36.49,25.25,0.91,1.48,9.59
-54.07,36.49,25.25,0.91,1.48,9.59
-55.01,37.71,25.92,0.99,1.55,9.65
-55.01,37.71,25.92,0.99,1.55,9.65
-55.88,38.58,26.71,1.0,1.61,9.69
-56.65,38.98,27.47,0.86,1.74,9.72
-56.65,38.98,27.47,0.86,1.74,9.72
